Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
851,915,523,1127,520,1108,705
901,848,531,1119,444,989,803
1010,850,518,1106,436,657,832
1092,849,385,1050,383,610,757
1091,832,406,1049,290,580,714
1086,820,423,974,169,667,707
1314,821,394,919,99,588,777
1335,722,519,886,98,546,709
1203,754,627,802,98,497,704
1293,702,708,798,85,389,706
1287,612,804,706,84,367,735
1306,559,858,692,84,411,731
1325,410,1013,691,84,430,698
1365,388,1046,709,84,430,704
1364,306,1134,709,88,434,712
1415,302,1138,709,88,448,712
1384,332,1108,774,88,534,668
1369,347,1034,845,81,654,746
1359,377,1034,845,263,683,904
1255,480,1035,840,365,690,959
1248,495,944,833,356,694,1014
1166,577,909,815,354,748,1015
1026,717,909,645,381,803,1015
919,809,924,634,750,803,1015
844,883,888,602,750,815,1015
868,884,888,549,750,815,1015
898,882,890,549,750,793,1015
896,883,891,519,750,792,1036
900,887,893,535,750,790,1036
928,889,893,468,750,722,1039
928,852,930,417,750,746,914
928,851,915,351,736,780,836
878,901,848,357,736,991,738
770,1010,850,441,764,994,709
708,1092,849,604,771,978,697
705,1091,832,607,778,1049,628
705,1086,820,644,775,1086,622
476,1314,821,644,775,1304,591
428,1335,722,641,786,1243,601
428,1203,754,641,786,1240,707
309,1293,702,628,888,1200,706
311,1287,612,621,1042,1199,704
309,1306,559,622,1063,1145,801
347,1325,410,622,1083,1126,914
316,1365,388,601,1086,1126,930
321,1364,306,620,1077,1122,1066
351,1415,302,627,1080,1108,1066
359,1384,332,562,1148,1022,1066
359,1369,347,517,1139,902,988
339,1359,377,556,951,873,830
339,1255,480,556,848,866,775
337,1248,495,556,837,884,720
337,1166,577,570,837,830,732
337,1026,717,574,835,775,732
337,919,809,708,485,775,777
367,844,883,708,485,763,880
342,868,884,749,485,776,999
391,898,882,778,485,835,1016
399,896,883,804,489,835,1042
388,900,887,982,489,914,1206
358,928,889,935,508,1079,1294
358,928,852,931,510,1071,1328
358,928,851,910,510,1087,1412
358,878,901,901,632,920,1412
355,770,1010,816,672,917,1429
378,708,1092,692,720,917,1499
378,705,1091,689,713,846,1523
378,705,1086,652,765,704,1519
378,476,1314,652,780,463,1509
378,428,1335,652,837,513,1499
370,428,1203,652,838,715,1315
370,309,1293,652,743,786,1308
388,311,1287,652,592,812,1281
375,309,1306,651,571,863,1146
312,347,1325,651,551,892,1031
297,316,1365,651,548,1008,1008
296,321,1364,632,548,1018,870
215,351,1415,625,545,1018,920
219,359,1384,628,477,1022,955
219,359,1369,782,466,1055,992
219,339,1359,820,466,1231,992
219,339,1255,824,462,1254,1207
211,337,1248,824,534,1232,1211
211,337,1166,804,547,1251,1219
211,337,1026,797,571,1251,1224
211,337,919,790,600,1256,1179
181,367,844,807,622,1327,1076
