Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3
989,826,352,530,1179,987,1401,1183,83,976,999,1015,803,721,441
657,1158,352,530,1179,984,1398,1123,136,972,1016,1015,832,595,428
610,1221,338,544,1179,936,1374,1195,107,954,1042,1036,757,502,433
580,1252,333,549,1087,834,1320,1443,66,831,1206,1036,714,386,433
667,1270,333,440,1196,659,1495,1443,66,740,1294,1039,707,336,485
588,1373,333,434,1202,625,1529,1443,66,706,1328,914,777,314,485
546,1403,406,429,1207,565,1589,1419,90,621,1412,836,709,314,486
497,1452,409,420,912,840,1618,1417,92,621,1412,738,704,278,517
389,1500,509,420,871,881,1618,1417,92,604,1429,709,706,278,517
367,1412,615,425,847,810,1713,1311,198,534,1499,697,735,278,532
411,1394,592,476,751,899,1689,1261,279,510,1523,628,731,319,538
430,1362,624,447,771,907,1656,1204,370,510,1519,622,698,319,578
430,1362,624,446,772,906,1583,1278,370,475,1509,591,704,319,578
434,1306,680,446,767,903,1591,1250,398,475,1499,601,712,319,578
448,1296,690,446,767,901,1593,1235,413,475,1315,707,712,307,578
534,1296,690,446,767,901,1588,1220,433,475,1308,706,668,247,522
654,1296,690,446,716,952,1560,1237,444,475,1281,704,746,374,515
683,1296,680,456,659,1009,1472,1290,479,475,1146,801,904,374,513
690,1296,680,379,710,1035,1428,1175,638,475,1031,914,959,354,506
694,1150,826,360,729,1035,1304,1213,724,475,1008,930,1014,380,650
748,1144,832,360,679,1028,1307,1267,724,469,870,1066,1015,387,650
803,1106,856,374,668,963,1382,1230,762,419,920,1066,1015,387,635
803,1106,855,375,590,974,1417,1122,902,384,955,1066,1015,387,608
815,1088,873,375,256,1304,1369,1173,903,347,992,988,1015,387,562
815,1088,873,375,255,1268,1313,1266,903,347,992,830,1015,391,545
793,1090,893,318,312,1267,1197,1383,903,132,1207,775,1015,384,545
792,1047,937,318,312,1267,1155,1425,903,128,1211,720,1036,357,545
790,1040,946,318,312,1267,1084,1448,951,107,1219,732,1036,346,530
722,1108,946,151,479,1267,962,1409,1112,102,1224,732,1039,345,528
746,1111,716,380,489,1223,992,1376,1159,102,1179,777,914,311,530
780,1108,707,352,530,1179,995,1399,1177,102,1076,880,836,247,525
991,989,826,352,530,1179,987,1401,1183,83,976,999,738,230,500
994,657,1158,352,530,1179,984,1398,1123,136,972,1016,709,230,516
978,610,1221,338,544,1179,936,1374,1195,107,954,1042,697,230,513
1049,580,1252,333,549,1087,834,1320,1443,66,831,1206,628,230,513
1086,667,1270,333,440,1196,659,1495,1443,66,740,1294,622,224,461
1304,588,1373,333,434,1202,625,1529,1443,66,706,1328,591,224,461
1243,546,1403,406,429,1207,565,1589,1419,90,621,1412,601,225,460
1240,497,1452,409,420,912,840,1618,1417,92,621,1412,707,246,429
1200,389,1500,509,420,871,881,1618,1417,92,604,1429,706,258,429
1199,367,1412,615,425,847,810,1713,1311,198,534,1499,704,270,479
1145,411,1394,592,476,751,899,1689,1261,279,510,1523,801,229,518
1126,430,1362,624,447,771,907,1656,1204,370,510,1519,914,239,593
1126,430,1362,624,446,772,906,1583,1278,370,475,1509,930,239,726
1122,434,1306,680,446,767,903,1591,1250,398,475,1499,1066,240,745
1108,448,1296,690,446,767,901,1593,1235,413,475,1315,1066,431,746
1022,534,1296,690,446,767,901,1588,1220,433,475,1308,1066,444,746
902,654,1296,690,446,716,952,1560,1237,444,475,1281,988,339,666
873,683,1296,680,456,659,1009,1472,1290,479,475,1146,830,427,605
866,690,1296,680,379,710,1035,1428,1175,638,475,1031,775,433,609
884,694,1150,826,360,729,1035,1304,1213,724,475,1008,720,417,526
830,748,1144,832,360,679,1028,1307,1267,724,469,870,732,446,558
775,803,1106,856,374,668,963,1382,1230,762,419,920,732,446,558
775,803,1106,855,375,590,974,1417,1122,902,384,955,777,446,555
763,815,1088,873,375,256,1304,1369,1173,903,347,992,880,446,555
776,815,1088,873,375,255,1268,1313,1266,903,347,992,999,442,555
835,793,1090,893,318,312,1267,1197,1383,903,132,1207,1016,441,568
835,792,1047,937,318,312,1267,1155,1425,903,128,1211,1042,464,568
914,790,1040,946,318,312,1267,1084,1448,951,107,1219,1206,486,567
1079,722,1108,946,151,479,1267,962,1409,1112,102,1224,1294,515,567
1071,746,1111,716,380,489,1223,992,1376,1159,102,1179,1328,522,565
1087,780,1108,707,352,530,1179,995,1399,1177,102,1076,1412,674,548
920,991,989,826,352,530,1179,987,1401,1183,83,976,1412,674,553
917,994,657,1158,352,530,1179,984,1398,1123,136,972,1429,675,543
917,978,610,1221,338,544,1179,936,1374,1195,107,954,1499,687,544
846,1049,580,1252,333,549,1087,834,1320,1443,66,831,1523,691,550
704,1086,667,1270,333,440,1196,659,1495,1443,66,740,1519,762,554
463,1304,588,1373,333,434,1202,625,1529,1443,66,706,1509,822,560
513,1243,546,1403,406,429,1207,565,1589,1419,90,621,1499,832,560
715,1240,497,1452,409,420,912,840,1618,1417,92,621,1315,817,573
786,1200,389,1500,509,420,871,881,1618,1417,92,604,1308,805,594
812,1199,367,1412,615,425,847,810,1713,1311,198,534,1281,793,529
863,1145,411,1394,592,476,751,899,1689,1261,279,510,1146,793,484
892,1126,430,1362,624,447,771,907,1656,1204,370,510,1031,783,369
1008,1126,430,1362,624,446,772,906,1583,1278,370,475,1008,783,236
1018,1122,434,1306,680,446,767,903,1591,1250,398,475,870,782,217
1018,1108,448,1296,690,446,767,901,1593,1235,413,475,920,591,216
1022,1022,534,1296,690,446,767,901,1588,1220,433,475,955,573,216
1055,902,654,1296,690,446,716,952,1560,1237,444,475,992,591,216
1231,873,683,1296,680,456,659,1009,1472,1290,479,475,992,516,187
1254,866,690,1296,680,379,710,1035,1428,1175,638,475,1207,510,190
1232,884,694,1150,826,360,729,1035,1304,1213,724,475,1211,500,129
1251,830,748,1144,832,360,679,1028,1307,1267,724,469,1219,634,106
1251,775,803,1106,856,374,668,963,1382,1230,762,419,1224,717,106
1256,775,803,1106,855,375,590,974,1417,1122,902,384,1179,721,162
1327,763,815,1088,873,375,256,1304,1369,1173,903,347,1076,768,184
1358,776,815,1088,873,375,255,1268,1313,1266,903,347,976,805,189
1299,835,793,1090,893,318,312,1267,1197,1383,903,132,972,875,227
1306,835,792,1047,937,318,312,1267,1155,1425,903,128,954,958,252
1233,914,790,1040,946,318,312,1267,1084,1448,951,107,831,950,252
1068,1079,722,1108,946,151,479,1267,962,1409,1112,102,740,1056,252
1040,1071,746,1111,716,380,489,1223,992,1376,1159,102,706,1104,252
989,1087,780,1108,707,352,530,1179,995,1399,1177,102,621,977,252
945,920,991,989,826,352,530,1179,987,1401,1183,83,621,977,263
977,917,994,657,1158,352,530,1179,984,1398,1123,136,604,976,265
1094,917,978,610,1221,338,544,1179,936,1374,1195,107,534,964,318
1112,846,1049,580,1252,333,549,1087,834,1320,1443,66,510,960,340
1112,704,1086,667,1270,333,440,1196,659,1495,1443,66,510,889,342
1158,463,1304,588,1373,333,434,1202,625,1529,1443,66,475,829,336
1108,513,1243,546,1403,406,429,1207,565,1589,1419,90,475,818,336
917,715,1240,497,1452,409,420,912,840,1618,1417,92,475,815,323
852,786,1200,389,1500,509,420,871,881,1618,1417,92,475,823,302
888,812,1199,367,1412,615,425,847,810,1713,1311,198,475,846,302
930,863,1145,411,1394,592,476,751,899,1689,1261,279,475,856,302
927,892,1126,430,1362,624,447,771,907,1656,1204,370,475,915,342
811,1008,1126,430,1362,624,446,772,906,1583,1278,370,475,922,383
801,1018,1122,434,1306,680,446,767,903,1591,1250,398,469,922,383
803,1018,1108,448,1296,690,446,767,901,1593,1235,413,419,922,406
857,1022,1022,534,1296,690,446,767,901,1588,1220,433,384,922,470
825,1055,902,654,1296,690,446,716,952,1560,1237,444,347,877,476
696,1231,873,683,1296,680,456,659,1009,1472,1290,479,347,906,476
673,1254,866,690,1296,680,379,710,1035,1428,1175,638,132,906,460
685,1232,884,694,1150,826,360,729,1035,1304,1213,724,128,906,463
674,1251,830,748,1144,832,360,679,1028,1307,1267,724,107,736,455
674,1251,775,803,1106,856,374,668,963,1382,1230,762,102,653,564
669,1256,775,803,1106,855,375,590,974,1417,1122,902,102,682,568
598,1327,763,815,1088,873,375,256,1304,1369,1173,903,102,635,545
716,1358,776,815,1088,873,375,255,1268,1313,1266,903,83,598,551
724,1299,835,793,1090,893,318,312,1267,1197,1383,903,136,528,500
730,1306,835,792,1047,937,318,312,1267,1155,1425,903,107,520,475
747,1233,914,790,1040,946,318,312,1267,1084,1448,951,66,517,475
747,1068,1079,722,1108,946,151,479,1267,962,1409,1112,66,382,475
747,1040,1071,746,1111,716,380,489,1223,992,1376,1159,66,327,545
747,989,1087,780,1108,707,352,530,1179,995,1399,1177,90,302,568
747,945,920,991,989,826,352,530,1179,987,1401,1183,92,317,559
715,977,917,994,657,1158,352,530,1179,984,1398,1123,92,317,565
598,1094,917,978,610,1221,338,544,1179,936,1374,1195,198,317,607
579,1112,846,1049,580,1252,333,549,1087,834,1320,1443,279,427,590
579,1112,704,1086,667,1270,333,440,1196,659,1495,1443,370,432,584
532,1158,463,1304,588,1373,333,434,1202,625,1529,1443,370,432,584
532,1108,513,1243,546,1403,406,429,1207,565,1589,1419,398,432,584
521,917,715,1240,497,1452,409,420,912,840,1618,1417,413,557,584
