Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
1349,605,556,533,711,905,703,492,547,837,354,573,946,929,569,499,717,1123,631
1453,605,556,495,749,893,709,448,571,835,381,570,946,947,593,481,695,1132,631
1547,605,556,495,749,892,639,471,600,485,750,550,716,946,593,440,680,1141,713
1547,605,556,490,754,881,648,451,622,485,750,527,707,947,593,438,678,1144,796
1558,605,556,490,747,888,594,479,648,485,750,553,826,924,499,457,501,1209,788
1538,639,556,490,747,888,594,473,654,485,750,508,1158,906,607,452,492,1188,801
1549,684,455,591,747,888,594,473,650,489,750,561,1221,993,619,399,432,1005,812
1473,761,455,552,786,888,594,473,650,489,750,654,1252,1105,666,326,409,953,856
1367,942,381,626,786,888,594,473,631,508,750,778,1270,1122,671,317,409,935,898
1388,771,396,816,786,888,594,473,629,510,750,848,1373,1128,668,317,409,935,898
1416,740,432,819,786,888,594,473,629,510,736,842,1403,1196,668,275,409,872,844
1408,806,458,819,776,898,592,475,507,632,736,841,1452,1279,699,275,409,849,715
1425,788,476,800,743,892,650,475,439,672,764,854,1500,1278,699,274,409,731,562
1467,845,476,800,704,896,685,475,384,720,771,743,1412,1278,689,228,409,702,559
1437,797,568,800,663,933,684,476,388,713,778,694,1394,1320,689,218,415,515,559
1438,671,694,631,832,888,661,540,340,765,775,644,1362,1292,687,218,433,504,559
1438,628,740,608,855,694,711,683,326,780,775,636,1362,1293,677,216,549,504,536
1437,629,740,608,810,655,757,721,258,837,786,641,1306,1213,677,216,648,469,536
1427,639,739,389,935,750,702,776,257,838,786,641,1296,1198,689,216,612,479,535
1424,642,646,482,935,750,702,776,250,743,888,637,1296,1242,680,272,612,437,535
1262,802,648,482,935,750,543,935,247,592,1042,637,1296,1194,667,356,534,338,535
1107,955,650,482,935,366,879,983,247,571,1063,643,1296,1186,660,440,475,331,535
1112,955,650,482,830,471,879,983,247,551,1083,642,1296,1127,680,344,477,331,537
1119,955,650,482,811,490,874,945,290,548,1086,661,1150,1045,680,344,574,387,537
1143,955,650,482,793,508,874,743,492,548,1077,657,1144,947,680,344,587,412,552
1316,955,556,576,790,511,869,662,578,545,1080,630,1106,918,672,346,587,511,564
1323,959,556,573,793,498,882,662,578,477,1148,567,1106,892,672,365,608,509,493
1214,1143,558,573,735,508,889,703,578,466,1139,557,1088,633,672,402,581,524,496
1217,1155,600,573,538,705,889,703,578,466,951,541,1088,606,634,419,585,530,547
1180,1187,605,573,516,727,889,703,578,462,848,541,1090,529,642,419,553,572,508
1209,1189,605,556,533,727,889,703,505,534,837,541,1047,527,645,395,588,619,496
1049,1349,605,556,533,711,905,703,492,547,837,541,1040,527,629,411,567,624,609
1079,1453,605,556,495,749,893,709,448,571,835,541,1108,502,606,411,567,758,763
1040,1547,605,556,495,749,892,639,471,600,485,541,1111,627,640,411,565,841,681
1127,1547,605,556,490,754,881,648,451,622,485,520,1108,705,704,433,521,875,598
1119,1558,605,556,490,747,888,594,479,648,485,444,989,803,721,441,521,1048,582
1106,1538,639,556,490,747,888,594,473,654,485,436,657,832,595,428,522,1354,569
1050,1549,684,455,591,747,888,594,473,650,489,383,610,757,502,433,522,1398,558
1049,1473,761,455,552,786,888,594,473,650,489,290,580,714,386,433,522,1532,514
974,1367,942,381,626,786,888,594,473,631,508,169,667,707,336,485,538,1532,472
919,1388,771,396,816,786,888,594,473,629,510,99,588,777,314,485,576,1532,472
886,1416,740,432,819,786,888,594,473,629,510,98,546,709,314,486,577,1532,472
802,1408,806,458,819,776,898,592,475,507,632,98,497,704,278,517,660,1532,472
798,1425,788,476,800,743,892,650,475,439,672,85,389,706,278,517,683,1532,472
706,1467,845,476,800,704,896,685,475,384,720,84,367,735,278,532,703,1532,472
692,1437,797,568,800,663,933,684,476,388,713,84,411,731,319,538,901,1532,472
691,1438,671,694,631,832,888,661,540,340,765,84,430,698,319,578,1050,1527,472
709,1438,628,740,608,855,694,711,683,326,780,84,430,704,319,578,1017,1528,472
709,1437,629,740,608,810,655,757,721,258,837,88,434,712,319,578,985,1521,472
709,1427,639,739,389,935,750,702,776,257,838,88,448,712,307,578,1026,1493,507
774,1424,642,646,482,935,750,702,776,250,743,88,534,668,247,522,1079,1489,517
845,1262,802,648,482,935,750,543,935,247,592,81,654,746,374,515,1118,1489,517
845,1107,955,650,482,935,366,879,983,247,571,263,683,904,374,513,1127,1489,517
840,1112,955,650,482,830,471,879,983,247,551,365,690,959,354,506,1179,1517,563
833,1119,955,650,482,811,490,874,945,290,548,356,694,1014,380,650,1086,1506,586
815,1143,955,650,482,793,508,874,743,492,548,354,748,1015,387,650,1073,1500,573
645,1316,955,556,576,790,511,869,662,578,545,381,803,1015,387,635,1073,1372,572
634,1323,959,556,573,793,498,882,662,578,477,750,803,1015,387,608,1050,1371,650
602,1214,1143,558,573,735,508,889,703,578,466,750,815,1015,387,562,1072,1332,701
549,1217,1155,600,573,538,705,889,703,578,466,750,815,1015,391,545,1080,1318,650
549,1180,1187,605,573,516,727,889,703,578,462,750,793,1015,384,545,1102,1241,767
519,1209,1189,605,556,533,727,889,703,505,534,750,792,1036,357,545,1026,1213,777
535,1049,1349,605,556,533,711,905,703,492,547,750,790,1036,346,530,1016,1279,642
468,1079,1453,605,556,495,749,893,709,448,571,750,722,1039,345,528,1017,1151,487
417,1040,1547,605,556,495,749,892,639,471,600,750,746,914,311,530,1017,1058,487
351,1127,1547,605,556,490,754,881,648,451,622,736,780,836,247,525,1049,1020,490
357,1119,1558,605,556,490,747,888,594,479,648,736,991,738,230,500,1091,782,491
441,1106,1538,639,556,490,747,888,594,473,654,764,994,709,230,516,1091,550,491
604,1050,1549,684,455,591,747,888,594,473,650,771,978,697,230,513,1091,564,491
607,1049,1473,761,455,552,786,888,594,473,650,778,1049,628,230,513,1091,437,495
644,974,1367,942,381,626,786,888,594,473,631,775,1086,622,224,461,1075,438,541
644,919,1388,771,396,816,786,888,594,473,629,775,1304,591,224,461,1042,438,546
641,886,1416,740,432,819,786,888,594,473,629,786,1243,601,225,460,1082,443,592
641,802,1408,806,458,819,776,898,592,475,507,786,1240,707,246,429,1059,445,607
628,798,1425,788,476,800,743,892,650,475,439,888,1200,706,258,429,1036,445,870
621,706,1467,845,476,800,704,896,685,475,384,1042,1199,704,270,479,1021,445,925
622,692,1437,797,568,800,663,933,684,476,388,1063,1145,801,229,518,817,445,980
622,691,1438,671,694,631,832,888,661,540,340,1083,1126,914,239,593,650,445,1012
601,709,1438,628,740,608,855,694,711,683,326,1086,1126,930,239,726,549,443,1212
620,709,1437,629,740,608,810,655,757,721,258,1077,1122,1066,240,745,482,443,1216
627,709,1427,639,739,389,935,750,702,776,257,1080,1108,1066,431,746,440,434,1181
562,774,1424,642,646,482,935,750,702,776,250,1148,1022,1066,444,746,387,434,1171
517,845,1262,802,648,482,935,750,543,935,247,1139,902,988,339,666,348,434,1171
556,845,1107,955,650,482,935,366,879,983,247,951,873,830,427,605,339,434,1211
556,840,1112,955,650,482,830,471,879,983,247,848,866,775,433,609,279,406,1275
556,833,1119,955,650,482,811,490,874,945,290,837,884,720,417,526,273,361,1382
570,815,1143,955,650,482,793,508,874,743,492,837,830,732,446,558,273,342,1380
574,645,1316,955,556,576,790,511,869,662,578,835,775,732,446,558,293,314,1419
708,634,1323,959,556,573,793,498,882,662,578,485,775,777,446,555,293,312,1435
708,602,1214,1143,558,573,735,508,889,703,578,485,763,880,446,555,273,312,1402
749,549,1217,1155,600,573,538,705,889,703,578,485,776,999,442,555,292,312,1469
778,549,1180,1187,605,573,516,727,889,703,578,485,835,1016,441,568,271,286,1491
804,519,1209,1189,605,556,533,727,889,703,505,489,835,1042,464,568,271,267,1457
982,535,1049,1349,605,556,533,711,905,703,492,489,914,1206,486,567,314,198,1448
935,468,1079,1453,605,556,495,749,893,709,448,508,1079,1294,515,567,313,324,1448
931,417,1040,1547,605,556,495,749,892,639,471,510,1071,1328,522,565,313,366,1448
910,351,1127,1547,605,556,490,754,881,648,451,510,1087,1412,674,548,281,367,1445
901,357,1119,1558,605,556,490,747,888,594,479,632,920,1412,674,553,230,364,1444
816,441,1106,1538,639,556,490,747,888,594,473,672,917,1429,675,543,235,262,1444
692,604,1050,1549,684,455,591,747,888,594,473,720,917,1499,687,544,241,329,1469
689,607,1049,1473,761,455,552,786,888,594,473,713,846,1523,691,550,266,322,1479
652,644,974,1367,942,381,626,786,888,594,473,765,704,1519,762,554,266,321,1433
652,644,919,1388,771,396,816,786,888,594,473,780,463,1509,822,560,263,321,1428
652,641,886,1416,740,432,819,786,888,594,473,837,513,1499,832,560,228,316,1382
652,641,802,1408,806,458,819,776,898,592,475,838,715,1315,817,573,168,317,1367
652,628,798,1425,788,476,800,743,892,650,475,743,786,1308,805,594,255,317,1105
652,621,706,1467,845,476,800,704,896,685,475,592,812,1281,793,529,251,317,1050
651,622,692,1437,797,568,800,663,933,684,476,571,863,1146,793,484,251,317,1091
651,622,691,1438,671,694,631,832,888,661,540,551,892,1031,783,369,251,317,1059
651,601,709,1438,628,740,608,855,694,711,683,548,1008,1008,783,236,251,317,859
632,620,709,1437,629,740,608,810,655,757,721,548,1018,870,782,217,251,317,855
625,627,709,1427,639,739,389,935,750,702,776,545,1018,920,591,216,251,317,1089
628,562,774,1424,642,646,482,935,750,702,776,477,1022,955,573,216,290,317,1246
782,517,845,1262,802,648,482,935,750,543,935,466,1055,992,591,216,362,317,1349
820,556,845,1107,955,650,482,935,366,879,983,466,1231,992,516,187,396,317,1368
824,556,840,1112,955,650,482,830,471,879,983,462,1254,1207,510,190,443,317,1260
824,556,833,1119,955,650,482,811,490,874,945,534,1232,1211,500,129,447,317,1130
804,570,815,1143,955,650,482,793,508,874,743,547,1251,1219,634,106,447,317,1130
797,574,645,1316,955,556,576,790,511,869,662,571,1251,1224,717,106,427,402,1080
790,708,634,1323,959,556,573,793,498,882,662,600,1256,1179,721,162,427,438,986
807,708,602,1214,1143,558,573,735,508,889,703,622,1327,1076,768,184,425,438,960
784,749,549,1217,1155,600,573,538,705,889,703,648,1358,976,805,189,394,440,857
816,778,549,1180,1187,605,573,516,727,889,703,654,1299,972,875,227,393,440,718
821,804,519,1209,1189,605,556,533,727,889,703,650,1306,954,958,252,385,471,694
645,982,535,1049,1349,605,556,533,711,905,703,650,1233,831,950,252,329,469,693
628,935,468,1079,1453,605,556,495,749,893,709,631,1068,740,1056,252,329,422,693
688,931,417,1040,1547,605,556,495,749,892,639,629,1040,706,1104,252,415,409,693
697,910,351,1127,1547,605,556,490,754,881,648,629,989,621,977,252,417,409,693
736,901,357,1119,1558,605,556,490,747,888,594,507,945,621,977,263,453,409,693
739,816,441,1106,1538,639,556,490,747,888,594,439,977,604,976,265,517,410,693
700,692,604,1050,1549,684,455,591,747,888,594,384,1094,534,964,318,526,282,668
700,689,607,1049,1473,761,455,552,786,888,594,388,1112,510,960,340,512,282,654
725,652,644,974,1367,942,381,626,786,888,594,340,1112,510,889,342,529,282,654
725,652,644,919,1388,771,396,816,786,888,594,326,1158,475,829,336,527,282,654
725,652,641,886,1416,740,432,819,786,888,594,258,1108,475,818,336,523,285,654
725,652,641,802,1408,806,458,819,776,898,592,257,917,475,815,323,523,282,654
731,652,628,798,1425,788,476,800,743,892,650,250,852,475,823,302,436,282,653
735,652,621,706,1467,845,476,800,704,896,685,247,888,475,846,302,435,282,653
735,651,622,692,1437,797,568,800,663,933,684,247,930,475,856,302,435,282,585
735,651,622,691,1438,671,694,631,832,888,661,247,927,475,915,342,435,282,646
735,651,601,709,1438,628,740,608,855,694,711,290,811,475,922,383,435,282,706
735,632,620,709,1437,629,740,608,810,655,757,492,801,469,922,383,443,282,708
735,625,627,709,1427,639,739,389,935,750,702,578,803,419,922,406,472,282,530
732,628,562,774,1424,642,646,482,935,750,702,578,857,384,922,470,515,282,433
552,782,517,845,1262,802,648,482,935,750,543,578,825,347,877,476,446,282,330
475,820,556,845,1107,955,650,482,935,366,879,578,696,347,906,476,412,283,271
471,824,556,840,1112,955,650,482,830,471,879,578,673,132,906,460,514,284,267
471,824,556,833,1119,955,650,482,811,490,874,505,685,128,906,463,510,284,267
471,804,570,815,1143,955,650,482,793,508,874,492,674,107,736,455,510,284,267
500,797,574,645,1316,955,556,576,790,511,869,448,674,102,653,564,510,202,267
373,790,708,634,1323,959,556,573,793,498,882,471,669,102,682,568,510,287,295
311,807,708,602,1214,1143,558,573,735,508,889,451,598,102,635,545,542,299,328
289,784,749,549,1217,1155,600,573,538,705,889,479,716,83,598,551,563,326,393
228,816,778,549,1180,1187,605,573,516,727,889,473,724,136,528,500,569,370,405
198,821,804,519,1209,1189,605,556,533,727,889,473,730,107,520,475,569,518,430
190,645,982,535,1049,1349,605,556,533,711,905,473,747,66,517,475,571,525,465
275,628,935,468,1079,1453,605,556,495,749,893,473,747,66,382,475,571,432,466
276,688,931,417,1040,1547,605,556,495,749,892,473,747,66,327,545,523,403,498
267,697,910,351,1127,1547,605,556,490,754,881,473,747,90,302,568,538,402,750
228,736,901,357,1119,1558,605,556,490,747,888,475,747,92,317,559,503,402,809
486,739,816,441,1106,1538,639,556,490,747,888,475,715,92,317,565,502,401,818
507,700,692,604,1050,1549,684,455,591,747,888,475,598,198,317,607,694,401,818
507,700,689,607,1049,1473,761,455,552,786,888,476,579,279,427,590,892,405,818
533,725,652,644,974,1367,942,381,626,786,888,540,579,370,432,584,877,413,818
533,725,652,644,919,1388,771,396,816,786,888,683,532,370,432,584,877,413,818
632,725,652,641,886,1416,740,432,819,786,888,721,532,398,432,584,984,410,820
632,725,652,641,802,1408,806,458,819,776,898,776,521,413,557,584,984,452,820
626,731,652,628,798,1425,788,476,800,743,892,776,515,433,571,677,992,464,833
627,735,652,621,706,1467,845,476,800,704,896,935,453,444,548,766,992,500,869
627,735,651,622,692,1437,797,568,800,663,933,983,360,479,538,766,992,500,841
627,735,651,622,691,1438,671,694,631,832,888,983,392,638,876,726,992,506,780
693,735,651,601,709,1438,628,740,608,855,694,945,418,724,869,685,992,574,720
693,735,632,620,709,1437,629,740,608,810,655,743,423,724,908,685,984,821,827
693,735,625,627,709,1427,639,739,389,935,750,662,437,762,959,662,955,1091,771
693,732,628,562,774,1424,642,646,482,935,750,662,379,902,1144,723,873,1091,711
693,552,782,517,845,1262,802,648,482,935,750,703,378,903,1191,721,870,1121,711
693,475,820,556,845,1107,955,650,482,935,366,703,331,903,1160,722,870,1158,727
693,471,824,556,840,1112,955,650,482,830,471,703,331,903,1173,737,721,1157,739
693,471,824,556,833,1119,955,650,482,811,490,703,326,903,1197,734,721,1247,745
765,471,804,570,815,1143,955,650,482,793,508,703,321,951,1247,733,721,1247,756
866,500,797,574,645,1316,955,556,576,790,511,709,330,1112,1385,624,721,1244,767
871,373,790,708,634,1323,959,556,573,793,498,639,367,1159,1384,563,721,1123,739
893,311,807,708,602,1214,1143,558,573,735,508,648,386,1177,1384,563,689,1111,711
972,289,784,749,549,1217,1155,600,573,538,705,594,291,1183,1487,796,668,1179,646
1100,228,816,778,549,1180,1187,605,573,516,727,594,354,1123,1512,796,675,1135,634
1106,198,821,804,519,1209,1189,605,556,533,727,594,341,1195,1428,796,675,956,609
1096,190,645,982,535,1049,1349,605,556,533,711,594,318,1443,1468,796,673,949,574
1008,275,628,935,468,1079,1453,605,556,495,749,594,330,1443,1468,796,707,984,573
947,276,688,931,417,1040,1547,605,556,495,749,594,345,1443,1468,772,669,1005,559
947,267,697,910,351,1127,1547,605,556,490,754,594,345,1419,1470,749,710,1022,382
947,228,736,901,357,1119,1558,605,556,490,747,592,567,1417,1456,740,709,1046,334
940,486,739,816,441,1106,1538,639,556,490,747,650,653,1417,1456,758,640,1046,461
919,507,700,692,604,1050,1549,684,455,591,747,685,658,1311,1456,660,433,1046,461
1062,507,700,689,607,1049,1473,761,455,552,786,684,658,1261,1346,649,224,1131,465
1073,533,725,652,644,974,1367,942,381,626,786,661,658,1204,1341,649,222,1123,488
1164,533,725,652,644,919,1388,771,396,816,786,711,658,1278,1341,649,295,1161,504
1100,632,725,652,641,886,1416,740,432,819,786,757,658,1250,1341,649,208,1161,517
1129,632,725,652,641,802,1408,806,458,819,776,702,746,1235,1213,649,299,1120,523
1129,626,731,652,628,798,1425,788,476,800,743,702,746,1220,1191,556,291,1108,510
1151,627,735,652,621,706,1467,845,476,800,704,543,824,1237,1288,468,291,1240,474
1151,627,735,651,622,692,1437,797,568,800,663,879,841,1290,1338,468,291,1240,476
1151,627,735,651,622,691,1438,671,694,631,832,879,836,1175,941,468,291,1234,476
1151,693,735,651,601,709,1438,628,740,608,855,874,810,1213,941,468,291,1230,476
1151,693,735,632,620,709,1437,629,740,608,810,874,805,1267,1017,468,305,983,367
1158,693,735,625,627,709,1427,639,739,389,935,869,846,1230,1114,468,326,713,367
1160,693,732,628,562,774,1424,642,646,482,935,882,848,1122,929,343,326,713,367
1160,693,552,782,517,845,1262,802,648,482,935,889,848,1173,898,339,327,683,367
1160,693,475,820,556,845,1107,955,650,482,935,889,876,1266,879,338,423,645,351
1160,693,471,824,556,840,1112,955,650,482,830,889,876,1383,866,323,423,645,339
1160,693,471,824,556,833,1119,955,650,482,811,889,869,1425,842,323,444,555,333
1088,765,471,804,570,815,1143,955,650,482,793,905,1109,1448,933,325,444,555,322
958,866,500,797,574,645,1316,955,556,576,790,893,1100,1409,803,326,444,555,311
953,871,373,790,708,634,1323,959,556,573,793,892,1063,1376,782,326,444,555,311
931,893,311,807,708,602,1214,1143,558,573,735,881,1044,1399,782,376,444,555,330
852,972,289,784,749,549,1217,1155,600,573,538,888,977,1401,681,334,444,458,330
724,1100,228,816,778,549,1180,1187,605,573,516,888,906,1398,656,392,431,484,330
716,1106,198,821,804,519,1209,1189,605,556,533,888,906,1374,642,456,484,523,340
716,1096,190,645,982,535,1049,1349,605,556,533,888,1077,1320,591,505,587,549,408
716,1008,275,628,935,468,1079,1453,605,556,495,888,1153,1495,591,505,568,537,492
716,947,276,688,931,417,1040,1547,605,556,495,888,1138,1529,591,493,606,611,474
716,947,267,697,910,351,1127,1547,605,556,490,888,1138,1589,608,507,548,594,415
716,947,228,736,901,357,1119,1558,605,556,490,898,916,1618,624,759,548,570,406
462,940,486,739,816,441,1106,1538,639,556,490,892,870,1618,625,772,623,570,270
462,919,507,700,692,604,1050,1549,684,455,591,896,895,1713,629,848,671,570,270
319,1062,507,700,689,607,1049,1473,761,455,552,933,895,1689,629,848,695,481,274
340,1073,533,725,652,644,974,1367,942,381,626,888,900,1656,629,848,705,481,465
378,1164,533,725,652,644,919,1388,771,396,816,694,967,1583,629,848,634,443,449
344,1100,632,725,652,641,886,1416,740,432,819,655,971,1591,629,848,614,443,436
315,1129,632,725,652,641,802,1408,806,458,819,750,883,1593,629,848,523,442,524
319,1129,626,731,652,628,798,1425,788,476,800,750,883,1588,629,848,523,442,538
299,1151,627,735,652,621,706,1467,845,476,800,750,805,1560,532,847,523,274,541
304,1151,627,735,651,622,692,1437,797,568,800,366,808,1472,482,847,523,281,539
304,1151,627,735,651,622,691,1438,671,694,631,471,765,1428,482,847,525,281,561
238,1151,693,735,651,601,709,1438,628,740,608,490,766,1304,482,957,661,217,561
238,1151,693,735,632,620,709,1437,629,740,608,508,832,1307,367,957,715,217,561
231,1158,693,735,625,627,709,1427,639,739,389,511,820,1382,219,1024,724,232,561
267,1160,693,732,628,562,774,1424,642,646,482,498,821,1417,219,1024,776,392,561
272,1160,693,552,782,517,845,1262,802,648,482,508,821,1369,223,1024,775,392,561
276,1160,693,475,820,556,845,1107,955,650,482,705,793,1313,223,1027,679,392,564
276,1160,693,471,824,556,840,1112,955,650,482,727,793,1197,223,1076,679,396,569
276,1160,693,471,824,556,833,1119,955,650,482,727,793,1155,223,1093,681,398,571
317,1088,765,471,804,570,815,1143,955,650,482,711,622,1084,82,1091,689,471,571
317,958,866,500,797,574,645,1316,955,556,576,749,801,962,88,1134,689,493,571
447,953,871,373,790,708,634,1323,959,556,573,749,854,992,124,1273,689,493,571
468,931,893,311,807,708,602,1214,1143,558,573,754,854,995,124,1657,689,493,547
468,852,972,289,784,749,549,1217,1155,600,573,747,854,987,122,1456,689,532,557
471,724,1100,228,816,778,549,1180,1187,605,573,747,854,984,122,1398,689,506,598
471,716,1106,198,821,804,519,1209,1189,605,556,747,869,936,134,1334,636,467,605
494,716,1096,190,645,982,535,1049,1349,605,556,786,704,834,188,1285,533,441,600
494,716,1008,275,628,935,468,1079,1453,605,556,786,690,659,222,1286,525,417,555
536,716,947,276,688,931,417,1040,1547,605,556,786,904,625,501,1252,506,322,593
597,716,947,267,697,910,351,1127,1547,605,556,786,904,565,482,1297,506,322,577
597,716,947,228,736,901,357,1119,1558,605,556,776,904,840,465,1045,506,322,594
597,462,940,486,739,816,441,1106,1538,639,556,743,864,881,465,1055,454,322,594
605,462,919,507,700,692,604,1050,1549,684,455,704,879,810,461,1007,406,322,596
605,319,1062,507,700,689,607,1049,1473,761,455,663,879,899,475,1007,382,322,622
522,340,1073,533,725,652,644,974,1367,942,381,832,874,907,531,1007,499,322,466
433,378,1164,533,725,652,644,919,1388,771,396,855,828,906,612,1019,497,322,469
777,344,1100,632,725,652,641,886,1416,740,432,810,877,903,617,1032,567,322,467
777,315,1129,632,725,652,641,802,1408,806,458,935,880,901,713,1135,654,322,373
885,319,1129,626,731,652,628,798,1425,788,476,935,880,901,831,1249,682,322,359
1024,299,1151,627,735,652,621,706,1467,845,476,935,888,952,832,1249,682,322,356
1110,304,1151,627,735,651,622,692,1437,797,568,935,869,1009,834,1249,863,315,356
1225,304,1151,627,735,651,622,691,1438,671,694,830,865,1035,1012,1249,900,494,334
1237,238,1151,693,735,651,601,709,1438,628,740,811,864,1035,1021,1139,995,623,334
1237,238,1151,693,735,632,620,709,1437,629,740,793,839,1028,1044,1160,927,623,363
1237,231,1158,693,735,625,627,709,1427,639,739,790,812,963,1062,1093,1010,608,371
1199,267,1160,693,732,628,562,774,1424,642,646,793,809,974,1132,1093,982,448,424
1196,272,1160,693,552,782,517,845,1262,802,648,735,922,1304,1113,1093,982,448,427
1302,276,1160,693,475,820,556,845,1107,955,650,538,922,1268,1113,1092,983,448,464
1326,276,1160,693,471,824,556,840,1112,955,650,516,941,1267,1363,1044,1022,444,542
1326,276,1160,693,471,824,556,833,1119,955,650,533,943,1267,1469,1087,1097,442,544
1474,317,1088,765,471,804,570,815,1143,955,650,533,871,1267,1553,1087,1112,369,663
1829,317,958,866,500,797,574,645,1316,955,556,495,692,1267,1539,1043,1124,347,956
1722,447,953,871,373,790,708,634,1323,959,556,495,639,1223,1666,904,1221,356,967
1777,468,931,893,311,807,708,602,1214,1143,558,490,639,1179,1748,470,1249,506,1206
1787,468,852,972,289,784,749,549,1217,1155,600,490,639,1179,1748,469,1278,473,1196
1784,471,724,1100,228,816,778,549,1180,1187,605,490,639,1179,1748,469,1278,473,1155
1784,471,716,1106,198,821,804,519,1209,1189,605,591,627,1179,1736,469,1278,473,1138
1761,494,716,1096,190,645,982,535,1049,1349,605,552,685,1087,1682,469,1278,473,1075
1761,494,716,1008,275,628,935,468,1079,1453,605,626,687,1196,1670,468,1271,473,1055
1719,536,716,947,276,688,931,417,1040,1547,605,816,473,1202,1391,468,1252,473,1043
1658,597,716,947,267,697,910,351,1127,1547,605,819,683,1207,1391,409,1252,473,1043
1696,597,716,947,228,736,901,357,1119,1558,605,819,741,912,1391,409,1252,482,1024
1877,597,462,940,486,739,816,441,1106,1538,639,800,758,871,1390,354,1229,629,1024
1921,605,462,919,507,700,692,604,1050,1549,684,800,713,847,1390,326,1229,629,1022
1922,605,319,1062,507,700,689,607,1049,1473,761,800,713,751,1376,327,1229,629,989
1922,522,340,1073,533,725,652,644,974,1367,942,631,713,771,1320,658,1233,658,1126
1882,433,378,1164,533,725,652,644,919,1388,771,608,707,772,1239,759,1239,658,1123
1565,777,344,1100,632,725,652,641,886,1416,740,608,1057,767,1234,776,1167,658,1123
1565,777,315,1129,632,725,652,641,802,1408,806,389,1283,767,1138,673,1081,658,1123
1453,885,319,1129,626,731,652,628,798,1425,788,482,1283,767,1020,560,1053,658,1123
1379,1024,299,1151,627,735,652,621,706,1467,845,482,1275,716,1022,610,1056,658,1123
1376,1110,304,1151,627,735,651,622,692,1437,797,482,1274,659,1020,652,875,658,1123
1261,1225,304,1151,627,735,651,622,691,1438,671,482,1268,710,867,652,836,479,1123
1249,1237,238,1151,693,735,651,601,709,1438,628,482,1268,729,878,652,641,350,1123
1249,1237,238,1151,693,735,632,620,709,1437,629,482,1227,679,860,631,641,350,1094
1249,1237,231,1158,693,735,625,627,709,1427,639,576,1209,668,842,631,539,350,1086
1249,1199,267,1160,693,732,628,562,774,1424,642,573,1209,590,772,631,518,350,1033
1247,1196,272,1160,693,552,782,517,845,1262,802,573,1096,256,771,631,537,382,1144
1206,1302,276,1160,693,475,820,556,845,1107,955,573,1100,255,771,629,654,388,1112
1386,1326,276,1160,693,471,824,556,840,1112,955,573,1081,312,527,628,620,388,1029
1387,1326,276,1160,693,471,824,556,833,1119,955,556,1079,312,434,575,562,388,1060
1212,1474,317,1088,765,471,804,570,815,1143,955,556,1079,312,358,575,539,388,1025
858,1829,317,958,866,500,797,574,645,1316,955,556,1079,479,358,586,549,390,742
839,1722,447,953,871,373,790,708,634,1323,959,556,1079,489,184,596,453,400,731
763,1777,468,931,893,311,807,708,602,1214,1143,556,1079,530,118,613,427,250,492
812,1787,468,852,972,289,784,749,549,1217,1155,556,1155,530,174,652,456,244,492
825,1784,471,724,1100,228,816,778,549,1180,1187,556,1253,530,193,825,456,285,492
959,1784,471,716,1106,198,821,804,519,1209,1189,455,1302,544,381,842,456,369,492
959,1761,494,716,1096,190,645,982,535,1049,1349,455,1264,549,630,842,456,399,493
959,1761,494,716,1008,275,628,935,468,1079,1453,381,1190,440,609,842,456,399,474
988,1719,536,716,947,276,688,931,417,1040,1547,396,1257,434,613,842,509,410,502
989,1658,597,716,947,267,697,910,351,1127,1547,432,1091,429,677,842,512,481,515
951,1696,597,716,947,228,736,901,357,1119,1558,458,1033,420,682,842,518,627,515
770,1877,597,462,940,486,739,816,441,1106,1538,476,1065,420,682,842,537,517,515
718,1921,605,462,919,507,700,692,604,1050,1549,476,1065,425,683,843,551,517,515
717,1922,605,319,1062,507,700,689,607,1049,1473,568,1065,476,683,842,551,518,514
717,1922,522,340,1073,533,725,652,644,974,1367,694,1065,447,683,511,420,491,319
717,1882,433,378,1164,533,725,652,644,919,1388,740,1052,446,683,398,414,491,337
689,1565,777,344,1100,632,725,652,641,886,1416,740,649,446,683,368,425,491,340
689,1565,777,315,1129,632,725,652,641,802,1408,739,420,446,683,368,456,491,340
720,1453,885,319,1129,626,731,652,628,798,1425,646,428,446,683,367,478,491,370
722,1379,1024,299,1151,627,735,652,621,706,1467,648,491,446,680,317,552,491,496
634,1376,1110,304,1151,627,735,651,622,692,1437,650,491,456,680,275,624,491,550
634,1261,1225,304,1151,627,735,651,622,691,1438,650,491,379,655,280,645,491,581
727,1249,1237,238,1151,693,735,651,601,709,1438,650,491,360,715,323,618,491,581
762,1249,1237,238,1151,693,735,632,620,709,1437,650,491,360,747,383,757,491,596
762,1249,1237,231,1158,693,735,625,627,709,1427,556,510,374,752,424,746,491,703
762,1249,1199,267,1160,693,732,628,562,774,1424,556,510,375,784,477,743,491,950
799,1247,1196,272,1160,693,552,782,517,845,1262,558,511,375,934,481,724,459,871
730,1206,1302,276,1160,693,475,820,556,845,1107,600,515,375,995,481,643,453,905
526,1386,1326,276,1160,693,471,824,556,840,1112,605,515,318,990,483,638,453,1257
