Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
692,604,1050,1549,684,720,917,1499,687,544
689,607,1049,1473,761,713,846,1523,691,550
652,644,974,1367,942,765,704,1519,762,554
652,644,919,1388,771,780,463,1509,822,560
652,641,886,1416,740,837,513,1499,832,560
652,641,802,1408,806,838,715,1315,817,573
652,628,798,1425,788,743,786,1308,805,594
652,621,706,1467,845,592,812,1281,793,529
651,622,692,1437,797,571,863,1146,793,484
651,622,691,1438,671,551,892,1031,783,369
651,601,709,1438,628,548,1008,1008,783,236
632,620,709,1437,629,548,1018,870,782,217
625,627,709,1427,639,545,1018,920,591,216
628,562,774,1424,642,477,1022,955,573,216
782,517,845,1262,802,466,1055,992,591,216
820,556,845,1107,955,466,1231,992,516,187
824,556,840,1112,955,462,1254,1207,510,190
824,556,833,1119,955,534,1232,1211,500,129
804,570,815,1143,955,547,1251,1219,634,106
797,574,645,1316,955,571,1251,1224,717,106
790,708,634,1323,959,600,1256,1179,721,162
807,708,602,1214,1143,622,1327,1076,768,184
784,749,549,1217,1155,648,1358,976,805,189
816,778,549,1180,1187,654,1299,972,875,227
821,804,519,1209,1189,650,1306,954,958,252
645,982,535,1049,1349,650,1233,831,950,252
628,935,468,1079,1453,631,1068,740,1056,252
688,931,417,1040,1547,629,1040,706,1104,252
697,910,351,1127,1547,629,989,621,977,252
736,901,357,1119,1558,507,945,621,977,263
739,816,441,1106,1538,439,977,604,976,265
700,692,604,1050,1549,384,1094,534,964,318
700,689,607,1049,1473,388,1112,510,960,340
725,652,644,974,1367,340,1112,510,889,342
725,652,644,919,1388,326,1158,475,829,336
725,652,641,886,1416,258,1108,475,818,336
725,652,641,802,1408,257,917,475,815,323
731,652,628,798,1425,250,852,475,823,302
735,652,621,706,1467,247,888,475,846,302
735,651,622,692,1437,247,930,475,856,302
735,651,622,691,1438,247,927,475,915,342
735,651,601,709,1438,290,811,475,922,383
735,632,620,709,1437,492,801,469,922,383
735,625,627,709,1427,578,803,419,922,406
732,628,562,774,1424,578,857,384,922,470
552,782,517,845,1262,578,825,347,877,476
475,820,556,845,1107,578,696,347,906,476
471,824,556,840,1112,578,673,132,906,460
471,824,556,833,1119,505,685,128,906,463
471,804,570,815,1143,492,674,107,736,455
500,797,574,645,1316,448,674,102,653,564
373,790,708,634,1323,471,669,102,682,568
311,807,708,602,1214,451,598,102,635,545
289,784,749,549,1217,479,716,83,598,551
228,816,778,549,1180,473,724,136,528,500
198,821,804,519,1209,473,730,107,520,475
190,645,982,535,1049,473,747,66,517,475
275,628,935,468,1079,473,747,66,382,475
276,688,931,417,1040,473,747,66,327,545
267,697,910,351,1127,473,747,90,302,568
228,736,901,357,1119,475,747,92,317,559
486,739,816,441,1106,475,715,92,317,565
507,700,692,604,1050,475,598,198,317,607
507,700,689,607,1049,476,579,279,427,590
533,725,652,644,974,540,579,370,432,584
533,725,652,644,919,683,532,370,432,584
632,725,652,641,886,721,532,398,432,584
632,725,652,641,802,776,521,413,557,584
626,731,652,628,798,776,515,433,571,677
627,735,652,621,706,935,453,444,548,766
627,735,651,622,692,983,360,479,538,766
627,735,651,622,691,983,392,638,876,726
693,735,651,601,709,945,418,724,869,685
693,735,632,620,709,743,423,724,908,685
693,735,625,627,709,662,437,762,959,662
693,732,628,562,774,662,379,902,1144,723
693,552,782,517,845,703,378,903,1191,721
693,475,820,556,845,703,331,903,1160,722
693,471,824,556,840,703,331,903,1173,737
693,471,824,556,833,703,326,903,1197,734
765,471,804,570,815,703,321,951,1247,733
866,500,797,574,645,709,330,1112,1385,624
871,373,790,708,634,639,367,1159,1384,563
893,311,807,708,602,648,386,1177,1384,563
972,289,784,749,549,594,291,1183,1487,796
1100,228,816,778,549,594,354,1123,1512,796
1106,198,821,804,519,594,341,1195,1428,796
1096,190,645,982,535,594,318,1443,1468,796
1008,275,628,935,468,594,330,1443,1468,796
947,276,688,931,417,594,345,1443,1468,772
947,267,697,910,351,594,345,1419,1470,749
947,228,736,901,357,592,567,1417,1456,740
940,486,739,816,441,650,653,1417,1456,758
919,507,700,692,604,685,658,1311,1456,660
1062,507,700,689,607,684,658,1261,1346,649
1073,533,725,652,644,661,658,1204,1341,649
1164,533,725,652,644,711,658,1278,1341,649
1100,632,725,652,641,757,658,1250,1341,649
1129,632,725,652,641,702,746,1235,1213,649
1129,626,731,652,628,702,746,1220,1191,556
1151,627,735,652,621,543,824,1237,1288,468
1151,627,735,651,622,879,841,1290,1338,468
1151,627,735,651,622,879,836,1175,941,468
1151,693,735,651,601,874,810,1213,941,468
1151,693,735,632,620,874,805,1267,1017,468
1158,693,735,625,627,869,846,1230,1114,468
1160,693,732,628,562,882,848,1122,929,343
1160,693,552,782,517,889,848,1173,898,339
1160,693,475,820,556,889,876,1266,879,338
1160,693,471,824,556,889,876,1383,866,323
1160,693,471,824,556,889,869,1425,842,323
1088,765,471,804,570,905,1109,1448,933,325
958,866,500,797,574,893,1100,1409,803,326
953,871,373,790,708,892,1063,1376,782,326
931,893,311,807,708,881,1044,1399,782,376
852,972,289,784,749,888,977,1401,681,334
724,1100,228,816,778,888,906,1398,656,392
716,1106,198,821,804,888,906,1374,642,456
716,1096,190,645,982,888,1077,1320,591,505
716,1008,275,628,935,888,1153,1495,591,505
716,947,276,688,931,888,1138,1529,591,493
716,947,267,697,910,888,1138,1589,608,507
716,947,228,736,901,898,916,1618,624,759
462,940,486,739,816,892,870,1618,625,772
462,919,507,700,692,896,895,1713,629,848
319,1062,507,700,689,933,895,1689,629,848
340,1073,533,725,652,888,900,1656,629,848
378,1164,533,725,652,694,967,1583,629,848
344,1100,632,725,652,655,971,1591,629,848
315,1129,632,725,652,750,883,1593,629,848
319,1129,626,731,652,750,883,1588,629,848
299,1151,627,735,652,750,805,1560,532,847
304,1151,627,735,651,366,808,1472,482,847
304,1151,627,735,651,471,765,1428,482,847
238,1151,693,735,651,490,766,1304,482,957
238,1151,693,735,632,508,832,1307,367,957
231,1158,693,735,625,511,820,1382,219,1024
267,1160,693,732,628,498,821,1417,219,1024
272,1160,693,552,782,508,821,1369,223,1024
276,1160,693,475,820,705,793,1313,223,1027
276,1160,693,471,824,727,793,1197,223,1076
276,1160,693,471,824,727,793,1155,223,1093
317,1088,765,471,804,711,622,1084,82,1091
317,958,866,500,797,749,801,962,88,1134
447,953,871,373,790,749,854,992,124,1273
468,931,893,311,807,754,854,995,124,1657
468,852,972,289,784,747,854,987,122,1456
471,724,1100,228,816,747,854,984,122,1398
471,716,1106,198,821,747,869,936,134,1334
494,716,1096,190,645,786,704,834,188,1285
494,716,1008,275,628,786,690,659,222,1286
536,716,947,276,688,786,904,625,501,1252
597,716,947,267,697,786,904,565,482,1297
597,716,947,228,736,776,904,840,465,1045
597,462,940,486,739,743,864,881,465,1055
605,462,919,507,700,704,879,810,461,1007
605,319,1062,507,700,663,879,899,475,1007
522,340,1073,533,725,832,874,907,531,1007
433,378,1164,533,725,855,828,906,612,1019
777,344,1100,632,725,810,877,903,617,1032
777,315,1129,632,725,935,880,901,713,1135
885,319,1129,626,731,935,880,901,831,1249
1024,299,1151,627,735,935,888,952,832,1249
1110,304,1151,627,735,935,869,1009,834,1249
1225,304,1151,627,735,830,865,1035,1012,1249
1237,238,1151,693,735,811,864,1035,1021,1139
1237,238,1151,693,735,793,839,1028,1044,1160
1237,231,1158,693,735,790,812,963,1062,1093
1199,267,1160,693,732,793,809,974,1132,1093
1196,272,1160,693,552,735,922,1304,1113,1093
1302,276,1160,693,475,538,922,1268,1113,1092
1326,276,1160,693,471,516,941,1267,1363,1044
1326,276,1160,693,471,533,943,1267,1469,1087
1474,317,1088,765,471,533,871,1267,1553,1087
1829,317,958,866,500,495,692,1267,1539,1043
1722,447,953,871,373,495,639,1223,1666,904
1777,468,931,893,311,490,639,1179,1748,470
1787,468,852,972,289,490,639,1179,1748,469
1784,471,724,1100,228,490,639,1179,1748,469
1784,471,716,1106,198,591,627,1179,1736,469
1761,494,716,1096,190,552,685,1087,1682,469
1761,494,716,1008,275,626,687,1196,1670,468
1719,536,716,947,276,816,473,1202,1391,468
1658,597,716,947,267,819,683,1207,1391,409
1696,597,716,947,228,819,741,912,1391,409
1877,597,462,940,486,800,758,871,1390,354
1921,605,462,919,507,800,713,847,1390,326
1922,605,319,1062,507,800,713,751,1376,327
1922,522,340,1073,533,631,713,771,1320,658
1882,433,378,1164,533,608,707,772,1239,759
1565,777,344,1100,632,608,1057,767,1234,776
1565,777,315,1129,632,389,1283,767,1138,673
1453,885,319,1129,626,482,1283,767,1020,560
1379,1024,299,1151,627,482,1275,716,1022,610
1376,1110,304,1151,627,482,1274,659,1020,652
1261,1225,304,1151,627,482,1268,710,867,652
1249,1237,238,1151,693,482,1268,729,878,652
1249,1237,238,1151,693,482,1227,679,860,631
1249,1237,231,1158,693,576,1209,668,842,631
1249,1199,267,1160,693,573,1209,590,772,631
1247,1196,272,1160,693,573,1096,256,771,631
1206,1302,276,1160,693,573,1100,255,771,629
1386,1326,276,1160,693,573,1081,312,527,628
1387,1326,276,1160,693,556,1079,312,434,575
1212,1474,317,1088,765,556,1079,312,358,575
858,1829,317,958,866,556,1079,479,358,586
839,1722,447,953,871,556,1079,489,184,596
763,1777,468,931,893,556,1079,530,118,613
812,1787,468,852,972,556,1155,530,174,652
825,1784,471,724,1100,556,1253,530,193,825
959,1784,471,716,1106,455,1302,544,381,842
959,1761,494,716,1096,455,1264,549,630,842
959,1761,494,716,1008,381,1190,440,609,842
988,1719,536,716,947,396,1257,434,613,842
989,1658,597,716,947,432,1091,429,677,842
951,1696,597,716,947,458,1033,420,682,842
770,1877,597,462,940,476,1065,420,682,842
718,1921,605,462,919,476,1065,425,683,843
717,1922,605,319,1062,568,1065,476,683,842
717,1922,522,340,1073,694,1065,447,683,511
717,1882,433,378,1164,740,1052,446,683,398
689,1565,777,344,1100,740,649,446,683,368
689,1565,777,315,1129,739,420,446,683,368
720,1453,885,319,1129,646,428,446,683,367
722,1379,1024,299,1151,648,491,446,680,317
634,1376,1110,304,1151,650,491,456,680,275
634,1261,1225,304,1151,650,491,379,655,280
727,1249,1237,238,1151,650,491,360,715,323
762,1249,1237,238,1151,650,491,360,747,383
762,1249,1237,231,1158,556,510,374,752,424
762,1249,1199,267,1160,556,510,375,784,477
799,1247,1196,272,1160,558,511,375,934,481
730,1206,1302,276,1160,600,515,375,995,481
526,1386,1326,276,1160,605,515,318,990,483
525,1387,1326,276,1160,605,515,318,977,476
512,1212,1474,317,1088,605,679,318,969,476
511,858,1829,317,958,605,682,151,976,465
507,839,1722,447,953,605,702,380,977,455
523,763,1777,468,931,605,760,352,961,438
531,812,1787,468,852,605,734,352,928,493
518,825,1784,471,724,639,689,352,927,338
385,959,1784,471,716,684,637,338,739,402
406,959,1761,494,716,761,611,333,490,471
423,959,1761,494,716,942,609,333,489,522
394,988,1719,536,716,771,542,333,485,547
519,989,1658,597,716,740,505,406,421,547
627,951,1696,597,716,806,506,409,416,552
708,770,1877,597,462,788,457,509,423,552
804,718,1921,605,462,845,569,615,422,561
858,717,1922,605,319,797,618,592,422,561
1013,717,1922,522,340,671,668,624,485,563
1046,717,1882,433,378,628,674,624,485,573
1134,689,1565,777,344,629,674,680,565,573
1138,689,1565,777,315,639,674,690,580,573
1108,720,1453,885,319,642,670,690,580,647
1034,722,1379,1024,299,802,634,690,628,665
1034,634,1376,1110,304,955,634,680,636,680
1035,634,1261,1225,304,955,640,680,695,675
944,727,1249,1237,238,955,642,826,697,632
909,762,1249,1237,238,955,648,832,758,572
909,762,1249,1237,231,955,657,856,782,539
924,762,1249,1199,267,959,720,855,776,486
888,799,1247,1196,272,1143,729,873,885,482
888,730,1206,1302,276,1155,737,873,851,520
890,526,1386,1326,276,1187,737,893,927,518
891,525,1387,1326,276,1189,737,937,929,542
893,512,1212,1474,317,1349,573,946,929,569
893,511,858,1829,317,1453,570,946,947,593
930,507,839,1722,447,1547,550,716,946,593
915,523,763,1777,468,1547,527,707,947,593
848,531,812,1787,468,1558,553,826,924,499
850,518,825,1784,471,1538,508,1158,906,607
849,385,959,1784,471,1549,561,1221,993,619
832,406,959,1761,494,1473,654,1252,1105,666
820,423,959,1761,494,1367,778,1270,1122,671
821,394,988,1719,536,1388,848,1373,1128,668
722,519,989,1658,597,1416,842,1403,1196,668
754,627,951,1696,597,1408,841,1452,1279,699
702,708,770,1877,597,1425,854,1500,1278,699
612,804,718,1921,605,1467,743,1412,1278,689
559,858,717,1922,605,1437,694,1394,1320,689
410,1013,717,1922,522,1438,644,1362,1292,687
388,1046,717,1882,433,1438,636,1362,1293,677
306,1134,689,1565,777,1437,641,1306,1213,677
302,1138,689,1565,777,1427,641,1296,1198,689
332,1108,720,1453,885,1424,637,1296,1242,680
347,1034,722,1379,1024,1262,637,1296,1194,667
377,1034,634,1376,1110,1107,643,1296,1186,660
480,1035,634,1261,1225,1112,642,1296,1127,680
495,944,727,1249,1237,1119,661,1150,1045,680
577,909,762,1249,1237,1143,657,1144,947,680
717,909,762,1249,1237,1316,630,1106,918,672
809,924,762,1249,1199,1323,567,1106,892,672
883,888,799,1247,1196,1214,557,1088,633,672
884,888,730,1206,1302,1217,541,1088,606,634
882,890,526,1386,1326,1180,541,1090,529,642
883,891,525,1387,1326,1209,541,1047,527,645
887,893,512,1212,1474,1049,541,1040,527,629
889,893,511,858,1829,1079,541,1108,502,606
852,930,507,839,1722,1040,541,1111,627,640
851,915,523,763,1777,1127,520,1108,705,704
901,848,531,812,1787,1119,444,989,803,721
1010,850,518,825,1784,1106,436,657,832,595
1092,849,385,959,1784,1050,383,610,757,502
1091,832,406,959,1761,1049,290,580,714,386
1086,820,423,959,1761,974,169,667,707,336
1314,821,394,988,1719,919,99,588,777,314
1335,722,519,989,1658,886,98,546,709,314
1203,754,627,951,1696,802,98,497,704,278
1293,702,708,770,1877,798,85,389,706,278
1287,612,804,718,1921,706,84,367,735,278
1306,559,858,717,1922,692,84,411,731,319
1325,410,1013,717,1922,691,84,430,698,319
1365,388,1046,717,1882,709,84,430,704,319
1364,306,1134,689,1565,709,88,434,712,319
1415,302,1138,689,1565,709,88,448,712,307
1384,332,1108,720,1453,774,88,534,668,247
1369,347,1034,722,1379,845,81,654,746,374
1359,377,1034,634,1376,845,263,683,904,374
1255,480,1035,634,1261,840,365,690,959,354
1248,495,944,727,1249,833,356,694,1014,380
1166,577,909,762,1249,815,354,748,1015,387
1026,717,909,762,1249,645,381,803,1015,387
919,809,924,762,1249,634,750,803,1015,387
844,883,888,799,1247,602,750,815,1015,387
868,884,888,730,1206,549,750,815,1015,391
898,882,890,526,1386,549,750,793,1015,384
896,883,891,525,1387,519,750,792,1036,357
900,887,893,512,1212,535,750,790,1036,346
928,889,893,511,858,468,750,722,1039,345
928,852,930,507,839,417,750,746,914,311
928,851,915,523,763,351,736,780,836,247
878,901,848,531,812,357,736,991,738,230
770,1010,850,518,825,441,764,994,709,230
708,1092,849,385,959,604,771,978,697,230
705,1091,832,406,959,607,778,1049,628,230
705,1086,820,423,959,644,775,1086,622,224
476,1314,821,394,988,644,775,1304,591,224
428,1335,722,519,989,641,786,1243,601,225
428,1203,754,627,951,641,786,1240,707,246
309,1293,702,708,770,628,888,1200,706,258
311,1287,612,804,718,621,1042,1199,704,270
309,1306,559,858,717,622,1063,1145,801,229
347,1325,410,1013,717,622,1083,1126,914,239
316,1365,388,1046,717,601,1086,1126,930,239
321,1364,306,1134,689,620,1077,1122,1066,240
351,1415,302,1138,689,627,1080,1108,1066,431
359,1384,332,1108,720,562,1148,1022,1066,444
359,1369,347,1034,722,517,1139,902,988,339
339,1359,377,1034,634,556,951,873,830,427
339,1255,480,1035,634,556,848,866,775,433
337,1248,495,944,727,556,837,884,720,417
337,1166,577,909,762,570,837,830,732,446
337,1026,717,909,762,574,835,775,732,446
337,919,809,924,762,708,485,775,777,446
367,844,883,888,799,708,485,763,880,446
342,868,884,888,730,749,485,776,999,442
391,898,882,890,526,778,485,835,1016,441
399,896,883,891,525,804,489,835,1042,464
388,900,887,893,512,982,489,914,1206,486
358,928,889,893,511,935,508,1079,1294,515
358,928,852,930,507,931,510,1071,1328,522
358,928,851,915,523,910,510,1087,1412,674
358,878,901,848,531,901,632,920,1412,674
355,770,1010,850,518,816,672,917,1429,675
378,708,1092,849,385,692,720,917,1499,687
378,705,1091,832,406,689,713,846,1523,691
378,705,1086,820,423,652,765,704,1519,762
378,476,1314,821,394,652,780,463,1509,822
378,428,1335,722,519,652,837,513,1499,832
370,428,1203,754,627,652,838,715,1315,817
370,309,1293,702,708,652,743,786,1308,805
388,311,1287,612,804,652,592,812,1281,793
375,309,1306,559,858,651,571,863,1146,793
312,347,1325,410,1013,651,551,892,1031,783
297,316,1365,388,1046,651,548,1008,1008,783
296,321,1364,306,1134,632,548,1018,870,782
215,351,1415,302,1138,625,545,1018,920,591
219,359,1384,332,1108,628,477,1022,955,573
219,359,1369,347,1034,782,466,1055,992,591
219,339,1359,377,1034,820,466,1231,992,516
219,339,1255,480,1035,824,462,1254,1207,510
211,337,1248,495,944,824,534,1232,1211,500
211,337,1166,577,909,804,547,1251,1219,634
211,337,1026,717,909,797,571,1251,1224,717
211,337,919,809,924,790,600,1256,1179,721
181,367,844,883,888,807,622,1327,1076,768
181,342,868,884,888,784,648,1358,976,805
102,391,898,882,890,816,654,1299,972,875
94,399,896,883,891,821,650,1306,954,958
124,388,900,887,893,645,650,1233,831,950
154,358,928,889,893,628,631,1068,740,1056
197,358,928,852,930,688,629,1040,706,1104
259,358,928,851,915,697,629,989,621,977
330,358,878,901,848,736,507,945,621,977
330,355,770,1010,850,739,439,977,604,976
297,378,708,1092,849,700,384,1094,534,964
297,378,705,1091,832,700,388,1112,510,960
297,378,705,1086,820,725,340,1112,510,889
297,378,476,1314,821,725,326,1158,475,829
297,378,428,1335,722,725,258,1108,475,818
297,370,428,1203,754,725,257,917,475,815
317,370,309,1293,702,731,250,852,475,823
297,388,311,1287,612,735,247,888,475,846
292,375,309,1306,559,735,247,930,475,856
292,312,347,1325,410,735,247,927,475,915
287,297,316,1365,388,735,290,811,475,922
295,296,321,1364,306,735,492,801,469,922
295,215,351,1415,302,735,578,803,419,922
283,219,359,1384,332,732,578,857,384,922
283,219,359,1369,347,552,578,825,347,877
283,219,339,1359,377,475,578,696,347,906
283,219,339,1255,480,471,578,673,132,906
288,211,337,1248,495,471,505,685,128,906
314,211,337,1166,577,471,492,674,107,736
314,211,337,1026,717,500,448,674,102,653
314,211,337,919,809,373,471,669,102,682
314,181,367,844,883,311,451,598,102,635
352,181,342,868,884,289,479,716,83,598
360,102,391,898,882,228,473,724,136,528
390,94,399,896,883,198,473,730,107,520
360,124,388,900,887,190,473,747,66,517
330,154,358,928,889,275,473,747,66,382
287,197,358,928,852,276,473,747,66,327
225,259,358,928,851,267,473,747,90,302
154,330,358,878,901,228,475,747,92,317
154,330,355,770,1010,486,475,715,92,317
144,297,378,708,1092,507,475,598,198,317
144,297,378,705,1091,507,476,579,279,427
186,297,378,705,1086,533,540,579,370,432
186,297,378,476,1314,533,683,532,370,432
186,297,378,428,1335,632,721,532,398,432
186,297,370,428,1203,632,776,521,413,557
179,317,370,309,1293,626,776,515,433,571
187,297,388,311,1287,627,935,453,444,548
187,292,375,309,1306,627,983,360,479,538
187,292,312,347,1325,627,983,392,638,876
218,287,297,316,1365,693,945,418,724,869
255,295,296,321,1364,693,743,423,724,908
364,295,215,351,1415,693,662,437,762,959
425,283,219,359,1384,693,662,379,902,1144
425,283,219,359,1369,693,703,378,903,1191
433,283,219,339,1359,693,703,331,903,1160
433,283,219,339,1255,693,703,331,903,1173
428,288,211,337,1248,693,703,326,903,1197
402,314,211,337,1166,765,703,321,951,1247
402,314,211,337,1026,866,709,330,1112,1385
402,314,211,337,919,871,639,367,1159,1384
402,314,181,367,844,893,648,386,1177,1384
364,352,181,342,868,972,594,291,1183,1487
356,360,102,391,898,1100,594,354,1123,1512
435,390,94,399,896,1106,594,341,1195,1428
435,360,124,388,900,1096,594,318,1443,1468
435,330,154,358,928,1008,594,330,1443,1468
488,287,197,358,928,947,594,345,1443,1468
488,225,259,358,928,947,594,345,1419,1470
528,154,330,358,878,947,592,567,1417,1456
630,154,330,355,770,940,650,653,1417,1456
633,144,297,378,708,919,685,658,1311,1456
648,144,297,378,705,1062,684,658,1261,1346
611,186,297,378,705,1073,661,658,1204,1341
674,186,297,378,476,1164,711,658,1278,1341
674,186,297,378,428,1100,757,658,1250,1341
711,186,297,370,428,1129,702,746,1235,1213
698,179,317,370,309,1129,702,746,1220,1191
690,187,297,388,311,1151,543,824,1237,1288
726,187,292,375,309,1151,879,841,1290,1338
741,187,292,312,347,1151,879,836,1175,941
760,218,287,297,316,1151,874,810,1213,941
754,255,295,296,321,1151,874,805,1267,1017
864,364,295,215,351,1158,869,846,1230,1114
811,425,283,219,359,1160,882,848,1122,929
1097,425,283,219,359,1160,889,848,1173,898
1101,433,283,219,339,1160,889,876,1266,879
1102,433,283,219,339,1160,889,876,1383,866
1104,428,288,211,337,1160,889,869,1425,842
1104,402,314,211,337,1088,905,1109,1448,933
1105,402,314,211,337,958,893,1100,1409,803
1105,402,314,211,337,953,892,1063,1376,782
1164,402,314,181,367,931,881,1044,1399,782
1164,364,352,181,342,852,888,977,1401,681
1164,356,360,102,391,724,888,906,1398,656
1055,435,390,94,399,716,888,906,1374,642
1055,435,360,124,388,716,888,1077,1320,591
1055,435,330,154,358,716,888,1153,1495,591
1002,488,287,197,358,716,888,1138,1529,591
1002,488,225,259,358,716,888,1138,1589,608
962,528,154,330,358,716,898,916,1618,624
860,630,154,330,355,462,892,870,1618,625
857,633,144,297,378,462,896,895,1713,629
859,648,144,297,378,319,933,895,1689,629
854,611,186,297,378,340,888,900,1656,629
812,674,186,297,378,378,694,967,1583,629
833,674,186,297,378,344,655,971,1591,629
811,711,186,297,370,315,750,883,1593,629
811,698,179,317,370,319,750,883,1588,629
937,690,187,297,388,299,750,805,1560,532
1032,726,187,292,375,304,366,808,1472,482
1032,741,187,292,312,304,471,765,1428,482
989,760,218,287,297,238,490,766,1304,482
946,754,255,295,296,238,508,832,1307,367
729,864,364,295,215,231,511,820,1382,219
735,811,425,283,219,267,498,821,1417,219
451,1097,425,283,219,272,508,821,1369,223
458,1101,433,283,219,276,705,793,1313,223
457,1102,433,283,219,276,727,793,1197,223
467,1104,428,288,211,276,727,793,1155,223
552,1104,402,314,211,317,711,622,1084,82
590,1105,402,314,211,317,749,801,962,88
590,1105,402,314,211,447,749,854,992,124
531,1164,402,314,181,468,754,854,995,124
536,1164,364,352,181,468,747,854,987,122
536,1164,356,360,102,471,747,854,984,122
536,1055,435,390,94,471,747,869,936,134
542,1055,435,360,124,494,786,704,834,188
598,1055,435,330,154,494,786,690,659,222
729,1002,488,287,197,536,786,904,625,501
829,1002,488,225,259,597,786,904,565,482
832,962,528,154,330,597,776,904,840,465
971,860,630,154,330,597,743,864,881,465
1021,857,633,144,297,605,704,879,810,461
1004,859,648,144,297,605,663,879,899,475
1004,854,611,186,297,522,832,874,907,531
997,812,674,186,297,433,855,828,906,612
977,833,674,186,297,777,810,877,903,617
980,811,711,186,297,777,935,880,901,713
980,811,698,179,317,885,935,880,901,831
854,937,690,187,297,1024,935,888,952,832
725,1032,726,187,292,1110,935,869,1009,834
710,1032,741,187,292,1225,830,865,1035,1012
705,989,760,218,287,1237,811,864,1035,1021
700,946,754,255,295,1237,793,839,1028,1044
728,729,864,364,295,1237,790,812,963,1062
714,735,811,425,283,1199,793,809,974,1132
712,451,1097,425,283,1196,735,922,1304,1113
718,458,1101,433,283,1302,538,922,1268,1113
753,457,1102,433,283,1326,516,941,1267,1363
805,467,1104,428,288,1326,533,943,1267,1469
861,552,1104,402,314,1474,533,871,1267,1553
822,590,1105,402,314,1829,495,692,1267,1539
822,590,1105,402,314,1722,495,639,1223,1666
822,531,1164,402,314,1777,490,639,1179,1748
817,536,1164,364,352,1787,490,639,1179,1748
817,536,1164,356,360,1784,490,639,1179,1748
817,536,1055,435,390,1784,591,627,1179,1736
811,542,1055,435,360,1761,552,685,1087,1682
770,598,1055,435,330,1761,626,687,1196,1670
639,729,1002,488,287,1719,816,473,1202,1391
540,829,1002,488,225,1658,819,683,1207,1391
579,832,962,528,154,1696,819,741,912,1391
440,971,860,630,154,1877,800,758,871,1390
401,1021,857,633,144,1921,800,713,847,1390
402,1004,859,648,144,1922,800,713,751,1376
656,1004,854,611,186,1922,631,713,771,1320
642,997,812,674,186,1882,608,707,772,1239
651,977,833,674,186,1565,608,1057,767,1234
633,980,811,711,186,1565,389,1283,767,1138
633,980,811,698,179,1453,482,1283,767,1020
633,854,937,690,187,1379,482,1275,716,1022
676,725,1032,726,187,1376,482,1274,659,1020
