Accum_y-0,T-1,Accum_y-1,Accum_y-2
945,920,621,977
977,917,604,976
1094,917,534,964
1112,846,510,960
1112,704,510,889
1158,463,475,829
1108,513,475,818
917,715,475,815
852,786,475,823
888,812,475,846
930,863,475,856
927,892,475,915
811,1008,475,922
801,1018,469,922
803,1018,419,922
857,1022,384,922
825,1055,347,877
696,1231,347,906
673,1254,132,906
685,1232,128,906
674,1251,107,736
674,1251,102,653
669,1256,102,682
598,1327,102,635
716,1358,83,598
724,1299,136,528
730,1306,107,520
747,1233,66,517
747,1068,66,382
747,1040,66,327
747,989,90,302
747,945,92,317
715,977,92,317
598,1094,198,317
579,1112,279,427
579,1112,370,432
532,1158,370,432
532,1108,398,432
521,917,413,557
515,852,433,571
453,888,444,548
360,930,479,538
392,927,638,876
418,811,724,869
423,801,724,908
437,803,762,959
379,857,902,1144
378,825,903,1191
331,696,903,1160
331,673,903,1173
326,685,903,1197
321,674,951,1247
330,674,1112,1385
367,669,1159,1384
386,598,1177,1384
291,716,1183,1487
354,724,1123,1512
341,730,1195,1428
318,747,1443,1468
330,747,1443,1468
345,747,1443,1468
345,747,1419,1470
567,747,1417,1456
653,715,1417,1456
658,598,1311,1456
658,579,1261,1346
658,579,1204,1341
658,532,1278,1341
658,532,1250,1341
746,521,1235,1213
746,515,1220,1191
824,453,1237,1288
841,360,1290,1338
836,392,1175,941
810,418,1213,941
805,423,1267,1017
846,437,1230,1114
848,379,1122,929
848,378,1173,898
876,331,1266,879
876,331,1383,866
869,326,1425,842
1109,321,1448,933
1100,330,1409,803
1063,367,1376,782
1044,386,1399,782
977,291,1401,681
906,354,1398,656
906,341,1374,642
1077,318,1320,591
1153,330,1495,591
1138,345,1529,591
1138,345,1589,608
916,567,1618,624
870,653,1618,625
895,658,1713,629
895,658,1689,629
900,658,1656,629
967,658,1583,629
971,658,1591,629
883,746,1593,629
883,746,1588,629
805,824,1560,532
808,841,1472,482
765,836,1428,482
766,810,1304,482
832,805,1307,367
820,846,1382,219
821,848,1417,219
821,848,1369,223
793,876,1313,223
793,876,1197,223
793,869,1155,223
622,1109,1084,82
801,1100,962,88
854,1063,992,124
854,1044,995,124
854,977,987,122
854,906,984,122
869,906,936,134
704,1077,834,188
690,1153,659,222
904,1138,625,501
904,1138,565,482
904,916,840,465
864,870,881,465
879,895,810,461
879,895,899,475
874,900,907,531
828,967,906,612
877,971,903,617
880,883,901,713
880,883,901,831
888,805,952,832
869,808,1009,834
865,765,1035,1012
864,766,1035,1021
839,832,1028,1044
812,820,963,1062
809,821,974,1132
922,821,1304,1113
922,793,1268,1113
941,793,1267,1363
943,793,1267,1469
871,622,1267,1553
692,801,1267,1539
639,854,1223,1666
639,854,1179,1748
639,854,1179,1748
639,854,1179,1748
627,869,1179,1736
685,704,1087,1682
687,690,1196,1670
473,904,1202,1391
683,904,1207,1391
741,904,912,1391
758,864,871,1390
713,879,847,1390
713,879,751,1376
713,874,771,1320
707,828,772,1239
1057,877,767,1234
1283,880,767,1138
1283,880,767,1020
1275,888,716,1022
1274,869,659,1020
1268,865,710,867
1268,864,729,878
1227,839,679,860
1209,812,668,842
1209,809,590,772
1096,922,256,771
1100,922,255,771
1081,941,312,527
1079,943,312,434
1079,871,312,358
1079,692,479,358
1079,639,489,184
1079,639,530,118
1155,639,530,174
1253,639,530,193
1302,627,544,381
1264,685,549,630
1190,687,440,609
1257,473,434,613
1091,683,429,677
1033,741,420,682
1065,758,420,682
1065,713,425,683
1065,713,476,683
1065,713,447,683
1052,707,446,683
649,1057,446,683
420,1283,446,683
428,1283,446,683
491,1275,446,680
491,1274,456,680
491,1268,379,655
491,1268,360,715
491,1227,360,747
510,1209,374,752
510,1209,375,784
511,1096,375,934
515,1100,375,995
515,1081,318,990
515,1079,318,977
679,1079,318,969
682,1079,151,976
702,1079,380,977
760,1079,352,961
734,1155,352,928
689,1253,352,927
637,1302,338,739
611,1264,333,490
609,1190,333,489
542,1257,333,485
505,1091,406,421
506,1033,409,416
457,1065,509,423
569,1065,615,422
618,1065,592,422
668,1065,624,485
674,1052,624,485
674,649,680,565
674,420,690,580
670,428,690,580
634,491,690,628
634,491,680,636
640,491,680,695
642,491,826,697
648,491,832,758
657,510,856,782
720,510,855,776
729,511,873,885
737,515,873,851
737,515,893,927
737,515,937,929
573,679,946,929
570,682,946,947
550,702,716,946
527,760,707,947
553,734,826,924
508,689,1158,906
561,637,1221,993
654,611,1252,1105
778,609,1270,1122
848,542,1373,1128
842,505,1403,1196
841,506,1452,1279
854,457,1500,1278
743,569,1412,1278
694,618,1394,1320
644,668,1362,1292
636,674,1362,1293
641,674,1306,1213
641,674,1296,1198
637,670,1296,1242
637,634,1296,1194
643,634,1296,1186
642,640,1296,1127
661,642,1150,1045
657,648,1144,947
630,657,1106,918
567,720,1106,892
557,729,1088,633
541,737,1088,606
541,737,1090,529
541,737,1047,527
541,573,1040,527
541,570,1108,502
541,550,1111,627
520,527,1108,705
444,553,989,803
436,508,657,832
383,561,610,757
290,654,580,714
169,778,667,707
99,848,588,777
98,842,546,709
98,841,497,704
85,854,389,706
84,743,367,735
84,694,411,731
84,644,430,698
84,636,430,704
88,641,434,712
88,641,448,712
88,637,534,668
81,637,654,746
263,643,683,904
365,642,690,959
356,661,694,1014
354,657,748,1015
381,630,803,1015
750,567,803,1015
750,557,815,1015
750,541,815,1015
750,541,793,1015
750,541,792,1036
750,541,790,1036
750,541,722,1039
750,541,746,914
736,520,780,836
736,444,991,738
764,436,994,709
771,383,978,697
778,290,1049,628
775,169,1086,622
775,99,1304,591
786,98,1243,601
786,98,1240,707
888,85,1200,706
1042,84,1199,704
1063,84,1145,801
1083,84,1126,914
1086,84,1126,930
1077,88,1122,1066
1080,88,1108,1066
1148,88,1022,1066
1139,81,902,988
951,263,873,830
848,365,866,775
837,356,884,720
837,354,830,732
835,381,775,732
485,750,775,777
485,750,763,880
485,750,776,999
485,750,835,1016
489,750,835,1042
489,750,914,1206
508,750,1079,1294
510,750,1071,1328
510,736,1087,1412
632,736,920,1412
672,764,917,1429
720,771,917,1499
713,778,846,1523
765,775,704,1519
780,775,463,1509
837,786,513,1499
838,786,715,1315
743,888,786,1308
592,1042,812,1281
571,1063,863,1146
551,1083,892,1031
548,1086,1008,1008
548,1077,1018,870
545,1080,1018,920
477,1148,1022,955
466,1139,1055,992
466,951,1231,992
462,848,1254,1207
534,837,1232,1211
547,837,1251,1219
571,835,1251,1224
600,485,1256,1179
622,485,1327,1076
648,485,1358,976
654,485,1299,972
650,489,1306,954
650,489,1233,831
631,508,1068,740
629,510,1040,706
629,510,989,621
507,632,945,621
439,672,977,604
384,720,1094,534
388,713,1112,510
340,765,1112,510
326,780,1158,475
258,837,1108,475
257,838,917,475
250,743,852,475
247,592,888,475
247,571,930,475
247,551,927,475
290,548,811,475
492,548,801,469
578,545,803,419
578,477,857,384
578,466,825,347
578,466,696,347
578,462,673,132
505,534,685,128
492,547,674,107
448,571,674,102
471,600,669,102
451,622,598,102
479,648,716,83
473,654,724,136
473,650,730,107
473,650,747,66
473,631,747,66
473,629,747,66
473,629,747,90
475,507,747,92
475,439,715,92
475,384,598,198
476,388,579,279
540,340,579,370
683,326,532,370
721,258,532,398
776,257,521,413
776,250,515,433
935,247,453,444
983,247,360,479
983,247,392,638
945,290,418,724
743,492,423,724
662,578,437,762
662,578,379,902
703,578,378,903
703,578,331,903
703,578,331,903
703,505,326,903
703,492,321,951
709,448,330,1112
639,471,367,1159
648,451,386,1177
594,479,291,1183
594,473,354,1123
594,473,341,1195
594,473,318,1443
594,473,330,1443
594,473,345,1443
594,473,345,1419
592,475,567,1417
650,475,653,1417
685,475,658,1311
684,476,658,1261
661,540,658,1204
711,683,658,1278
757,721,658,1250
702,776,746,1235
702,776,746,1220
543,935,824,1237
879,983,841,1290
879,983,836,1175
874,945,810,1213
874,743,805,1267
869,662,846,1230
882,662,848,1122
889,703,848,1173
889,703,876,1266
889,703,876,1383
889,703,869,1425
905,703,1109,1448
893,709,1100,1409
892,639,1063,1376
881,648,1044,1399
888,594,977,1401
888,594,906,1398
888,594,906,1374
888,594,1077,1320
888,594,1153,1495
888,594,1138,1529
888,594,1138,1589
898,592,916,1618
892,650,870,1618
896,685,895,1713
933,684,895,1689
888,661,900,1656
694,711,967,1583
655,757,971,1591
750,702,883,1593
750,702,883,1588
750,543,805,1560
366,879,808,1472
471,879,765,1428
490,874,766,1304
508,874,832,1307
511,869,820,1382
498,882,821,1417
508,889,821,1369
705,889,793,1313
727,889,793,1197
727,889,793,1155
711,905,622,1084
749,893,801,962
749,892,854,992
754,881,854,995
747,888,854,987
747,888,854,984
747,888,869,936
786,888,704,834
786,888,690,659
786,888,904,625
786,888,904,565
776,898,904,840
743,892,864,881
704,896,879,810
663,933,879,899
832,888,874,907
855,694,828,906
810,655,877,903
935,750,880,901
935,750,880,901
935,750,888,952
935,366,869,1009
830,471,865,1035
811,490,864,1035
793,508,839,1028
790,511,812,963
793,498,809,974
735,508,922,1304
538,705,922,1268
516,727,941,1267
533,727,943,1267
533,711,871,1267
495,749,692,1267
495,749,639,1223
490,754,639,1179
490,747,639,1179
490,747,639,1179
591,747,627,1179
552,786,685,1087
626,786,687,1196
816,786,473,1202
819,786,683,1207
819,776,741,912
800,743,758,871
800,704,713,847
800,663,713,751
631,832,713,771
608,855,707,772
608,810,1057,767
389,935,1283,767
482,935,1283,767
482,935,1275,716
482,935,1274,659
482,830,1268,710
482,811,1268,729
482,793,1227,679
576,790,1209,668
573,793,1209,590
573,735,1096,256
573,538,1100,255
573,516,1081,312
556,533,1079,312
556,533,1079,312
556,495,1079,479
556,495,1079,489
556,490,1079,530
556,490,1155,530
556,490,1253,530
455,591,1302,544
455,552,1264,549
381,626,1190,440
396,816,1257,434
432,819,1091,429
458,819,1033,420
476,800,1065,420
476,800,1065,425
568,800,1065,476
694,631,1065,447
740,608,1052,446
740,608,649,446
739,389,420,446
646,482,428,446
648,482,491,446
650,482,491,456
650,482,491,379
650,482,491,360
650,482,491,360
556,576,510,374
556,573,510,375
558,573,511,375
600,573,515,375
605,573,515,318
605,556,515,318
605,556,679,318
605,556,682,151
605,556,702,380
605,556,760,352
605,556,734,352
639,556,689,352
684,455,637,338
761,455,611,333
942,381,609,333
771,396,542,333
740,432,505,406
806,458,506,409
788,476,457,509
845,476,569,615
797,568,618,592
671,694,668,624
628,740,674,624
629,740,674,680
639,739,674,690
642,646,670,690
802,648,634,690
955,650,634,680
955,650,640,680
955,650,642,826
955,650,648,832
955,556,657,856
959,556,720,855
1143,558,729,873
1155,600,737,873
1187,605,737,893
1189,605,737,937
1349,605,573,946
1453,605,570,946
1547,605,550,716
1547,605,527,707
1558,605,553,826
1538,639,508,1158
1549,684,561,1221
1473,761,654,1252
1367,942,778,1270
1388,771,848,1373
1416,740,842,1403
1408,806,841,1452
1425,788,854,1500
1467,845,743,1412
1437,797,694,1394
1438,671,644,1362
1438,628,636,1362
1437,629,641,1306
1427,639,641,1296
1424,642,637,1296
1262,802,637,1296
1107,955,643,1296
1112,955,642,1296
1119,955,661,1150
1143,955,657,1144
1316,955,630,1106
1323,959,567,1106
1214,1143,557,1088
1217,1155,541,1088
1180,1187,541,1090
1209,1189,541,1047
1049,1349,541,1040
1079,1453,541,1108
1040,1547,541,1111
1127,1547,520,1108
1119,1558,444,989
1106,1538,436,657
1050,1549,383,610
1049,1473,290,580
974,1367,169,667
919,1388,99,588
886,1416,98,546
802,1408,98,497
798,1425,85,389
706,1467,84,367
692,1437,84,411
691,1438,84,430
709,1438,84,430
709,1437,88,434
709,1427,88,448
774,1424,88,534
845,1262,81,654
845,1107,263,683
840,1112,365,690
833,1119,356,694
815,1143,354,748
645,1316,381,803
634,1323,750,803
602,1214,750,815
549,1217,750,815
549,1180,750,793
519,1209,750,792
535,1049,750,790
468,1079,750,722
417,1040,750,746
351,1127,736,780
357,1119,736,991
441,1106,764,994
604,1050,771,978
607,1049,778,1049
644,974,775,1086
644,919,775,1304
641,886,786,1243
641,802,786,1240
628,798,888,1200
621,706,1042,1199
622,692,1063,1145
622,691,1083,1126
601,709,1086,1126
620,709,1077,1122
627,709,1080,1108
562,774,1148,1022
517,845,1139,902
556,845,951,873
556,840,848,866
556,833,837,884
570,815,837,830
574,645,835,775
708,634,485,775
708,602,485,763
749,549,485,776
778,549,485,835
804,519,489,835
982,535,489,914
935,468,508,1079
931,417,510,1071
910,351,510,1087
901,357,632,920
816,441,672,917
692,604,720,917
689,607,713,846
652,644,765,704
652,644,780,463
652,641,837,513
652,641,838,715
652,628,743,786
652,621,592,812
651,622,571,863
651,622,551,892
651,601,548,1008
632,620,548,1018
625,627,545,1018
628,562,477,1022
782,517,466,1055
820,556,466,1231
824,556,462,1254
824,556,534,1232
804,570,547,1251
797,574,571,1251
790,708,600,1256
807,708,622,1327
784,749,648,1358
816,778,654,1299
821,804,650,1306
645,982,650,1233
628,935,631,1068
688,931,629,1040
697,910,629,989
736,901,507,945
739,816,439,977
700,692,384,1094
700,689,388,1112
725,652,340,1112
725,652,326,1158
725,652,258,1108
725,652,257,917
731,652,250,852
735,652,247,888
735,651,247,930
735,651,247,927
735,651,290,811
735,632,492,801
735,625,578,803
732,628,578,857
552,782,578,825
475,820,578,696
471,824,578,673
471,824,505,685
471,804,492,674
500,797,448,674
373,790,471,669
311,807,451,598
289,784,479,716
228,816,473,724
198,821,473,730
190,645,473,747
275,628,473,747
276,688,473,747
267,697,473,747
228,736,475,747
486,739,475,715
507,700,475,598
507,700,476,579
533,725,540,579
533,725,683,532
632,725,721,532
632,725,776,521
626,731,776,515
627,735,935,453
627,735,983,360
627,735,983,392
693,735,945,418
693,735,743,423
693,735,662,437
693,732,662,379
693,552,703,378
693,475,703,331
693,471,703,331
693,471,703,326
765,471,703,321
866,500,709,330
871,373,639,367
893,311,648,386
972,289,594,291
1100,228,594,354
1106,198,594,341
1096,190,594,318
1008,275,594,330
947,276,594,345
947,267,594,345
947,228,592,567
940,486,650,653
919,507,685,658
1062,507,684,658
1073,533,661,658
1164,533,711,658
1100,632,757,658
1129,632,702,746
1129,626,702,746
1151,627,543,824
1151,627,879,841
1151,627,879,836
1151,693,874,810
1151,693,874,805
1158,693,869,846
1160,693,882,848
1160,693,889,848
1160,693,889,876
1160,693,889,876
1160,693,889,869
1088,765,905,1109
958,866,893,1100
953,871,892,1063
931,893,881,1044
852,972,888,977
724,1100,888,906
716,1106,888,906
716,1096,888,1077
716,1008,888,1153
716,947,888,1138
716,947,888,1138
716,947,898,916
462,940,892,870
462,919,896,895
319,1062,933,895
340,1073,888,900
378,1164,694,967
344,1100,655,971
315,1129,750,883
319,1129,750,883
299,1151,750,805
304,1151,366,808
304,1151,471,765
238,1151,490,766
238,1151,508,832
231,1158,511,820
267,1160,498,821
272,1160,508,821
276,1160,705,793
276,1160,727,793
276,1160,727,793
317,1088,711,622
317,958,749,801
447,953,749,854
468,931,754,854
468,852,747,854
471,724,747,854
471,716,747,869
494,716,786,704
494,716,786,690
536,716,786,904
597,716,786,904
597,716,776,904
597,462,743,864
605,462,704,879
605,319,663,879
522,340,832,874
433,378,855,828
777,344,810,877
777,315,935,880
885,319,935,880
1024,299,935,888
1110,304,935,869
1225,304,830,865
1237,238,811,864
1237,238,793,839
1237,231,790,812
1199,267,793,809
1196,272,735,922
1302,276,538,922
1326,276,516,941
1326,276,533,943
1474,317,533,871
1829,317,495,692
1722,447,495,639
1777,468,490,639
1787,468,490,639
1784,471,490,639
1784,471,591,627
1761,494,552,685
1761,494,626,687
1719,536,816,473
1658,597,819,683
1696,597,819,741
1877,597,800,758
1921,605,800,713
1922,605,800,713
1922,522,631,713
1882,433,608,707
1565,777,608,1057
1565,777,389,1283
1453,885,482,1283
1379,1024,482,1275
1376,1110,482,1274
1261,1225,482,1268
1249,1237,482,1268
1249,1237,482,1227
1249,1237,576,1209
1249,1199,573,1209
1247,1196,573,1096
1206,1302,573,1100
1386,1326,573,1081
1387,1326,556,1079
1212,1474,556,1079
858,1829,556,1079
839,1722,556,1079
763,1777,556,1079
812,1787,556,1155
825,1784,556,1253
959,1784,455,1302
959,1761,455,1264
959,1761,381,1190
988,1719,396,1257
989,1658,432,1091
951,1696,458,1033
770,1877,476,1065
718,1921,476,1065
717,1922,568,1065
717,1922,694,1065
717,1882,740,1052
689,1565,740,649
689,1565,739,420
720,1453,646,428
722,1379,648,491
634,1376,650,491
634,1261,650,491
727,1249,650,491
762,1249,650,491
762,1249,556,510
762,1249,556,510
799,1247,558,511
730,1206,600,515
526,1386,605,515
525,1387,605,515
512,1212,605,679
511,858,605,682
507,839,605,702
523,763,605,760
531,812,605,734
518,825,639,689
385,959,684,637
406,959,761,611
423,959,942,609
394,988,771,542
519,989,740,505
627,951,806,506
708,770,788,457
804,718,845,569
858,717,797,618
1013,717,671,668
1046,717,628,674
1134,689,629,674
1138,689,639,674
1108,720,642,670
1034,722,802,634
1034,634,955,634
1035,634,955,640
944,727,955,642
909,762,955,648
909,762,955,657
924,762,959,720
888,799,1143,729
888,730,1155,737
890,526,1187,737
891,525,1189,737
893,512,1349,573
893,511,1453,570
930,507,1547,550
915,523,1547,527
848,531,1558,553
850,518,1538,508
849,385,1549,561
832,406,1473,654
820,423,1367,778
821,394,1388,848
722,519,1416,842
754,627,1408,841
702,708,1425,854
612,804,1467,743
559,858,1437,694
410,1013,1438,644
388,1046,1438,636
306,1134,1437,641
302,1138,1427,641
332,1108,1424,637
347,1034,1262,637
377,1034,1107,643
480,1035,1112,642
495,944,1119,661
577,909,1143,657
717,909,1316,630
809,924,1323,567
883,888,1214,557
884,888,1217,541
882,890,1180,541
883,891,1209,541
887,893,1049,541
889,893,1079,541
852,930,1040,541
851,915,1127,520
901,848,1119,444
1010,850,1106,436
1092,849,1050,383
1091,832,1049,290
1086,820,974,169
1314,821,919,99
1335,722,886,98
1203,754,802,98
1293,702,798,85
1287,612,706,84
1306,559,692,84
1325,410,691,84
1365,388,709,84
1364,306,709,88
1415,302,709,88
1384,332,774,88
1369,347,845,81
1359,377,845,263
1255,480,840,365
1248,495,833,356
1166,577,815,354
1026,717,645,381
919,809,634,750
844,883,602,750
868,884,549,750
898,882,549,750
896,883,519,750
900,887,535,750
928,889,468,750
928,852,417,750
928,851,351,736
878,901,357,736
770,1010,441,764
708,1092,604,771
705,1091,607,778
705,1086,644,775
476,1314,644,775
428,1335,641,786
428,1203,641,786
309,1293,628,888
311,1287,621,1042
309,1306,622,1063
347,1325,622,1083
316,1365,601,1086
321,1364,620,1077
351,1415,627,1080
359,1384,562,1148
359,1369,517,1139
339,1359,556,951
339,1255,556,848
337,1248,556,837
337,1166,570,837
337,1026,574,835
337,919,708,485
367,844,708,485
342,868,749,485
391,898,778,485
399,896,804,489
388,900,982,489
358,928,935,508
358,928,931,510
358,928,910,510
358,878,901,632
355,770,816,672
378,708,692,720
378,705,689,713
378,705,652,765
378,476,652,780
378,428,652,837
370,428,652,838
370,309,652,743
388,311,652,592
375,309,651,571
312,347,651,551
297,316,651,548
296,321,632,548
215,351,625,545
219,359,628,477
219,359,782,466
219,339,820,466
219,339,824,462
211,337,824,534
211,337,804,547
211,337,797,571
211,337,790,600
181,367,807,622
181,342,784,648
102,391,816,654
94,399,821,650
124,388,645,650
154,358,628,631
197,358,688,629
259,358,697,629
330,358,736,507
330,355,739,439
297,378,700,384
297,378,700,388
297,378,725,340
297,378,725,326
