Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1
1106,1159,717,1303,174,221,341,1902,564,369,443,1004
906,1215,819,1297,218,224,323,1787,698,311,501,997
610,1508,822,1275,238,226,308,1792,708,306,505,977
459,1592,889,1196,317,226,303,1719,784,293,478,980
443,1614,889,1196,317,226,303,1719,784,271,500,980
438,1609,857,1238,316,227,303,1715,788,270,490,854
437,1480,963,1262,316,227,292,1654,860,269,490,725
437,1480,960,1265,316,224,290,1464,1055,268,237,710
437,1479,954,1260,312,221,309,1311,1208,266,239,705
445,1462,970,1238,252,272,341,1217,1302,266,229,700
551,1281,1165,1182,318,271,343,911,1608,266,229,728
551,1247,1083,1258,358,270,344,860,1659,266,229,714
604,1246,1084,1214,402,253,357,852,1671,266,229,712
605,1246,1084,1193,423,208,357,897,1669,207,245,718
608,1178,1152,1099,517,208,283,948,1690,126,270,753
608,1178,1152,1004,612,208,187,1015,1719,124,251,805
426,1360,1152,926,690,208,178,1006,1737,124,251,861
394,1392,1152,770,846,205,181,985,1758,124,251,822
395,1390,1154,701,915,200,186,967,1776,124,251,822
357,1375,1206,700,917,194,192,964,1779,120,255,822
421,1374,1207,700,917,194,183,973,1779,96,279,817
397,1398,1162,701,961,194,183,973,1778,97,279,817
396,1399,1159,704,961,194,183,968,1783,97,279,817
396,1399,1159,472,1193,194,183,925,1826,97,279,811
407,1402,877,754,1193,192,154,941,1841,93,283,770
296,1392,980,772,1186,198,155,904,1872,87,295,639
290,1339,1038,695,1264,161,174,903,1883,95,295,540
287,1340,961,708,1330,133,202,708,2057,116,295,579
287,1197,1062,750,1330,133,202,653,2057,167,299,440
281,1194,1071,748,1327,119,221,597,1690,579,310,401
281,1191,1074,717,1358,119,221,380,1871,589,336,402
281,1106,1159,717,1303,174,221,341,1902,564,369,656
342,906,1215,819,1297,218,224,323,1787,698,311,642
383,610,1508,822,1275,238,226,308,1792,708,306,651
383,459,1592,889,1196,317,226,303,1719,784,293,633
390,443,1614,889,1196,317,226,303,1719,784,271,633
410,438,1609,857,1238,316,227,303,1715,788,270,633
454,437,1480,963,1262,316,227,292,1654,860,269,676
454,437,1480,960,1265,316,224,290,1464,1055,268,734
454,437,1479,954,1260,312,221,309,1311,1208,266,753
446,445,1462,970,1238,252,272,341,1217,1302,266,753
315,551,1281,1165,1182,318,271,343,911,1608,266,723
335,551,1247,1083,1258,358,270,344,860,1659,266,723
