Accum_y-0,T-1,T-2,T-3,Accum_y-1
1096,190,645,982,594
1008,275,628,935,594
947,276,688,931,594
947,267,697,910,594
947,228,736,901,592
940,486,739,816,650
919,507,700,692,685
1062,507,700,689,684
1073,533,725,652,661
1164,533,725,652,711
1100,632,725,652,757
1129,632,725,652,702
1129,626,731,652,702
1151,627,735,652,543
1151,627,735,651,879
1151,627,735,651,879
1151,693,735,651,874
1151,693,735,632,874
1158,693,735,625,869
1160,693,732,628,882
1160,693,552,782,889
1160,693,475,820,889
1160,693,471,824,889
1160,693,471,824,889
1088,765,471,804,905
958,866,500,797,893
953,871,373,790,892
931,893,311,807,881
852,972,289,784,888
724,1100,228,816,888
716,1106,198,821,888
716,1096,190,645,888
716,1008,275,628,888
716,947,276,688,888
716,947,267,697,888
716,947,228,736,898
462,940,486,739,892
462,919,507,700,896
319,1062,507,700,933
340,1073,533,725,888
378,1164,533,725,694
344,1100,632,725,655
315,1129,632,725,750
319,1129,626,731,750
299,1151,627,735,750
304,1151,627,735,366
304,1151,627,735,471
238,1151,693,735,490
238,1151,693,735,508
231,1158,693,735,511
267,1160,693,732,498
272,1160,693,552,508
276,1160,693,475,705
276,1160,693,471,727
276,1160,693,471,727
317,1088,765,471,711
317,958,866,500,749
447,953,871,373,749
468,931,893,311,754
468,852,972,289,747
471,724,1100,228,747
471,716,1106,198,747
494,716,1096,190,786
494,716,1008,275,786
536,716,947,276,786
597,716,947,267,786
597,716,947,228,776
597,462,940,486,743
605,462,919,507,704
605,319,1062,507,663
522,340,1073,533,832
433,378,1164,533,855
777,344,1100,632,810
777,315,1129,632,935
885,319,1129,626,935
1024,299,1151,627,935
1110,304,1151,627,935
1225,304,1151,627,830
1237,238,1151,693,811
1237,238,1151,693,793
1237,231,1158,693,790
1199,267,1160,693,793
1196,272,1160,693,735
1302,276,1160,693,538
1326,276,1160,693,516
1326,276,1160,693,533
1474,317,1088,765,533
1829,317,958,866,495
1722,447,953,871,495
1777,468,931,893,490
1787,468,852,972,490
1784,471,724,1100,490
1784,471,716,1106,591
1761,494,716,1096,552
1761,494,716,1008,626
1719,536,716,947,816
1658,597,716,947,819
1696,597,716,947,819
1877,597,462,940,800
1921,605,462,919,800
1922,605,319,1062,800
1922,522,340,1073,631
1882,433,378,1164,608
1565,777,344,1100,608
1565,777,315,1129,389
1453,885,319,1129,482
1379,1024,299,1151,482
1376,1110,304,1151,482
1261,1225,304,1151,482
1249,1237,238,1151,482
1249,1237,238,1151,482
1249,1237,231,1158,576
1249,1199,267,1160,573
1247,1196,272,1160,573
1206,1302,276,1160,573
1386,1326,276,1160,573
1387,1326,276,1160,556
1212,1474,317,1088,556
858,1829,317,958,556
839,1722,447,953,556
763,1777,468,931,556
812,1787,468,852,556
825,1784,471,724,556
959,1784,471,716,455
959,1761,494,716,455
959,1761,494,716,381
988,1719,536,716,396
989,1658,597,716,432
951,1696,597,716,458
770,1877,597,462,476
718,1921,605,462,476
717,1922,605,319,568
717,1922,522,340,694
717,1882,433,378,740
689,1565,777,344,740
689,1565,777,315,739
720,1453,885,319,646
722,1379,1024,299,648
634,1376,1110,304,650
634,1261,1225,304,650
727,1249,1237,238,650
762,1249,1237,238,650
762,1249,1237,231,556
762,1249,1199,267,556
799,1247,1196,272,558
730,1206,1302,276,600
526,1386,1326,276,605
525,1387,1326,276,605
512,1212,1474,317,605
511,858,1829,317,605
507,839,1722,447,605
523,763,1777,468,605
531,812,1787,468,605
518,825,1784,471,639
385,959,1784,471,684
406,959,1761,494,761
423,959,1761,494,942
394,988,1719,536,771
519,989,1658,597,740
627,951,1696,597,806
708,770,1877,597,788
804,718,1921,605,845
858,717,1922,605,797
1013,717,1922,522,671
1046,717,1882,433,628
1134,689,1565,777,629
1138,689,1565,777,639
1108,720,1453,885,642
1034,722,1379,1024,802
1034,634,1376,1110,955
1035,634,1261,1225,955
944,727,1249,1237,955
909,762,1249,1237,955
909,762,1249,1237,955
924,762,1249,1199,959
888,799,1247,1196,1143
888,730,1206,1302,1155
890,526,1386,1326,1187
891,525,1387,1326,1189
893,512,1212,1474,1349
893,511,858,1829,1453
930,507,839,1722,1547
915,523,763,1777,1547
848,531,812,1787,1558
850,518,825,1784,1538
849,385,959,1784,1549
832,406,959,1761,1473
820,423,959,1761,1367
821,394,988,1719,1388
722,519,989,1658,1416
754,627,951,1696,1408
702,708,770,1877,1425
612,804,718,1921,1467
559,858,717,1922,1437
410,1013,717,1922,1438
388,1046,717,1882,1438
306,1134,689,1565,1437
302,1138,689,1565,1427
332,1108,720,1453,1424
347,1034,722,1379,1262
377,1034,634,1376,1107
480,1035,634,1261,1112
495,944,727,1249,1119
577,909,762,1249,1143
717,909,762,1249,1316
809,924,762,1249,1323
883,888,799,1247,1214
884,888,730,1206,1217
882,890,526,1386,1180
883,891,525,1387,1209
887,893,512,1212,1049
889,893,511,858,1079
852,930,507,839,1040
851,915,523,763,1127
901,848,531,812,1119
1010,850,518,825,1106
1092,849,385,959,1050
1091,832,406,959,1049
1086,820,423,959,974
1314,821,394,988,919
1335,722,519,989,886
1203,754,627,951,802
1293,702,708,770,798
1287,612,804,718,706
1306,559,858,717,692
1325,410,1013,717,691
1365,388,1046,717,709
1364,306,1134,689,709
1415,302,1138,689,709
1384,332,1108,720,774
1369,347,1034,722,845
1359,377,1034,634,845
1255,480,1035,634,840
1248,495,944,727,833
1166,577,909,762,815
1026,717,909,762,645
919,809,924,762,634
844,883,888,799,602
868,884,888,730,549
898,882,890,526,549
896,883,891,525,519
900,887,893,512,535
928,889,893,511,468
928,852,930,507,417
928,851,915,523,351
878,901,848,531,357
770,1010,850,518,441
708,1092,849,385,604
705,1091,832,406,607
705,1086,820,423,644
476,1314,821,394,644
428,1335,722,519,641
428,1203,754,627,641
309,1293,702,708,628
311,1287,612,804,621
309,1306,559,858,622
347,1325,410,1013,622
316,1365,388,1046,601
321,1364,306,1134,620
351,1415,302,1138,627
359,1384,332,1108,562
359,1369,347,1034,517
339,1359,377,1034,556
339,1255,480,1035,556
337,1248,495,944,556
337,1166,577,909,570
337,1026,717,909,574
337,919,809,924,708
367,844,883,888,708
342,868,884,888,749
391,898,882,890,778
399,896,883,891,804
388,900,887,893,982
358,928,889,893,935
358,928,852,930,931
358,928,851,915,910
358,878,901,848,901
355,770,1010,850,816
378,708,1092,849,692
378,705,1091,832,689
378,705,1086,820,652
378,476,1314,821,652
378,428,1335,722,652
370,428,1203,754,652
370,309,1293,702,652
388,311,1287,612,652
375,309,1306,559,651
312,347,1325,410,651
297,316,1365,388,651
296,321,1364,306,632
215,351,1415,302,625
219,359,1384,332,628
219,359,1369,347,782
219,339,1359,377,820
219,339,1255,480,824
211,337,1248,495,824
211,337,1166,577,804
211,337,1026,717,797
211,337,919,809,790
181,367,844,883,807
181,342,868,884,784
102,391,898,882,816
94,399,896,883,821
124,388,900,887,645
154,358,928,889,628
197,358,928,852,688
259,358,928,851,697
330,358,878,901,736
330,355,770,1010,739
297,378,708,1092,700
297,378,705,1091,700
297,378,705,1086,725
297,378,476,1314,725
297,378,428,1335,725
297,370,428,1203,725
317,370,309,1293,731
297,388,311,1287,735
292,375,309,1306,735
292,312,347,1325,735
287,297,316,1365,735
295,296,321,1364,735
295,215,351,1415,735
283,219,359,1384,732
283,219,359,1369,552
283,219,339,1359,475
283,219,339,1255,471
288,211,337,1248,471
314,211,337,1166,471
314,211,337,1026,500
314,211,337,919,373
314,181,367,844,311
352,181,342,868,289
360,102,391,898,228
390,94,399,896,198
360,124,388,900,190
330,154,358,928,275
287,197,358,928,276
225,259,358,928,267
154,330,358,878,228
154,330,355,770,486
144,297,378,708,507
144,297,378,705,507
186,297,378,705,533
186,297,378,476,533
186,297,378,428,632
186,297,370,428,632
179,317,370,309,626
187,297,388,311,627
187,292,375,309,627
187,292,312,347,627
218,287,297,316,693
255,295,296,321,693
364,295,215,351,693
425,283,219,359,693
425,283,219,359,693
433,283,219,339,693
433,283,219,339,693
428,288,211,337,693
402,314,211,337,765
402,314,211,337,866
402,314,211,337,871
402,314,181,367,893
364,352,181,342,972
356,360,102,391,1100
435,390,94,399,1106
435,360,124,388,1096
435,330,154,358,1008
488,287,197,358,947
488,225,259,358,947
528,154,330,358,947
630,154,330,355,940
633,144,297,378,919
648,144,297,378,1062
611,186,297,378,1073
674,186,297,378,1164
674,186,297,378,1100
711,186,297,370,1129
698,179,317,370,1129
690,187,297,388,1151
726,187,292,375,1151
741,187,292,312,1151
760,218,287,297,1151
754,255,295,296,1151
864,364,295,215,1158
811,425,283,219,1160
1097,425,283,219,1160
1101,433,283,219,1160
1102,433,283,219,1160
1104,428,288,211,1160
1104,402,314,211,1088
1105,402,314,211,958
1105,402,314,211,953
1164,402,314,181,931
1164,364,352,181,852
1164,356,360,102,724
1055,435,390,94,716
1055,435,360,124,716
1055,435,330,154,716
1002,488,287,197,716
1002,488,225,259,716
962,528,154,330,716
860,630,154,330,462
857,633,144,297,462
859,648,144,297,319
854,611,186,297,340
812,674,186,297,378
833,674,186,297,344
811,711,186,297,315
811,698,179,317,319
937,690,187,297,299
1032,726,187,292,304
1032,741,187,292,304
989,760,218,287,238
946,754,255,295,238
729,864,364,295,231
735,811,425,283,267
451,1097,425,283,272
458,1101,433,283,276
457,1102,433,283,276
467,1104,428,288,276
552,1104,402,314,317
590,1105,402,314,317
590,1105,402,314,447
531,1164,402,314,468
536,1164,364,352,468
536,1164,356,360,471
536,1055,435,390,471
542,1055,435,360,494
598,1055,435,330,494
729,1002,488,287,536
829,1002,488,225,597
832,962,528,154,597
971,860,630,154,597
1021,857,633,144,605
1004,859,648,144,605
1004,854,611,186,522
997,812,674,186,433
977,833,674,186,777
980,811,711,186,777
980,811,698,179,885
854,937,690,187,1024
725,1032,726,187,1110
710,1032,741,187,1225
705,989,760,218,1237
700,946,754,255,1237
728,729,864,364,1237
714,735,811,425,1199
712,451,1097,425,1196
718,458,1101,433,1302
753,457,1102,433,1326
805,467,1104,428,1326
861,552,1104,402,1474
822,590,1105,402,1829
822,590,1105,402,1722
822,531,1164,402,1777
817,536,1164,364,1787
817,536,1164,356,1784
817,536,1055,435,1784
811,542,1055,435,1761
770,598,1055,435,1761
639,729,1002,488,1719
540,829,1002,488,1658
579,832,962,528,1696
440,971,860,630,1877
401,1021,857,633,1921
402,1004,859,648,1922
656,1004,854,611,1922
642,997,812,674,1882
651,977,833,674,1565
633,980,811,711,1565
633,980,811,698,1453
633,854,937,690,1379
676,725,1032,726,1376
734,710,1032,741,1261
753,705,989,760,1249
753,700,946,754,1249
723,728,729,864,1249
723,714,735,811,1249
723,712,451,1097,1247
698,718,458,1101,1206
663,753,457,1102,1386
599,805,467,1104,1387
458,861,552,1104,1212
458,822,590,1105,858
458,822,590,1105,839
458,822,531,1164,763
458,817,536,1164,812
458,817,536,1164,825
458,817,536,1055,959
458,811,542,1055,959
443,770,598,1055,959
501,639,729,1002,988
505,540,829,1002,989
478,579,832,962,951
500,440,971,860,770
490,401,1021,857,718
490,402,1004,859,717
237,656,1004,854,717
239,642,997,812,717
229,651,977,833,689
229,633,980,811,689
229,633,980,811,720
229,633,854,937,722
245,676,725,1032,634
270,734,710,1032,634
251,753,705,989,727
251,753,700,946,762
251,723,728,729,762
251,723,714,735,762
255,723,712,451,799
279,698,718,458,730
279,663,753,457,526
279,599,805,467,525
279,458,861,552,512
283,458,822,590,511
295,458,822,590,507
295,458,822,531,523
295,458,817,536,531
299,458,817,536,518
310,458,817,536,385
336,458,811,542,406
369,443,770,598,423
311,501,639,729,394
306,505,540,829,519
293,478,579,832,627
271,500,440,971,708
270,490,401,1021,804
269,490,402,1004,858
268,237,656,1004,1013
266,239,642,997,1046
266,229,651,977,1134
266,229,633,980,1138
266,229,633,980,1108
266,229,633,854,1034
207,245,676,725,1034
126,270,734,710,1035
124,251,753,705,944
124,251,753,700,909
124,251,723,728,909
124,251,723,714,924
120,255,723,712,888
96,279,698,718,888
97,279,663,753,890
97,279,599,805,891
97,279,458,861,893
93,283,458,822,893
87,295,458,822,930
95,295,458,822,915
116,295,458,817,848
167,299,458,817,850
579,310,458,817,849
589,336,458,811,832
564,369,443,770,820
698,311,501,639,821
708,306,505,540,722
784,293,478,579,754
784,271,500,440,702
788,270,490,401,612
860,269,490,402,559
1055,268,237,656,410
1208,266,239,642,388
1302,266,229,651,306
1608,266,229,633,302
1659,266,229,633,332
1671,266,229,633,347
1669,207,245,676,377
1690,126,270,734,480
1719,124,251,753,495
1737,124,251,753,577
1758,124,251,723,717
1776,124,251,723,809
1779,120,255,723,883
1779,96,279,698,884
1778,97,279,663,882
1783,97,279,599,883
1826,97,279,458,887
1841,93,283,458,889
1872,87,295,458,852
1883,95,295,458,851
2057,116,295,458,901
2057,167,299,458,1010
1690,579,310,458,1092
1871,589,336,458,1091
1902,564,369,443,1086
1787,698,311,501,1314
1792,708,306,505,1335
1719,784,293,478,1203
1719,784,271,500,1293
1715,788,270,490,1287
1654,860,269,490,1306
1464,1055,268,237,1325
1311,1208,266,239,1365
1217,1302,266,229,1364
911,1608,266,229,1415
860,1659,266,229,1384
852,1671,266,229,1369
897,1669,207,245,1359
948,1690,126,270,1255
1015,1719,124,251,1248
1006,1737,124,251,1166
985,1758,124,251,1026
967,1776,124,251,919
964,1779,120,255,844
973,1779,96,279,868
973,1778,97,279,898
968,1783,97,279,896
925,1826,97,279,900
941,1841,93,283,928
904,1872,87,295,928
903,1883,95,295,928
708,2057,116,295,878
653,2057,167,299,770
597,1690,579,310,708
380,1871,589,336,705
341,1902,564,369,705
323,1787,698,311,476
308,1792,708,306,428
303,1719,784,293,428
303,1719,784,271,309
303,1715,788,270,311
292,1654,860,269,309
290,1464,1055,268,347
309,1311,1208,266,316
341,1217,1302,266,321
343,911,1608,266,351
344,860,1659,266,359
357,852,1671,266,359
357,897,1669,207,339
283,948,1690,126,339
187,1015,1719,124,337
178,1006,1737,124,337
181,985,1758,124,337
186,967,1776,124,337
192,964,1779,120,367
183,973,1779,96,342
183,973,1778,97,391
183,968,1783,97,399
183,925,1826,97,388
154,941,1841,93,358
155,904,1872,87,358
174,903,1883,95,358
202,708,2057,116,358
202,653,2057,167,355
221,597,1690,579,378
221,380,1871,589,378
221,341,1902,564,378
224,323,1787,698,378
226,308,1792,708,378
226,303,1719,784,370
226,303,1719,784,370
227,303,1715,788,388
227,292,1654,860,375
224,290,1464,1055,312
221,309,1311,1208,297
272,341,1217,1302,296
271,343,911,1608,215
270,344,860,1659,219
253,357,852,1671,219
208,357,897,1669,219
208,283,948,1690,219
208,187,1015,1719,211
208,178,1006,1737,211
205,181,985,1758,211
200,186,967,1776,211
194,192,964,1779,181
194,183,973,1779,181
194,183,973,1778,102
194,183,968,1783,94
194,183,925,1826,124
192,154,941,1841,154
198,155,904,1872,197
161,174,903,1883,259
133,202,708,2057,330
133,202,653,2057,330
119,221,597,1690,297
119,221,380,1871,297
174,221,341,1902,297
218,224,323,1787,297
238,226,308,1792,297
317,226,303,1719,297
317,226,303,1719,317
316,227,303,1715,297
316,227,292,1654,292
316,224,290,1464,292
312,221,309,1311,287
252,272,341,1217,295
318,271,343,911,295
358,270,344,860,283
402,253,357,852,283
423,208,357,897,283
517,208,283,948,283
612,208,187,1015,288
690,208,178,1006,314
846,205,181,985,314
915,200,186,967,314
917,194,192,964,314
917,194,183,973,352
961,194,183,973,360
961,194,183,968,390
1193,194,183,925,360
1193,192,154,941,330
1186,198,155,904,287
1264,161,174,903,225
1330,133,202,708,154
1330,133,202,653,154
1327,119,221,597,144
1358,119,221,380,144
1303,174,221,341,186
1297,218,224,323,186
1275,238,226,308,186
1196,317,226,303,186
1196,317,226,303,179
1238,316,227,303,187
1262,316,227,292,187
1265,316,224,290,187
1260,312,221,309,218
1238,252,272,341,255
1182,318,271,343,364
1258,358,270,344,425
1214,402,253,357,425
1193,423,208,357,433
1099,517,208,283,433
1004,612,208,187,428
926,690,208,178,402
770,846,205,181,402
701,915,200,186,402
700,917,194,192,402
700,917,194,183,364
701,961,194,183,356
704,961,194,183,435
472,1193,194,183,435
754,1193,192,154,435
772,1186,198,155,488
695,1264,161,174,488
708,1330,133,202,528
750,1330,133,202,630
748,1327,119,221,633
717,1358,119,221,648
717,1303,174,221,611
819,1297,218,224,674
822,1275,238,226,674
889,1196,317,226,711
889,1196,317,226,698
857,1238,316,227,690
963,1262,316,227,726
960,1265,316,224,741
954,1260,312,221,760
970,1238,252,272,754
1165,1182,318,271,864
1083,1258,358,270,811
1084,1214,402,253,1097
1084,1193,423,208,1101
1152,1099,517,208,1102
1152,1004,612,208,1104
1152,926,690,208,1104
1152,770,846,205,1105
1154,701,915,200,1105
1206,700,917,194,1164
1207,700,917,194,1164
1162,701,961,194,1164
1159,704,961,194,1055
1159,472,1193,194,1055
877,754,1193,192,1055
980,772,1186,198,1002
1038,695,1264,161,1002
961,708,1330,133,962
1062,750,1330,133,860
1071,748,1327,119,857
1074,717,1358,119,859
1159,717,1303,174,854
1215,819,1297,218,812
1508,822,1275,238,833
1592,889,1196,317,811
1614,889,1196,317,811
1609,857,1238,316,937
1480,963,1262,316,1032
1480,960,1265,316,1032
1479,954,1260,312,989
1462,970,1238,252,946
1281,1165,1182,318,729
1247,1083,1258,358,735
1246,1084,1214,402,451
1246,1084,1193,423,458
1178,1152,1099,517,457
1178,1152,1004,612,467
1360,1152,926,690,552
1392,1152,770,846,590
1390,1154,701,915,590
1375,1206,700,917,531
1374,1207,700,917,536
1398,1162,701,961,536
1399,1159,704,961,536
1399,1159,472,1193,542
1402,877,754,1193,598
1392,980,772,1186,729
1339,1038,695,1264,829
1340,961,708,1330,832
1197,1062,750,1330,971
1194,1071,748,1327,1021
1191,1074,717,1358,1004
1106,1159,717,1303,1004
906,1215,819,1297,997
610,1508,822,1275,977
459,1592,889,1196,980
443,1614,889,1196,980
438,1609,857,1238,854
437,1480,963,1262,725
437,1480,960,1265,710
437,1479,954,1260,705
445,1462,970,1238,700
551,1281,1165,1182,728
551,1247,1083,1258,714
604,1246,1084,1214,712
605,1246,1084,1193,718
608,1178,1152,1099,753
608,1178,1152,1004,805
426,1360,1152,926,861
394,1392,1152,770,822
395,1390,1154,701,822
357,1375,1206,700,822
421,1374,1207,700,817
397,1398,1162,701,817
396,1399,1159,704,817
396,1399,1159,472,811
407,1402,877,754,770
296,1392,980,772,639
290,1339,1038,695,540
287,1340,961,708,579
287,1197,1062,750,440
281,1194,1071,748,401
281,1191,1074,717,402
281,1106,1159,717,656
342,906,1215,819,642
383,610,1508,822,651
383,459,1592,889,633
390,443,1614,889,633
410,438,1609,857,633
454,437,1480,963,676
454,437,1480,960,734
454,437,1479,954,753
446,445,1462,970,753
315,551,1281,1165,723
335,551,1247,1083,723
323,604,1246,1084,723
322,605,1246,1084,698
349,608,1178,1152,663
418,608,1178,1152,599
667,426,1360,1152,458
728,394,1392,1152,458
763,395,1390,1154,458
763,357,1375,1206,458
699,421,1374,1207,458
706,397,1398,1162,458
767,396,1399,1159,458
962,396,1399,1159,458
951,407,1402,877,443
986,296,1392,980,501
1014,290,1339,1038,505
1034,287,1340,961,478
1040,287,1197,1062,500
1040,281,1194,1071,490
1066,281,1191,1074,490
1184,281,1106,1159,237
1170,342,906,1215,239
1373,383,610,1508,229
1402,383,459,1592,229
1397,390,443,1614,229
1380,410,438,1609,229
1336,454,437,1480,245
1336,454,437,1480,270
1336,454,437,1479,251
1336,446,445,1462,251
1336,315,551,1281,251
1316,335,551,1247,251
1275,323,604,1246,255
1275,322,605,1246,279
1248,349,608,1178,279
1180,418,608,1178,279
931,667,426,1360,279
882,728,394,1392,283
896,763,395,1390,295
896,763,357,1375,295
896,699,421,1374,295
1043,706,397,1398,299
1121,767,396,1399,310
947,962,396,1399,336
977,951,407,1402,369
942,986,296,1392,311
927,1014,290,1339,306
907,1034,287,1340,293
901,1040,287,1197,271
990,1040,281,1194,270
964,1066,281,1191,269
846,1184,281,1106,268
799,1170,342,906,266
555,1373,383,610,266
526,1402,383,459,266
518,1397,390,443,266
515,1380,410,438,266
528,1336,454,437,207
528,1336,454,437,126
528,1336,454,437,124
544,1336,446,445,124
545,1336,315,551,124
545,1316,335,551,124
545,1275,323,604,120
545,1275,322,605,96
668,1248,349,608,97
670,1180,418,608,97
670,931,667,426,97
658,882,728,394,93
608,896,763,395,87
690,896,763,357,95
693,896,699,421,116
562,1043,706,397,167
504,1121,767,396,579
511,947,962,396,589
478,977,951,407,564
491,942,986,296,698
478,927,1014,290,708
497,907,1034,287,784
513,901,1040,287,784
424,990,1040,281,788
424,964,1066,281,860
425,846,1184,281,1055
573,799,1170,342,1208
693,555,1373,383,1302
778,526,1402,383,1608
936,518,1397,390,1659
937,515,1380,410,1671
925,528,1336,454,1669
989,528,1336,454,1690
1032,528,1336,454,1719
1146,544,1336,446,1737
1162,545,1336,315,1758
1162,545,1316,335,1776
1289,545,1275,323,1779
1352,545,1275,322,1779
1460,668,1248,349,1778
1491,670,1180,418,1783
1493,670,931,667,1826
1533,658,882,728,1841
1533,608,896,763,1872
1452,690,896,763,1883
