Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2
544,997,1507,891,464,645,1189,1658,527,561,432,534,1452,1883
624,997,1507,889,465,646,1178,1669,527,561,432,471,1449,2057
640,845,1659,889,465,646,1131,1649,594,561,421,248,1434,2057
688,746,1758,889,465,632,1145,1649,594,561,417,218,1355,1690
702,617,1805,985,421,509,1312,1649,594,473,408,313,1329,1871
816,557,1768,1082,421,509,1312,1647,596,473,343,338,1329,1902
821,511,1812,1090,421,509,1312,1647,596,473,335,346,1316,1787
829,497,1828,1090,385,545,1312,1647,596,473,303,377,1316,1792
906,325,2000,1042,345,633,1312,1637,606,473,283,397,1307,1719
917,310,2010,780,612,633,1312,1299,944,473,283,389,1292,1719
942,219,2055,716,722,633,1282,1296,977,473,275,395,1300,1715
942,219,2052,710,731,633,1247,1326,980,459,243,441,1315,1654
945,211,2060,533,908,633,1247,1326,900,539,208,476,1314,1464
938,234,2065,531,868,675,1247,1309,871,585,208,476,1166,1311
990,197,1789,839,873,675,1246,1269,841,639,219,482,1101,1217
1012,196,1767,839,896,675,1079,1414,765,657,299,472,1016,911
1013,196,1734,863,905,675,1079,1372,805,654,304,471,858,860
1013,196,1675,865,962,675,1079,1298,879,647,298,476,857,852
930,279,1675,749,1078,675,1079,1245,932,647,297,462,858,897
987,267,1683,715,1090,701,1079,1164,1012,646,299,462,828,948
1003,256,1687,713,912,888,1079,1164,1012,564,366,477,799,1015
895,328,1719,709,920,888,953,902,1400,525,404,423,678,1006
960,328,1538,890,920,888,316,1349,1590,499,430,423,661,985
935,358,1292,1136,920,587,607,1303,1646,370,559,423,661,967
861,441,1286,1144,920,587,604,1305,1647,370,559,423,534,964
910,440,1218,1214,889,574,646,1209,1745,370,559,421,471,973
943,443,1080,1352,882,573,650,1194,1764,349,580,387,248,973
772,614,951,1470,891,523,702,1191,1767,300,629,373,218,968
760,626,914,1507,891,523,702,1155,1803,300,629,364,313,925
760,612,928,1507,891,482,740,1158,1603,500,626,367,338,941
759,613,928,1507,891,479,724,1170,1587,523,615,378,346,904
792,544,997,1507,891,464,645,1189,1658,527,561,432,377,903
