Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
1080,88,641,1108,1066,431,746,440
1148,88,637,1022,1066,444,746,387
1139,81,637,902,988,339,666,348
951,263,643,873,830,427,605,339
848,365,642,866,775,433,609,279
837,356,661,884,720,417,526,273
837,354,657,830,732,446,558,273
835,381,630,775,732,446,558,293
485,750,567,775,777,446,555,293
485,750,557,763,880,446,555,273
485,750,541,776,999,442,555,292
485,750,541,835,1016,441,568,271
489,750,541,835,1042,464,568,271
489,750,541,914,1206,486,567,314
508,750,541,1079,1294,515,567,313
510,750,541,1071,1328,522,565,313
510,736,520,1087,1412,674,548,281
632,736,444,920,1412,674,553,230
672,764,436,917,1429,675,543,235
720,771,383,917,1499,687,544,241
713,778,290,846,1523,691,550,266
765,775,169,704,1519,762,554,266
780,775,99,463,1509,822,560,263
837,786,98,513,1499,832,560,228
838,786,98,715,1315,817,573,168
743,888,85,786,1308,805,594,255
592,1042,84,812,1281,793,529,251
571,1063,84,863,1146,793,484,251
551,1083,84,892,1031,783,369,251
548,1086,84,1008,1008,783,236,251
548,1077,88,1018,870,782,217,251
545,1080,88,1018,920,591,216,251
477,1148,88,1022,955,573,216,290
466,1139,81,1055,992,591,216,362
466,951,263,1231,992,516,187,396
462,848,365,1254,1207,510,190,443
534,837,356,1232,1211,500,129,447
547,837,354,1251,1219,634,106,447
571,835,381,1251,1224,717,106,427
600,485,750,1256,1179,721,162,427
622,485,750,1327,1076,768,184,425
648,485,750,1358,976,805,189,394
654,485,750,1299,972,875,227,393
650,489,750,1306,954,958,252,385
650,489,750,1233,831,950,252,329
631,508,750,1068,740,1056,252,329
629,510,750,1040,706,1104,252,415
629,510,736,989,621,977,252,417
507,632,736,945,621,977,263,453
439,672,764,977,604,976,265,517
384,720,771,1094,534,964,318,526
388,713,778,1112,510,960,340,512
340,765,775,1112,510,889,342,529
326,780,775,1158,475,829,336,527
258,837,786,1108,475,818,336,523
257,838,786,917,475,815,323,523
250,743,888,852,475,823,302,436
247,592,1042,888,475,846,302,435
247,571,1063,930,475,856,302,435
247,551,1083,927,475,915,342,435
290,548,1086,811,475,922,383,435
492,548,1077,801,469,922,383,443
578,545,1080,803,419,922,406,472
578,477,1148,857,384,922,470,515
578,466,1139,825,347,877,476,446
578,466,951,696,347,906,476,412
578,462,848,673,132,906,460,514
505,534,837,685,128,906,463,510
492,547,837,674,107,736,455,510
448,571,835,674,102,653,564,510
471,600,485,669,102,682,568,510
451,622,485,598,102,635,545,542
479,648,485,716,83,598,551,563
473,654,485,724,136,528,500,569
473,650,489,730,107,520,475,569
473,650,489,747,66,517,475,571
473,631,508,747,66,382,475,571
473,629,510,747,66,327,545,523
473,629,510,747,90,302,568,538
475,507,632,747,92,317,559,503
475,439,672,715,92,317,565,502
475,384,720,598,198,317,607,694
476,388,713,579,279,427,590,892
540,340,765,579,370,432,584,877
683,326,780,532,370,432,584,877
721,258,837,532,398,432,584,984
776,257,838,521,413,557,584,984
776,250,743,515,433,571,677,992
935,247,592,453,444,548,766,992
983,247,571,360,479,538,766,992
983,247,551,392,638,876,726,992
945,290,548,418,724,869,685,992
743,492,548,423,724,908,685,984
662,578,545,437,762,959,662,955
662,578,477,379,902,1144,723,873
703,578,466,378,903,1191,721,870
703,578,466,331,903,1160,722,870
703,578,462,331,903,1173,737,721
703,505,534,326,903,1197,734,721
703,492,547,321,951,1247,733,721
709,448,571,330,1112,1385,624,721
639,471,600,367,1159,1384,563,721
648,451,622,386,1177,1384,563,689
594,479,648,291,1183,1487,796,668
594,473,654,354,1123,1512,796,675
594,473,650,341,1195,1428,796,675
594,473,650,318,1443,1468,796,673
594,473,631,330,1443,1468,796,707
594,473,629,345,1443,1468,772,669
594,473,629,345,1419,1470,749,710
592,475,507,567,1417,1456,740,709
650,475,439,653,1417,1456,758,640
685,475,384,658,1311,1456,660,433
684,476,388,658,1261,1346,649,224
661,540,340,658,1204,1341,649,222
711,683,326,658,1278,1341,649,295
757,721,258,658,1250,1341,649,208
702,776,257,746,1235,1213,649,299
702,776,250,746,1220,1191,556,291
543,935,247,824,1237,1288,468,291
879,983,247,841,1290,1338,468,291
879,983,247,836,1175,941,468,291
874,945,290,810,1213,941,468,291
874,743,492,805,1267,1017,468,305
869,662,578,846,1230,1114,468,326
882,662,578,848,1122,929,343,326
889,703,578,848,1173,898,339,327
889,703,578,876,1266,879,338,423
889,703,578,876,1383,866,323,423
889,703,505,869,1425,842,323,444
905,703,492,1109,1448,933,325,444
893,709,448,1100,1409,803,326,444
892,639,471,1063,1376,782,326,444
881,648,451,1044,1399,782,376,444
888,594,479,977,1401,681,334,444
888,594,473,906,1398,656,392,431
888,594,473,906,1374,642,456,484
888,594,473,1077,1320,591,505,587
888,594,473,1153,1495,591,505,568
888,594,473,1138,1529,591,493,606
888,594,473,1138,1589,608,507,548
898,592,475,916,1618,624,759,548
892,650,475,870,1618,625,772,623
896,685,475,895,1713,629,848,671
933,684,476,895,1689,629,848,695
888,661,540,900,1656,629,848,705
694,711,683,967,1583,629,848,634
655,757,721,971,1591,629,848,614
750,702,776,883,1593,629,848,523
750,702,776,883,1588,629,848,523
750,543,935,805,1560,532,847,523
366,879,983,808,1472,482,847,523
471,879,983,765,1428,482,847,525
490,874,945,766,1304,482,957,661
508,874,743,832,1307,367,957,715
511,869,662,820,1382,219,1024,724
498,882,662,821,1417,219,1024,776
508,889,703,821,1369,223,1024,775
705,889,703,793,1313,223,1027,679
727,889,703,793,1197,223,1076,679
727,889,703,793,1155,223,1093,681
711,905,703,622,1084,82,1091,689
749,893,709,801,962,88,1134,689
749,892,639,854,992,124,1273,689
754,881,648,854,995,124,1657,689
747,888,594,854,987,122,1456,689
747,888,594,854,984,122,1398,689
747,888,594,869,936,134,1334,636
786,888,594,704,834,188,1285,533
786,888,594,690,659,222,1286,525
786,888,594,904,625,501,1252,506
786,888,594,904,565,482,1297,506
776,898,592,904,840,465,1045,506
743,892,650,864,881,465,1055,454
704,896,685,879,810,461,1007,406
663,933,684,879,899,475,1007,382
832,888,661,874,907,531,1007,499
855,694,711,828,906,612,1019,497
810,655,757,877,903,617,1032,567
935,750,702,880,901,713,1135,654
935,750,702,880,901,831,1249,682
935,750,543,888,952,832,1249,682
935,366,879,869,1009,834,1249,863
830,471,879,865,1035,1012,1249,900
811,490,874,864,1035,1021,1139,995
793,508,874,839,1028,1044,1160,927
790,511,869,812,963,1062,1093,1010
793,498,882,809,974,1132,1093,982
735,508,889,922,1304,1113,1093,982
538,705,889,922,1268,1113,1092,983
516,727,889,941,1267,1363,1044,1022
533,727,889,943,1267,1469,1087,1097
533,711,905,871,1267,1553,1087,1112
495,749,893,692,1267,1539,1043,1124
495,749,892,639,1223,1666,904,1221
490,754,881,639,1179,1748,470,1249
490,747,888,639,1179,1748,469,1278
490,747,888,639,1179,1748,469,1278
591,747,888,627,1179,1736,469,1278
552,786,888,685,1087,1682,469,1278
626,786,888,687,1196,1670,468,1271
816,786,888,473,1202,1391,468,1252
819,786,888,683,1207,1391,409,1252
819,776,898,741,912,1391,409,1252
800,743,892,758,871,1390,354,1229
800,704,896,713,847,1390,326,1229
800,663,933,713,751,1376,327,1229
631,832,888,713,771,1320,658,1233
608,855,694,707,772,1239,759,1239
608,810,655,1057,767,1234,776,1167
389,935,750,1283,767,1138,673,1081
482,935,750,1283,767,1020,560,1053
482,935,750,1275,716,1022,610,1056
482,935,366,1274,659,1020,652,875
482,830,471,1268,710,867,652,836
482,811,490,1268,729,878,652,641
482,793,508,1227,679,860,631,641
576,790,511,1209,668,842,631,539
573,793,498,1209,590,772,631,518
573,735,508,1096,256,771,631,537
573,538,705,1100,255,771,629,654
573,516,727,1081,312,527,628,620
556,533,727,1079,312,434,575,562
556,533,711,1079,312,358,575,539
556,495,749,1079,479,358,586,549
556,495,749,1079,489,184,596,453
556,490,754,1079,530,118,613,427
556,490,747,1155,530,174,652,456
556,490,747,1253,530,193,825,456
455,591,747,1302,544,381,842,456
455,552,786,1264,549,630,842,456
381,626,786,1190,440,609,842,456
396,816,786,1257,434,613,842,509
432,819,786,1091,429,677,842,512
458,819,776,1033,420,682,842,518
476,800,743,1065,420,682,842,537
476,800,704,1065,425,683,843,551
568,800,663,1065,476,683,842,551
694,631,832,1065,447,683,511,420
740,608,855,1052,446,683,398,414
740,608,810,649,446,683,368,425
739,389,935,420,446,683,368,456
646,482,935,428,446,683,367,478
648,482,935,491,446,680,317,552
650,482,935,491,456,680,275,624
650,482,830,491,379,655,280,645
650,482,811,491,360,715,323,618
650,482,793,491,360,747,383,757
556,576,790,510,374,752,424,746
556,573,793,510,375,784,477,743
558,573,735,511,375,934,481,724
600,573,538,515,375,995,481,643
605,573,516,515,318,990,483,638
605,556,533,515,318,977,476,598
605,556,533,679,318,969,476,715
605,556,495,682,151,976,465,713
605,556,495,702,380,977,455,753
605,556,490,760,352,961,438,753
605,556,490,734,352,928,493,695
639,556,490,689,352,927,338,713
684,455,591,637,338,739,402,766
761,455,552,611,333,490,471,839
942,381,626,609,333,489,522,848
771,396,816,542,333,485,547,795
740,432,819,505,406,421,547,834
806,458,819,506,409,416,552,828
788,476,800,457,509,423,552,810
845,476,800,569,615,422,561,842
797,568,800,618,592,422,561,852
671,694,631,668,624,485,563,852
628,740,608,674,624,485,573,854
629,740,608,674,680,565,573,843
639,739,389,674,690,580,573,811
642,646,482,670,690,580,647,789
802,648,482,634,690,628,665,715
955,650,482,634,680,636,680,651
955,650,482,640,680,695,675,742
955,650,482,642,826,697,632,733
955,650,482,648,832,758,572,594
955,556,576,657,856,782,539,607
959,556,573,720,855,776,486,619
1143,558,573,729,873,885,482,629
1155,600,573,737,873,851,520,592
1187,605,573,737,893,927,518,592
1189,605,556,737,937,929,542,616
1349,605,556,573,946,929,569,499
1453,605,556,570,946,947,593,481
1547,605,556,550,716,946,593,440
1547,605,556,527,707,947,593,438
1558,605,556,553,826,924,499,457
1538,639,556,508,1158,906,607,452
1549,684,455,561,1221,993,619,399
1473,761,455,654,1252,1105,666,326
1367,942,381,778,1270,1122,671,317
1388,771,396,848,1373,1128,668,317
1416,740,432,842,1403,1196,668,275
1408,806,458,841,1452,1279,699,275
1425,788,476,854,1500,1278,699,274
1467,845,476,743,1412,1278,689,228
1437,797,568,694,1394,1320,689,218
1438,671,694,644,1362,1292,687,218
1438,628,740,636,1362,1293,677,216
1437,629,740,641,1306,1213,677,216
1427,639,739,641,1296,1198,689,216
1424,642,646,637,1296,1242,680,272
1262,802,648,637,1296,1194,667,356
1107,955,650,643,1296,1186,660,440
1112,955,650,642,1296,1127,680,344
1119,955,650,661,1150,1045,680,344
1143,955,650,657,1144,947,680,344
1316,955,556,630,1106,918,672,346
1323,959,556,567,1106,892,672,365
1214,1143,558,557,1088,633,672,402
1217,1155,600,541,1088,606,634,419
1180,1187,605,541,1090,529,642,419
1209,1189,605,541,1047,527,645,395
1049,1349,605,541,1040,527,629,411
1079,1453,605,541,1108,502,606,411
1040,1547,605,541,1111,627,640,411
1127,1547,605,520,1108,705,704,433
1119,1558,605,444,989,803,721,441
1106,1538,639,436,657,832,595,428
1050,1549,684,383,610,757,502,433
1049,1473,761,290,580,714,386,433
974,1367,942,169,667,707,336,485
919,1388,771,99,588,777,314,485
886,1416,740,98,546,709,314,486
802,1408,806,98,497,704,278,517
798,1425,788,85,389,706,278,517
706,1467,845,84,367,735,278,532
692,1437,797,84,411,731,319,538
691,1438,671,84,430,698,319,578
709,1438,628,84,430,704,319,578
709,1437,629,88,434,712,319,578
709,1427,639,88,448,712,307,578
774,1424,642,88,534,668,247,522
845,1262,802,81,654,746,374,515
845,1107,955,263,683,904,374,513
840,1112,955,365,690,959,354,506
833,1119,955,356,694,1014,380,650
815,1143,955,354,748,1015,387,650
645,1316,955,381,803,1015,387,635
634,1323,959,750,803,1015,387,608
602,1214,1143,750,815,1015,387,562
549,1217,1155,750,815,1015,391,545
549,1180,1187,750,793,1015,384,545
519,1209,1189,750,792,1036,357,545
535,1049,1349,750,790,1036,346,530
468,1079,1453,750,722,1039,345,528
417,1040,1547,750,746,914,311,530
351,1127,1547,736,780,836,247,525
357,1119,1558,736,991,738,230,500
441,1106,1538,764,994,709,230,516
604,1050,1549,771,978,697,230,513
607,1049,1473,778,1049,628,230,513
644,974,1367,775,1086,622,224,461
644,919,1388,775,1304,591,224,461
641,886,1416,786,1243,601,225,460
641,802,1408,786,1240,707,246,429
628,798,1425,888,1200,706,258,429
621,706,1467,1042,1199,704,270,479
622,692,1437,1063,1145,801,229,518
622,691,1438,1083,1126,914,239,593
601,709,1438,1086,1126,930,239,726
620,709,1437,1077,1122,1066,240,745
627,709,1427,1080,1108,1066,431,746
562,774,1424,1148,1022,1066,444,746
517,845,1262,1139,902,988,339,666
556,845,1107,951,873,830,427,605
556,840,1112,848,866,775,433,609
556,833,1119,837,884,720,417,526
570,815,1143,837,830,732,446,558
574,645,1316,835,775,732,446,558
708,634,1323,485,775,777,446,555
708,602,1214,485,763,880,446,555
749,549,1217,485,776,999,442,555
778,549,1180,485,835,1016,441,568
804,519,1209,489,835,1042,464,568
982,535,1049,489,914,1206,486,567
935,468,1079,508,1079,1294,515,567
931,417,1040,510,1071,1328,522,565
910,351,1127,510,1087,1412,674,548
901,357,1119,632,920,1412,674,553
816,441,1106,672,917,1429,675,543
692,604,1050,720,917,1499,687,544
689,607,1049,713,846,1523,691,550
652,644,974,765,704,1519,762,554
652,644,919,780,463,1509,822,560
652,641,886,837,513,1499,832,560
652,641,802,838,715,1315,817,573
652,628,798,743,786,1308,805,594
652,621,706,592,812,1281,793,529
651,622,692,571,863,1146,793,484
651,622,691,551,892,1031,783,369
651,601,709,548,1008,1008,783,236
632,620,709,548,1018,870,782,217
625,627,709,545,1018,920,591,216
628,562,774,477,1022,955,573,216
782,517,845,466,1055,992,591,216
820,556,845,466,1231,992,516,187
824,556,840,462,1254,1207,510,190
824,556,833,534,1232,1211,500,129
804,570,815,547,1251,1219,634,106
797,574,645,571,1251,1224,717,106
790,708,634,600,1256,1179,721,162
807,708,602,622,1327,1076,768,184
784,749,549,648,1358,976,805,189
816,778,549,654,1299,972,875,227
821,804,519,650,1306,954,958,252
645,982,535,650,1233,831,950,252
628,935,468,631,1068,740,1056,252
688,931,417,629,1040,706,1104,252
697,910,351,629,989,621,977,252
736,901,357,507,945,621,977,263
739,816,441,439,977,604,976,265
700,692,604,384,1094,534,964,318
700,689,607,388,1112,510,960,340
725,652,644,340,1112,510,889,342
725,652,644,326,1158,475,829,336
725,652,641,258,1108,475,818,336
725,652,641,257,917,475,815,323
731,652,628,250,852,475,823,302
735,652,621,247,888,475,846,302
735,651,622,247,930,475,856,302
735,651,622,247,927,475,915,342
735,651,601,290,811,475,922,383
735,632,620,492,801,469,922,383
735,625,627,578,803,419,922,406
732,628,562,578,857,384,922,470
552,782,517,578,825,347,877,476
475,820,556,578,696,347,906,476
471,824,556,578,673,132,906,460
471,824,556,505,685,128,906,463
471,804,570,492,674,107,736,455
500,797,574,448,674,102,653,564
373,790,708,471,669,102,682,568
311,807,708,451,598,102,635,545
289,784,749,479,716,83,598,551
228,816,778,473,724,136,528,500
198,821,804,473,730,107,520,475
190,645,982,473,747,66,517,475
275,628,935,473,747,66,382,475
276,688,931,473,747,66,327,545
267,697,910,473,747,90,302,568
228,736,901,475,747,92,317,559
486,739,816,475,715,92,317,565
507,700,692,475,598,198,317,607
507,700,689,476,579,279,427,590
533,725,652,540,579,370,432,584
533,725,652,683,532,370,432,584
632,725,652,721,532,398,432,584
632,725,652,776,521,413,557,584
626,731,652,776,515,433,571,677
627,735,652,935,453,444,548,766
627,735,651,983,360,479,538,766
627,735,651,983,392,638,876,726
693,735,651,945,418,724,869,685
693,735,632,743,423,724,908,685
693,735,625,662,437,762,959,662
693,732,628,662,379,902,1144,723
693,552,782,703,378,903,1191,721
693,475,820,703,331,903,1160,722
693,471,824,703,331,903,1173,737
693,471,824,703,326,903,1197,734
765,471,804,703,321,951,1247,733
866,500,797,709,330,1112,1385,624
871,373,790,639,367,1159,1384,563
893,311,807,648,386,1177,1384,563
972,289,784,594,291,1183,1487,796
1100,228,816,594,354,1123,1512,796
1106,198,821,594,341,1195,1428,796
1096,190,645,594,318,1443,1468,796
1008,275,628,594,330,1443,1468,796
947,276,688,594,345,1443,1468,772
947,267,697,594,345,1419,1470,749
947,228,736,592,567,1417,1456,740
940,486,739,650,653,1417,1456,758
919,507,700,685,658,1311,1456,660
1062,507,700,684,658,1261,1346,649
1073,533,725,661,658,1204,1341,649
1164,533,725,711,658,1278,1341,649
1100,632,725,757,658,1250,1341,649
1129,632,725,702,746,1235,1213,649
1129,626,731,702,746,1220,1191,556
1151,627,735,543,824,1237,1288,468
1151,627,735,879,841,1290,1338,468
1151,627,735,879,836,1175,941,468
1151,693,735,874,810,1213,941,468
1151,693,735,874,805,1267,1017,468
1158,693,735,869,846,1230,1114,468
1160,693,732,882,848,1122,929,343
1160,693,552,889,848,1173,898,339
1160,693,475,889,876,1266,879,338
1160,693,471,889,876,1383,866,323
1160,693,471,889,869,1425,842,323
1088,765,471,905,1109,1448,933,325
958,866,500,893,1100,1409,803,326
953,871,373,892,1063,1376,782,326
931,893,311,881,1044,1399,782,376
852,972,289,888,977,1401,681,334
724,1100,228,888,906,1398,656,392
716,1106,198,888,906,1374,642,456
716,1096,190,888,1077,1320,591,505
716,1008,275,888,1153,1495,591,505
716,947,276,888,1138,1529,591,493
716,947,267,888,1138,1589,608,507
716,947,228,898,916,1618,624,759
462,940,486,892,870,1618,625,772
462,919,507,896,895,1713,629,848
319,1062,507,933,895,1689,629,848
340,1073,533,888,900,1656,629,848
378,1164,533,694,967,1583,629,848
344,1100,632,655,971,1591,629,848
315,1129,632,750,883,1593,629,848
319,1129,626,750,883,1588,629,848
299,1151,627,750,805,1560,532,847
304,1151,627,366,808,1472,482,847
304,1151,627,471,765,1428,482,847
238,1151,693,490,766,1304,482,957
238,1151,693,508,832,1307,367,957
231,1158,693,511,820,1382,219,1024
267,1160,693,498,821,1417,219,1024
272,1160,693,508,821,1369,223,1024
276,1160,693,705,793,1313,223,1027
276,1160,693,727,793,1197,223,1076
276,1160,693,727,793,1155,223,1093
317,1088,765,711,622,1084,82,1091
317,958,866,749,801,962,88,1134
447,953,871,749,854,992,124,1273
468,931,893,754,854,995,124,1657
468,852,972,747,854,987,122,1456
471,724,1100,747,854,984,122,1398
471,716,1106,747,869,936,134,1334
494,716,1096,786,704,834,188,1285
494,716,1008,786,690,659,222,1286
536,716,947,786,904,625,501,1252
597,716,947,786,904,565,482,1297
597,716,947,776,904,840,465,1045
597,462,940,743,864,881,465,1055
605,462,919,704,879,810,461,1007
605,319,1062,663,879,899,475,1007
522,340,1073,832,874,907,531,1007
433,378,1164,855,828,906,612,1019
777,344,1100,810,877,903,617,1032
777,315,1129,935,880,901,713,1135
885,319,1129,935,880,901,831,1249
1024,299,1151,935,888,952,832,1249
1110,304,1151,935,869,1009,834,1249
1225,304,1151,830,865,1035,1012,1249
1237,238,1151,811,864,1035,1021,1139
1237,238,1151,793,839,1028,1044,1160
1237,231,1158,790,812,963,1062,1093
1199,267,1160,793,809,974,1132,1093
1196,272,1160,735,922,1304,1113,1093
1302,276,1160,538,922,1268,1113,1092
1326,276,1160,516,941,1267,1363,1044
1326,276,1160,533,943,1267,1469,1087
1474,317,1088,533,871,1267,1553,1087
1829,317,958,495,692,1267,1539,1043
1722,447,953,495,639,1223,1666,904
1777,468,931,490,639,1179,1748,470
1787,468,852,490,639,1179,1748,469
1784,471,724,490,639,1179,1748,469
1784,471,716,591,627,1179,1736,469
1761,494,716,552,685,1087,1682,469
1761,494,716,626,687,1196,1670,468
1719,536,716,816,473,1202,1391,468
1658,597,716,819,683,1207,1391,409
1696,597,716,819,741,912,1391,409
1877,597,462,800,758,871,1390,354
1921,605,462,800,713,847,1390,326
1922,605,319,800,713,751,1376,327
1922,522,340,631,713,771,1320,658
1882,433,378,608,707,772,1239,759
1565,777,344,608,1057,767,1234,776
1565,777,315,389,1283,767,1138,673
1453,885,319,482,1283,767,1020,560
1379,1024,299,482,1275,716,1022,610
1376,1110,304,482,1274,659,1020,652
1261,1225,304,482,1268,710,867,652
1249,1237,238,482,1268,729,878,652
1249,1237,238,482,1227,679,860,631
1249,1237,231,576,1209,668,842,631
1249,1199,267,573,1209,590,772,631
1247,1196,272,573,1096,256,771,631
1206,1302,276,573,1100,255,771,629
1386,1326,276,573,1081,312,527,628
1387,1326,276,556,1079,312,434,575
1212,1474,317,556,1079,312,358,575
858,1829,317,556,1079,479,358,586
839,1722,447,556,1079,489,184,596
763,1777,468,556,1079,530,118,613
812,1787,468,556,1155,530,174,652
825,1784,471,556,1253,530,193,825
959,1784,471,455,1302,544,381,842
959,1761,494,455,1264,549,630,842
959,1761,494,381,1190,440,609,842
988,1719,536,396,1257,434,613,842
989,1658,597,432,1091,429,677,842
951,1696,597,458,1033,420,682,842
770,1877,597,476,1065,420,682,842
718,1921,605,476,1065,425,683,843
717,1922,605,568,1065,476,683,842
717,1922,522,694,1065,447,683,511
717,1882,433,740,1052,446,683,398
689,1565,777,740,649,446,683,368
689,1565,777,739,420,446,683,368
720,1453,885,646,428,446,683,367
722,1379,1024,648,491,446,680,317
634,1376,1110,650,491,456,680,275
634,1261,1225,650,491,379,655,280
727,1249,1237,650,491,360,715,323
762,1249,1237,650,491,360,747,383
762,1249,1237,556,510,374,752,424
762,1249,1199,556,510,375,784,477
799,1247,1196,558,511,375,934,481
730,1206,1302,600,515,375,995,481
526,1386,1326,605,515,318,990,483
525,1387,1326,605,515,318,977,476
512,1212,1474,605,679,318,969,476
511,858,1829,605,682,151,976,465
507,839,1722,605,702,380,977,455
523,763,1777,605,760,352,961,438
531,812,1787,605,734,352,928,493
518,825,1784,639,689,352,927,338
385,959,1784,684,637,338,739,402
406,959,1761,761,611,333,490,471
423,959,1761,942,609,333,489,522
394,988,1719,771,542,333,485,547
519,989,1658,740,505,406,421,547
627,951,1696,806,506,409,416,552
708,770,1877,788,457,509,423,552
804,718,1921,845,569,615,422,561
858,717,1922,797,618,592,422,561
1013,717,1922,671,668,624,485,563
1046,717,1882,628,674,624,485,573
1134,689,1565,629,674,680,565,573
1138,689,1565,639,674,690,580,573
1108,720,1453,642,670,690,580,647
1034,722,1379,802,634,690,628,665
1034,634,1376,955,634,680,636,680
1035,634,1261,955,640,680,695,675
944,727,1249,955,642,826,697,632
909,762,1249,955,648,832,758,572
909,762,1249,955,657,856,782,539
924,762,1249,959,720,855,776,486
888,799,1247,1143,729,873,885,482
888,730,1206,1155,737,873,851,520
890,526,1386,1187,737,893,927,518
891,525,1387,1189,737,937,929,542
893,512,1212,1349,573,946,929,569
893,511,858,1453,570,946,947,593
930,507,839,1547,550,716,946,593
915,523,763,1547,527,707,947,593
848,531,812,1558,553,826,924,499
850,518,825,1538,508,1158,906,607
849,385,959,1549,561,1221,993,619
832,406,959,1473,654,1252,1105,666
820,423,959,1367,778,1270,1122,671
821,394,988,1388,848,1373,1128,668
722,519,989,1416,842,1403,1196,668
754,627,951,1408,841,1452,1279,699
702,708,770,1425,854,1500,1278,699
612,804,718,1467,743,1412,1278,689
559,858,717,1437,694,1394,1320,689
410,1013,717,1438,644,1362,1292,687
388,1046,717,1438,636,1362,1293,677
306,1134,689,1437,641,1306,1213,677
302,1138,689,1427,641,1296,1198,689
332,1108,720,1424,637,1296,1242,680
347,1034,722,1262,637,1296,1194,667
377,1034,634,1107,643,1296,1186,660
480,1035,634,1112,642,1296,1127,680
495,944,727,1119,661,1150,1045,680
577,909,762,1143,657,1144,947,680
717,909,762,1316,630,1106,918,672
809,924,762,1323,567,1106,892,672
883,888,799,1214,557,1088,633,672
884,888,730,1217,541,1088,606,634
882,890,526,1180,541,1090,529,642
883,891,525,1209,541,1047,527,645
887,893,512,1049,541,1040,527,629
889,893,511,1079,541,1108,502,606
852,930,507,1040,541,1111,627,640
851,915,523,1127,520,1108,705,704
901,848,531,1119,444,989,803,721
1010,850,518,1106,436,657,832,595
1092,849,385,1050,383,610,757,502
1091,832,406,1049,290,580,714,386
1086,820,423,974,169,667,707,336
1314,821,394,919,99,588,777,314
1335,722,519,886,98,546,709,314
1203,754,627,802,98,497,704,278
1293,702,708,798,85,389,706,278
1287,612,804,706,84,367,735,278
1306,559,858,692,84,411,731,319
1325,410,1013,691,84,430,698,319
1365,388,1046,709,84,430,704,319
1364,306,1134,709,88,434,712,319
1415,302,1138,709,88,448,712,307
1384,332,1108,774,88,534,668,247
1369,347,1034,845,81,654,746,374
1359,377,1034,845,263,683,904,374
1255,480,1035,840,365,690,959,354
1248,495,944,833,356,694,1014,380
1166,577,909,815,354,748,1015,387
1026,717,909,645,381,803,1015,387
919,809,924,634,750,803,1015,387
844,883,888,602,750,815,1015,387
868,884,888,549,750,815,1015,391
898,882,890,549,750,793,1015,384
896,883,891,519,750,792,1036,357
900,887,893,535,750,790,1036,346
928,889,893,468,750,722,1039,345
928,852,930,417,750,746,914,311
928,851,915,351,736,780,836,247
878,901,848,357,736,991,738,230
770,1010,850,441,764,994,709,230
708,1092,849,604,771,978,697,230
705,1091,832,607,778,1049,628,230
705,1086,820,644,775,1086,622,224
476,1314,821,644,775,1304,591,224
428,1335,722,641,786,1243,601,225
428,1203,754,641,786,1240,707,246
309,1293,702,628,888,1200,706,258
311,1287,612,621,1042,1199,704,270
309,1306,559,622,1063,1145,801,229
347,1325,410,622,1083,1126,914,239
316,1365,388,601,1086,1126,930,239
321,1364,306,620,1077,1122,1066,240
351,1415,302,627,1080,1108,1066,431
359,1384,332,562,1148,1022,1066,444
359,1369,347,517,1139,902,988,339
339,1359,377,556,951,873,830,427
339,1255,480,556,848,866,775,433
337,1248,495,556,837,884,720,417
337,1166,577,570,837,830,732,446
337,1026,717,574,835,775,732,446
337,919,809,708,485,775,777,446
367,844,883,708,485,763,880,446
342,868,884,749,485,776,999,442
391,898,882,778,485,835,1016,441
399,896,883,804,489,835,1042,464
388,900,887,982,489,914,1206,486
358,928,889,935,508,1079,1294,515
358,928,852,931,510,1071,1328,522
358,928,851,910,510,1087,1412,674
358,878,901,901,632,920,1412,674
355,770,1010,816,672,917,1429,675
378,708,1092,692,720,917,1499,687
378,705,1091,689,713,846,1523,691
378,705,1086,652,765,704,1519,762
378,476,1314,652,780,463,1509,822
378,428,1335,652,837,513,1499,832
370,428,1203,652,838,715,1315,817
370,309,1293,652,743,786,1308,805
388,311,1287,652,592,812,1281,793
375,309,1306,651,571,863,1146,793
312,347,1325,651,551,892,1031,783
297,316,1365,651,548,1008,1008,783
296,321,1364,632,548,1018,870,782
215,351,1415,625,545,1018,920,591
219,359,1384,628,477,1022,955,573
219,359,1369,782,466,1055,992,591
219,339,1359,820,466,1231,992,516
219,339,1255,824,462,1254,1207,510
211,337,1248,824,534,1232,1211,500
211,337,1166,804,547,1251,1219,634
211,337,1026,797,571,1251,1224,717
211,337,919,790,600,1256,1179,721
181,367,844,807,622,1327,1076,768
181,342,868,784,648,1358,976,805
102,391,898,816,654,1299,972,875
94,399,896,821,650,1306,954,958
124,388,900,645,650,1233,831,950
154,358,928,628,631,1068,740,1056
197,358,928,688,629,1040,706,1104
259,358,928,697,629,989,621,977
330,358,878,736,507,945,621,977
330,355,770,739,439,977,604,976
297,378,708,700,384,1094,534,964
297,378,705,700,388,1112,510,960
297,378,705,725,340,1112,510,889
297,378,476,725,326,1158,475,829
297,378,428,725,258,1108,475,818
297,370,428,725,257,917,475,815
317,370,309,731,250,852,475,823
297,388,311,735,247,888,475,846
292,375,309,735,247,930,475,856
292,312,347,735,247,927,475,915
287,297,316,735,290,811,475,922
295,296,321,735,492,801,469,922
