Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2
2057,116,295,458,901,1119
2057,167,299,458,1010,1106
1690,579,310,458,1092,1050
1871,589,336,458,1091,1049
1902,564,369,443,1086,974
1787,698,311,501,1314,919
1792,708,306,505,1335,886
1719,784,293,478,1203,802
1719,784,271,500,1293,798
1715,788,270,490,1287,706
1654,860,269,490,1306,692
1464,1055,268,237,1325,691
1311,1208,266,239,1365,709
1217,1302,266,229,1364,709
911,1608,266,229,1415,709
860,1659,266,229,1384,774
852,1671,266,229,1369,845
897,1669,207,245,1359,845
948,1690,126,270,1255,840
1015,1719,124,251,1248,833
1006,1737,124,251,1166,815
985,1758,124,251,1026,645
967,1776,124,251,919,634
964,1779,120,255,844,602
973,1779,96,279,868,549
973,1778,97,279,898,549
968,1783,97,279,896,519
925,1826,97,279,900,535
941,1841,93,283,928,468
904,1872,87,295,928,417
903,1883,95,295,928,351
708,2057,116,295,878,357
653,2057,167,299,770,441
597,1690,579,310,708,604
380,1871,589,336,705,607
341,1902,564,369,705,644
323,1787,698,311,476,644
308,1792,708,306,428,641
303,1719,784,293,428,641
303,1719,784,271,309,628
303,1715,788,270,311,621
292,1654,860,269,309,622
290,1464,1055,268,347,622
309,1311,1208,266,316,601
341,1217,1302,266,321,620
343,911,1608,266,351,627
344,860,1659,266,359,562
357,852,1671,266,359,517
357,897,1669,207,339,556
283,948,1690,126,339,556
187,1015,1719,124,337,556
178,1006,1737,124,337,570
181,985,1758,124,337,574
186,967,1776,124,337,708
192,964,1779,120,367,708
183,973,1779,96,342,749
183,973,1778,97,391,778
183,968,1783,97,399,804
183,925,1826,97,388,982
154,941,1841,93,358,935
155,904,1872,87,358,931
174,903,1883,95,358,910
202,708,2057,116,358,901
202,653,2057,167,355,816
221,597,1690,579,378,692
221,380,1871,589,378,689
221,341,1902,564,378,652
224,323,1787,698,378,652
226,308,1792,708,378,652
226,303,1719,784,370,652
226,303,1719,784,370,652
227,303,1715,788,388,652
227,292,1654,860,375,651
224,290,1464,1055,312,651
221,309,1311,1208,297,651
272,341,1217,1302,296,632
271,343,911,1608,215,625
270,344,860,1659,219,628
253,357,852,1671,219,782
208,357,897,1669,219,820
208,283,948,1690,219,824
208,187,1015,1719,211,824
208,178,1006,1737,211,804
205,181,985,1758,211,797
200,186,967,1776,211,790
194,192,964,1779,181,807
194,183,973,1779,181,784
194,183,973,1778,102,816
194,183,968,1783,94,821
194,183,925,1826,124,645
192,154,941,1841,154,628
198,155,904,1872,197,688
161,174,903,1883,259,697
133,202,708,2057,330,736
133,202,653,2057,330,739
119,221,597,1690,297,700
119,221,380,1871,297,700
174,221,341,1902,297,725
218,224,323,1787,297,725
238,226,308,1792,297,725
317,226,303,1719,297,725
317,226,303,1719,317,731
316,227,303,1715,297,735
316,227,292,1654,292,735
316,224,290,1464,292,735
312,221,309,1311,287,735
252,272,341,1217,295,735
318,271,343,911,295,735
358,270,344,860,283,732
402,253,357,852,283,552
423,208,357,897,283,475
517,208,283,948,283,471
612,208,187,1015,288,471
690,208,178,1006,314,471
846,205,181,985,314,500
915,200,186,967,314,373
917,194,192,964,314,311
917,194,183,973,352,289
961,194,183,973,360,228
961,194,183,968,390,198
1193,194,183,925,360,190
1193,192,154,941,330,275
1186,198,155,904,287,276
1264,161,174,903,225,267
1330,133,202,708,154,228
1330,133,202,653,154,486
1327,119,221,597,144,507
1358,119,221,380,144,507
1303,174,221,341,186,533
1297,218,224,323,186,533
1275,238,226,308,186,632
1196,317,226,303,186,632
1196,317,226,303,179,626
1238,316,227,303,187,627
1262,316,227,292,187,627
1265,316,224,290,187,627
1260,312,221,309,218,693
1238,252,272,341,255,693
1182,318,271,343,364,693
1258,358,270,344,425,693
1214,402,253,357,425,693
1193,423,208,357,433,693
1099,517,208,283,433,693
1004,612,208,187,428,693
926,690,208,178,402,765
770,846,205,181,402,866
701,915,200,186,402,871
700,917,194,192,402,893
700,917,194,183,364,972
701,961,194,183,356,1100
704,961,194,183,435,1106
472,1193,194,183,435,1096
754,1193,192,154,435,1008
772,1186,198,155,488,947
695,1264,161,174,488,947
708,1330,133,202,528,947
750,1330,133,202,630,940
748,1327,119,221,633,919
717,1358,119,221,648,1062
717,1303,174,221,611,1073
819,1297,218,224,674,1164
822,1275,238,226,674,1100
889,1196,317,226,711,1129
889,1196,317,226,698,1129
857,1238,316,227,690,1151
963,1262,316,227,726,1151
960,1265,316,224,741,1151
954,1260,312,221,760,1151
970,1238,252,272,754,1151
1165,1182,318,271,864,1158
1083,1258,358,270,811,1160
1084,1214,402,253,1097,1160
1084,1193,423,208,1101,1160
1152,1099,517,208,1102,1160
1152,1004,612,208,1104,1160
1152,926,690,208,1104,1088
1152,770,846,205,1105,958
1154,701,915,200,1105,953
1206,700,917,194,1164,931
1207,700,917,194,1164,852
1162,701,961,194,1164,724
1159,704,961,194,1055,716
1159,472,1193,194,1055,716
877,754,1193,192,1055,716
980,772,1186,198,1002,716
1038,695,1264,161,1002,716
961,708,1330,133,962,716
1062,750,1330,133,860,462
1071,748,1327,119,857,462
1074,717,1358,119,859,319
1159,717,1303,174,854,340
1215,819,1297,218,812,378
1508,822,1275,238,833,344
1592,889,1196,317,811,315
1614,889,1196,317,811,319
1609,857,1238,316,937,299
1480,963,1262,316,1032,304
1480,960,1265,316,1032,304
1479,954,1260,312,989,238
1462,970,1238,252,946,238
1281,1165,1182,318,729,231
1247,1083,1258,358,735,267
1246,1084,1214,402,451,272
1246,1084,1193,423,458,276
1178,1152,1099,517,457,276
1178,1152,1004,612,467,276
1360,1152,926,690,552,317
1392,1152,770,846,590,317
1390,1154,701,915,590,447
1375,1206,700,917,531,468
