Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
2057,116,295,458,817,536,1164,901,1119,444,989
2057,167,299,458,817,536,1164,1010,1106,436,657
1690,579,310,458,817,536,1055,1092,1050,383,610
1871,589,336,458,811,542,1055,1091,1049,290,580
1902,564,369,443,770,598,1055,1086,974,169,667
1787,698,311,501,639,729,1002,1314,919,99,588
1792,708,306,505,540,829,1002,1335,886,98,546
1719,784,293,478,579,832,962,1203,802,98,497
1719,784,271,500,440,971,860,1293,798,85,389
1715,788,270,490,401,1021,857,1287,706,84,367
1654,860,269,490,402,1004,859,1306,692,84,411
1464,1055,268,237,656,1004,854,1325,691,84,430
1311,1208,266,239,642,997,812,1365,709,84,430
1217,1302,266,229,651,977,833,1364,709,88,434
911,1608,266,229,633,980,811,1415,709,88,448
860,1659,266,229,633,980,811,1384,774,88,534
852,1671,266,229,633,854,937,1369,845,81,654
897,1669,207,245,676,725,1032,1359,845,263,683
948,1690,126,270,734,710,1032,1255,840,365,690
1015,1719,124,251,753,705,989,1248,833,356,694
1006,1737,124,251,753,700,946,1166,815,354,748
985,1758,124,251,723,728,729,1026,645,381,803
967,1776,124,251,723,714,735,919,634,750,803
964,1779,120,255,723,712,451,844,602,750,815
973,1779,96,279,698,718,458,868,549,750,815
973,1778,97,279,663,753,457,898,549,750,793
968,1783,97,279,599,805,467,896,519,750,792
925,1826,97,279,458,861,552,900,535,750,790
941,1841,93,283,458,822,590,928,468,750,722
904,1872,87,295,458,822,590,928,417,750,746
903,1883,95,295,458,822,531,928,351,736,780
708,2057,116,295,458,817,536,878,357,736,991
653,2057,167,299,458,817,536,770,441,764,994
597,1690,579,310,458,817,536,708,604,771,978
380,1871,589,336,458,811,542,705,607,778,1049
341,1902,564,369,443,770,598,705,644,775,1086
323,1787,698,311,501,639,729,476,644,775,1304
308,1792,708,306,505,540,829,428,641,786,1243
303,1719,784,293,478,579,832,428,641,786,1240
303,1719,784,271,500,440,971,309,628,888,1200
303,1715,788,270,490,401,1021,311,621,1042,1199
292,1654,860,269,490,402,1004,309,622,1063,1145
290,1464,1055,268,237,656,1004,347,622,1083,1126
309,1311,1208,266,239,642,997,316,601,1086,1126
341,1217,1302,266,229,651,977,321,620,1077,1122
343,911,1608,266,229,633,980,351,627,1080,1108
344,860,1659,266,229,633,980,359,562,1148,1022
357,852,1671,266,229,633,854,359,517,1139,902
357,897,1669,207,245,676,725,339,556,951,873
