Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
1247,1326,980,459,243,441,1329,511,1074,859,319,933
1247,1326,900,539,208,476,1329,478,1159,854,340,888
1247,1309,871,585,208,476,1316,491,1215,812,378,694
1246,1269,841,639,219,482,1316,478,1508,833,344,655
1079,1414,765,657,299,472,1307,497,1592,811,315,750
1079,1372,805,654,304,471,1292,513,1614,811,319,750
1079,1298,879,647,298,476,1300,424,1609,937,299,750
1079,1245,932,647,297,462,1315,424,1480,1032,304,366
1079,1164,1012,646,299,462,1314,425,1480,1032,304,471
1079,1164,1012,564,366,477,1166,573,1479,989,238,490
953,902,1400,525,404,423,1101,693,1462,946,238,508
316,1349,1590,499,430,423,1016,778,1281,729,231,511
607,1303,1646,370,559,423,858,936,1247,735,267,498
604,1305,1647,370,559,423,857,937,1246,451,272,508
646,1209,1745,370,559,421,858,925,1246,458,276,705
650,1194,1764,349,580,387,828,989,1178,457,276,727
702,1191,1767,300,629,373,799,1032,1178,467,276,727
702,1155,1803,300,629,364,678,1146,1360,552,317,711
740,1158,1603,500,626,367,661,1162,1392,590,317,749
724,1170,1587,523,615,378,661,1162,1390,590,447,749
645,1189,1658,527,561,432,534,1289,1375,531,468,754
646,1178,1669,527,561,432,471,1352,1374,536,468,747
646,1131,1649,594,561,421,248,1460,1398,536,471,747
632,1145,1649,594,561,417,218,1491,1399,536,471,747
509,1312,1649,594,473,408,313,1493,1399,542,494,786
509,1312,1647,596,473,343,338,1533,1402,598,494,786
509,1312,1647,596,473,335,346,1533,1392,729,536,786
545,1312,1647,596,473,303,377,1452,1339,829,597,786
633,1312,1637,606,473,283,397,1449,1340,832,597,776
633,1312,1299,944,473,283,389,1434,1197,971,597,743
633,1282,1296,977,473,275,395,1355,1194,1021,605,704
633,1247,1326,980,459,243,441,1329,1191,1004,605,663
633,1247,1326,900,539,208,476,1329,1106,1004,522,832
675,1247,1309,871,585,208,476,1316,906,997,433,855
675,1246,1269,841,639,219,482,1316,610,977,777,810
675,1079,1414,765,657,299,472,1307,459,980,777,935
675,1079,1372,805,654,304,471,1292,443,980,885,935
675,1079,1298,879,647,298,476,1300,438,854,1024,935
675,1079,1245,932,647,297,462,1315,437,725,1110,935
701,1079,1164,1012,646,299,462,1314,437,710,1225,830
888,1079,1164,1012,564,366,477,1166,437,705,1237,811
888,953,902,1400,525,404,423,1101,445,700,1237,793
888,316,1349,1590,499,430,423,1016,551,728,1237,790
587,607,1303,1646,370,559,423,858,551,714,1199,793
587,604,1305,1647,370,559,423,857,604,712,1196,735
574,646,1209,1745,370,559,421,858,605,718,1302,538
573,650,1194,1764,349,580,387,828,608,753,1326,516
