Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1
96,279,698,718,458,888
97,279,663,753,457,890
97,279,599,805,467,891
97,279,458,861,552,893
93,283,458,822,590,893
87,295,458,822,590,930
95,295,458,822,531,915
116,295,458,817,536,848
167,299,458,817,536,850
579,310,458,817,536,849
589,336,458,811,542,832
564,369,443,770,598,820
698,311,501,639,729,821
708,306,505,540,829,722
784,293,478,579,832,754
784,271,500,440,971,702
788,270,490,401,1021,612
860,269,490,402,1004,559
1055,268,237,656,1004,410
1208,266,239,642,997,388
1302,266,229,651,977,306
1608,266,229,633,980,302
1659,266,229,633,980,332
1671,266,229,633,854,347
1669,207,245,676,725,377
1690,126,270,734,710,480
1719,124,251,753,705,495
1737,124,251,753,700,577
1758,124,251,723,728,717
1776,124,251,723,714,809
1779,120,255,723,712,883
1779,96,279,698,718,884
1778,97,279,663,753,882
1783,97,279,599,805,883
1826,97,279,458,861,887
1841,93,283,458,822,889
1872,87,295,458,822,852
1883,95,295,458,822,851
2057,116,295,458,817,901
2057,167,299,458,817,1010
1690,579,310,458,817,1092
1871,589,336,458,811,1091
1902,564,369,443,770,1086
1787,698,311,501,639,1314
1792,708,306,505,540,1335
1719,784,293,478,579,1203
1719,784,271,500,440,1293
1715,788,270,490,401,1287
1654,860,269,490,402,1306
1464,1055,268,237,656,1325
1311,1208,266,239,642,1365
1217,1302,266,229,651,1364
911,1608,266,229,633,1415
860,1659,266,229,633,1384
852,1671,266,229,633,1369
897,1669,207,245,676,1359
948,1690,126,270,734,1255
1015,1719,124,251,753,1248
1006,1737,124,251,753,1166
985,1758,124,251,723,1026
967,1776,124,251,723,919
964,1779,120,255,723,844
973,1779,96,279,698,868
973,1778,97,279,663,898
968,1783,97,279,599,896
925,1826,97,279,458,900
941,1841,93,283,458,928
904,1872,87,295,458,928
903,1883,95,295,458,928
708,2057,116,295,458,878
653,2057,167,299,458,770
597,1690,579,310,458,708
380,1871,589,336,458,705
341,1902,564,369,443,705
323,1787,698,311,501,476
308,1792,708,306,505,428
303,1719,784,293,478,428
303,1719,784,271,500,309
303,1715,788,270,490,311
292,1654,860,269,490,309
290,1464,1055,268,237,347
309,1311,1208,266,239,316
341,1217,1302,266,229,321
343,911,1608,266,229,351
344,860,1659,266,229,359
357,852,1671,266,229,359
357,897,1669,207,245,339
283,948,1690,126,270,339
187,1015,1719,124,251,337
178,1006,1737,124,251,337
181,985,1758,124,251,337
186,967,1776,124,251,337
192,964,1779,120,255,367
183,973,1779,96,279,342
183,973,1778,97,279,391
183,968,1783,97,279,399
183,925,1826,97,279,388
154,941,1841,93,283,358
155,904,1872,87,295,358
174,903,1883,95,295,358
202,708,2057,116,295,358
202,653,2057,167,299,355
221,597,1690,579,310,378
221,380,1871,589,336,378
221,341,1902,564,369,378
224,323,1787,698,311,378
226,308,1792,708,306,378
226,303,1719,784,293,370
226,303,1719,784,271,370
227,303,1715,788,270,388
227,292,1654,860,269,375
224,290,1464,1055,268,312
221,309,1311,1208,266,297
272,341,1217,1302,266,296
271,343,911,1608,266,215
270,344,860,1659,266,219
253,357,852,1671,266,219
208,357,897,1669,207,219
208,283,948,1690,126,219
208,187,1015,1719,124,211
208,178,1006,1737,124,211
205,181,985,1758,124,211
200,186,967,1776,124,211
194,192,964,1779,120,181
194,183,973,1779,96,181
194,183,973,1778,97,102
194,183,968,1783,97,94
194,183,925,1826,97,124
192,154,941,1841,93,154
198,155,904,1872,87,197
161,174,903,1883,95,259
133,202,708,2057,116,330
133,202,653,2057,167,330
119,221,597,1690,579,297
119,221,380,1871,589,297
174,221,341,1902,564,297
218,224,323,1787,698,297
238,226,308,1792,708,297
317,226,303,1719,784,297
317,226,303,1719,784,317
316,227,303,1715,788,297
316,227,292,1654,860,292
316,224,290,1464,1055,292
312,221,309,1311,1208,287
252,272,341,1217,1302,295
318,271,343,911,1608,295
358,270,344,860,1659,283
402,253,357,852,1671,283
423,208,357,897,1669,283
517,208,283,948,1690,283
612,208,187,1015,1719,288
690,208,178,1006,1737,314
846,205,181,985,1758,314
915,200,186,967,1776,314
917,194,192,964,1779,314
917,194,183,973,1779,352
961,194,183,973,1778,360
961,194,183,968,1783,390
1193,194,183,925,1826,360
1193,192,154,941,1841,330
1186,198,155,904,1872,287
1264,161,174,903,1883,225
1330,133,202,708,2057,154
1330,133,202,653,2057,154
1327,119,221,597,1690,144
1358,119,221,380,1871,144
1303,174,221,341,1902,186
1297,218,224,323,1787,186
1275,238,226,308,1792,186
1196,317,226,303,1719,186
1196,317,226,303,1719,179
1238,316,227,303,1715,187
1262,316,227,292,1654,187
1265,316,224,290,1464,187
1260,312,221,309,1311,218
1238,252,272,341,1217,255
1182,318,271,343,911,364
1258,358,270,344,860,425
1214,402,253,357,852,425
1193,423,208,357,897,433
1099,517,208,283,948,433
1004,612,208,187,1015,428
926,690,208,178,1006,402
770,846,205,181,985,402
701,915,200,186,967,402
700,917,194,192,964,402
700,917,194,183,973,364
701,961,194,183,973,356
704,961,194,183,968,435
472,1193,194,183,925,435
754,1193,192,154,941,435
772,1186,198,155,904,488
695,1264,161,174,903,488
708,1330,133,202,708,528
750,1330,133,202,653,630
748,1327,119,221,597,633
717,1358,119,221,380,648
717,1303,174,221,341,611
819,1297,218,224,323,674
822,1275,238,226,308,674
889,1196,317,226,303,711
889,1196,317,226,303,698
857,1238,316,227,303,690
963,1262,316,227,292,726
960,1265,316,224,290,741
954,1260,312,221,309,760
970,1238,252,272,341,754
1165,1182,318,271,343,864
1083,1258,358,270,344,811
1084,1214,402,253,357,1097
1084,1193,423,208,357,1101
1152,1099,517,208,283,1102
1152,1004,612,208,187,1104
1152,926,690,208,178,1104
1152,770,846,205,181,1105
1154,701,915,200,186,1105
1206,700,917,194,192,1164
1207,700,917,194,183,1164
1162,701,961,194,183,1164
1159,704,961,194,183,1055
1159,472,1193,194,183,1055
877,754,1193,192,154,1055
980,772,1186,198,155,1002
1038,695,1264,161,174,1002
961,708,1330,133,202,962
1062,750,1330,133,202,860
1071,748,1327,119,221,857
1074,717,1358,119,221,859
1159,717,1303,174,221,854
1215,819,1297,218,224,812
1508,822,1275,238,226,833
1592,889,1196,317,226,811
1614,889,1196,317,226,811
1609,857,1238,316,227,937
1480,963,1262,316,227,1032
1480,960,1265,316,224,1032
1479,954,1260,312,221,989
1462,970,1238,252,272,946
1281,1165,1182,318,271,729
1247,1083,1258,358,270,735
1246,1084,1214,402,253,451
1246,1084,1193,423,208,458
1178,1152,1099,517,208,457
1178,1152,1004,612,208,467
1360,1152,926,690,208,552
1392,1152,770,846,205,590
1390,1154,701,915,200,590
1375,1206,700,917,194,531
1374,1207,700,917,194,536
1398,1162,701,961,194,536
1399,1159,704,961,194,536
1399,1159,472,1193,194,542
1402,877,754,1193,192,598
1392,980,772,1186,198,729
1339,1038,695,1264,161,829
1340,961,708,1330,133,832
1197,1062,750,1330,133,971
1194,1071,748,1327,119,1021
1191,1074,717,1358,119,1004
1106,1159,717,1303,174,1004
906,1215,819,1297,218,997
610,1508,822,1275,238,977
459,1592,889,1196,317,980
443,1614,889,1196,317,980
438,1609,857,1238,316,854
437,1480,963,1262,316,725
437,1480,960,1265,316,710
437,1479,954,1260,312,705
445,1462,970,1238,252,700
551,1281,1165,1182,318,728
551,1247,1083,1258,358,714
604,1246,1084,1214,402,712
605,1246,1084,1193,423,718
608,1178,1152,1099,517,753
608,1178,1152,1004,612,805
426,1360,1152,926,690,861
394,1392,1152,770,846,822
395,1390,1154,701,915,822
357,1375,1206,700,917,822
421,1374,1207,700,917,817
397,1398,1162,701,961,817
396,1399,1159,704,961,817
396,1399,1159,472,1193,811
407,1402,877,754,1193,770
296,1392,980,772,1186,639
290,1339,1038,695,1264,540
287,1340,961,708,1330,579
287,1197,1062,750,1330,440
281,1194,1071,748,1327,401
281,1191,1074,717,1358,402
281,1106,1159,717,1303,656
342,906,1215,819,1297,642
383,610,1508,822,1275,651
383,459,1592,889,1196,633
390,443,1614,889,1196,633
410,438,1609,857,1238,633
454,437,1480,963,1262,676
454,437,1480,960,1265,734
454,437,1479,954,1260,753
446,445,1462,970,1238,753
315,551,1281,1165,1182,723
335,551,1247,1083,1258,723
323,604,1246,1084,1214,723
322,605,1246,1084,1193,698
349,608,1178,1152,1099,663
418,608,1178,1152,1004,599
667,426,1360,1152,926,458
728,394,1392,1152,770,458
763,395,1390,1154,701,458
763,357,1375,1206,700,458
699,421,1374,1207,700,458
706,397,1398,1162,701,458
767,396,1399,1159,704,458
962,396,1399,1159,472,458
951,407,1402,877,754,443
986,296,1392,980,772,501
1014,290,1339,1038,695,505
1034,287,1340,961,708,478
1040,287,1197,1062,750,500
1040,281,1194,1071,748,490
1066,281,1191,1074,717,490
1184,281,1106,1159,717,237
1170,342,906,1215,819,239
1373,383,610,1508,822,229
1402,383,459,1592,889,229
1397,390,443,1614,889,229
1380,410,438,1609,857,229
1336,454,437,1480,963,245
1336,454,437,1480,960,270
1336,454,437,1479,954,251
1336,446,445,1462,970,251
1336,315,551,1281,1165,251
1316,335,551,1247,1083,251
1275,323,604,1246,1084,255
1275,322,605,1246,1084,279
1248,349,608,1178,1152,279
1180,418,608,1178,1152,279
931,667,426,1360,1152,279
882,728,394,1392,1152,283
896,763,395,1390,1154,295
896,763,357,1375,1206,295
896,699,421,1374,1207,295
1043,706,397,1398,1162,299
1121,767,396,1399,1159,310
947,962,396,1399,1159,336
977,951,407,1402,877,369
942,986,296,1392,980,311
927,1014,290,1339,1038,306
907,1034,287,1340,961,293
901,1040,287,1197,1062,271
990,1040,281,1194,1071,270
964,1066,281,1191,1074,269
846,1184,281,1106,1159,268
799,1170,342,906,1215,266
555,1373,383,610,1508,266
526,1402,383,459,1592,266
518,1397,390,443,1614,266
515,1380,410,438,1609,266
528,1336,454,437,1480,207
528,1336,454,437,1480,126
528,1336,454,437,1479,124
544,1336,446,445,1462,124
545,1336,315,551,1281,124
545,1316,335,551,1247,124
545,1275,323,604,1246,120
545,1275,322,605,1246,96
668,1248,349,608,1178,97
670,1180,418,608,1178,97
670,931,667,426,1360,97
658,882,728,394,1392,93
608,896,763,395,1390,87
690,896,763,357,1375,95
693,896,699,421,1374,116
562,1043,706,397,1398,167
504,1121,767,396,1399,579
511,947,962,396,1399,589
478,977,951,407,1402,564
491,942,986,296,1392,698
478,927,1014,290,1339,708
497,907,1034,287,1340,784
513,901,1040,287,1197,784
424,990,1040,281,1194,788
424,964,1066,281,1191,860
425,846,1184,281,1106,1055
573,799,1170,342,906,1208
693,555,1373,383,610,1302
778,526,1402,383,459,1608
936,518,1397,390,443,1659
937,515,1380,410,438,1671
925,528,1336,454,437,1669
989,528,1336,454,437,1690
1032,528,1336,454,437,1719
1146,544,1336,446,445,1737
1162,545,1336,315,551,1758
1162,545,1316,335,551,1776
1289,545,1275,323,604,1779
1352,545,1275,322,605,1779
1460,668,1248,349,608,1778
1491,670,1180,418,608,1783
1493,670,931,667,426,1826
1533,658,882,728,394,1841
1533,608,896,763,395,1872
1452,690,896,763,357,1883
