Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1
658,579,1112,704,1086,1204
658,532,1158,463,1304,1278
658,532,1108,513,1243,1250
746,521,917,715,1240,1235
746,515,852,786,1200,1220
824,453,888,812,1199,1237
841,360,930,863,1145,1290
836,392,927,892,1126,1175
810,418,811,1008,1126,1213
805,423,801,1018,1122,1267
846,437,803,1018,1108,1230
848,379,857,1022,1022,1122
848,378,825,1055,902,1173
876,331,696,1231,873,1266
876,331,673,1254,866,1383
869,326,685,1232,884,1425
1109,321,674,1251,830,1448
1100,330,674,1251,775,1409
1063,367,669,1256,775,1376
1044,386,598,1327,763,1399
977,291,716,1358,776,1401
906,354,724,1299,835,1398
906,341,730,1306,835,1374
1077,318,747,1233,914,1320
1153,330,747,1068,1079,1495
1138,345,747,1040,1071,1529
1138,345,747,989,1087,1589
916,567,747,945,920,1618
870,653,715,977,917,1618
895,658,598,1094,917,1713
895,658,579,1112,846,1689
900,658,579,1112,704,1656
967,658,532,1158,463,1583
971,658,532,1108,513,1591
883,746,521,917,715,1593
883,746,515,852,786,1588
805,824,453,888,812,1560
808,841,360,930,863,1472
765,836,392,927,892,1428
766,810,418,811,1008,1304
832,805,423,801,1018,1307
820,846,437,803,1018,1382
821,848,379,857,1022,1417
821,848,378,825,1055,1369
793,876,331,696,1231,1313
793,876,331,673,1254,1197
793,869,326,685,1232,1155
622,1109,321,674,1251,1084
801,1100,330,674,1251,962
854,1063,367,669,1256,992
854,1044,386,598,1327,995
854,977,291,716,1358,987
854,906,354,724,1299,984
869,906,341,730,1306,936
704,1077,318,747,1233,834
690,1153,330,747,1068,659
904,1138,345,747,1040,625
904,1138,345,747,989,565
904,916,567,747,945,840
864,870,653,715,977,881
879,895,658,598,1094,810
879,895,658,579,1112,899
874,900,658,579,1112,907
828,967,658,532,1158,906
877,971,658,532,1108,903
880,883,746,521,917,901
880,883,746,515,852,901
888,805,824,453,888,952
869,808,841,360,930,1009
865,765,836,392,927,1035
864,766,810,418,811,1035
839,832,805,423,801,1028
812,820,846,437,803,963
809,821,848,379,857,974
922,821,848,378,825,1304
922,793,876,331,696,1268
941,793,876,331,673,1267
943,793,869,326,685,1267
871,622,1109,321,674,1267
692,801,1100,330,674,1267
639,854,1063,367,669,1223
639,854,1044,386,598,1179
639,854,977,291,716,1179
639,854,906,354,724,1179
627,869,906,341,730,1179
685,704,1077,318,747,1087
687,690,1153,330,747,1196
473,904,1138,345,747,1202
683,904,1138,345,747,1207
741,904,916,567,747,912
758,864,870,653,715,871
713,879,895,658,598,847
713,879,895,658,579,751
713,874,900,658,579,771
707,828,967,658,532,772
1057,877,971,658,532,767
1283,880,883,746,521,767
1283,880,883,746,515,767
1275,888,805,824,453,716
1274,869,808,841,360,659
1268,865,765,836,392,710
1268,864,766,810,418,729
1227,839,832,805,423,679
1209,812,820,846,437,668
1209,809,821,848,379,590
1096,922,821,848,378,256
1100,922,793,876,331,255
1081,941,793,876,331,312
1079,943,793,869,326,312
1079,871,622,1109,321,312
1079,692,801,1100,330,479
1079,639,854,1063,367,489
1079,639,854,1044,386,530
1155,639,854,977,291,530
1253,639,854,906,354,530
1302,627,869,906,341,544
1264,685,704,1077,318,549
1190,687,690,1153,330,440
1257,473,904,1138,345,434
1091,683,904,1138,345,429
1033,741,904,916,567,420
1065,758,864,870,653,420
1065,713,879,895,658,425
1065,713,879,895,658,476
1065,713,874,900,658,447
1052,707,828,967,658,446
649,1057,877,971,658,446
420,1283,880,883,746,446
428,1283,880,883,746,446
491,1275,888,805,824,446
491,1274,869,808,841,456
491,1268,865,765,836,379
491,1268,864,766,810,360
491,1227,839,832,805,360
510,1209,812,820,846,374
510,1209,809,821,848,375
511,1096,922,821,848,375
515,1100,922,793,876,375
515,1081,941,793,876,318
515,1079,943,793,869,318
679,1079,871,622,1109,318
682,1079,692,801,1100,151
702,1079,639,854,1063,380
760,1079,639,854,1044,352
734,1155,639,854,977,352
689,1253,639,854,906,352
637,1302,627,869,906,338
611,1264,685,704,1077,333
609,1190,687,690,1153,333
542,1257,473,904,1138,333
505,1091,683,904,1138,406
506,1033,741,904,916,409
457,1065,758,864,870,509
569,1065,713,879,895,615
618,1065,713,879,895,592
668,1065,713,874,900,624
674,1052,707,828,967,624
674,649,1057,877,971,680
674,420,1283,880,883,690
670,428,1283,880,883,690
634,491,1275,888,805,690
634,491,1274,869,808,680
640,491,1268,865,765,680
642,491,1268,864,766,826
648,491,1227,839,832,832
657,510,1209,812,820,856
720,510,1209,809,821,855
729,511,1096,922,821,873
737,515,1100,922,793,873
737,515,1081,941,793,893
737,515,1079,943,793,937
573,679,1079,871,622,946
570,682,1079,692,801,946
550,702,1079,639,854,716
527,760,1079,639,854,707
553,734,1155,639,854,826
508,689,1253,639,854,1158
561,637,1302,627,869,1221
654,611,1264,685,704,1252
778,609,1190,687,690,1270
848,542,1257,473,904,1373
842,505,1091,683,904,1403
841,506,1033,741,904,1452
854,457,1065,758,864,1500
743,569,1065,713,879,1412
694,618,1065,713,879,1394
644,668,1065,713,874,1362
636,674,1052,707,828,1362
641,674,649,1057,877,1306
641,674,420,1283,880,1296
637,670,428,1283,880,1296
637,634,491,1275,888,1296
643,634,491,1274,869,1296
642,640,491,1268,865,1296
661,642,491,1268,864,1150
657,648,491,1227,839,1144
630,657,510,1209,812,1106
567,720,510,1209,809,1106
557,729,511,1096,922,1088
541,737,515,1100,922,1088
541,737,515,1081,941,1090
541,737,515,1079,943,1047
541,573,679,1079,871,1040
541,570,682,1079,692,1108
541,550,702,1079,639,1111
520,527,760,1079,639,1108
444,553,734,1155,639,989
436,508,689,1253,639,657
383,561,637,1302,627,610
290,654,611,1264,685,580
169,778,609,1190,687,667
99,848,542,1257,473,588
98,842,505,1091,683,546
98,841,506,1033,741,497
85,854,457,1065,758,389
84,743,569,1065,713,367
84,694,618,1065,713,411
84,644,668,1065,713,430
84,636,674,1052,707,430
88,641,674,649,1057,434
88,641,674,420,1283,448
88,637,670,428,1283,534
81,637,634,491,1275,654
263,643,634,491,1274,683
365,642,640,491,1268,690
356,661,642,491,1268,694
354,657,648,491,1227,748
381,630,657,510,1209,803
750,567,720,510,1209,803
750,557,729,511,1096,815
750,541,737,515,1100,815
750,541,737,515,1081,793
750,541,737,515,1079,792
750,541,573,679,1079,790
750,541,570,682,1079,722
750,541,550,702,1079,746
736,520,527,760,1079,780
736,444,553,734,1155,991
764,436,508,689,1253,994
771,383,561,637,1302,978
778,290,654,611,1264,1049
775,169,778,609,1190,1086
775,99,848,542,1257,1304
786,98,842,505,1091,1243
786,98,841,506,1033,1240
888,85,854,457,1065,1200
1042,84,743,569,1065,1199
1063,84,694,618,1065,1145
1083,84,644,668,1065,1126
1086,84,636,674,1052,1126
1077,88,641,674,649,1122
1080,88,641,674,420,1108
1148,88,637,670,428,1022
1139,81,637,634,491,902
951,263,643,634,491,873
848,365,642,640,491,866
837,356,661,642,491,884
837,354,657,648,491,830
835,381,630,657,510,775
485,750,567,720,510,775
485,750,557,729,511,763
485,750,541,737,515,776
485,750,541,737,515,835
489,750,541,737,515,835
489,750,541,573,679,914
508,750,541,570,682,1079
510,750,541,550,702,1071
510,736,520,527,760,1087
632,736,444,553,734,920
672,764,436,508,689,917
720,771,383,561,637,917
713,778,290,654,611,846
765,775,169,778,609,704
780,775,99,848,542,463
837,786,98,842,505,513
838,786,98,841,506,715
743,888,85,854,457,786
592,1042,84,743,569,812
571,1063,84,694,618,863
551,1083,84,644,668,892
548,1086,84,636,674,1008
548,1077,88,641,674,1018
545,1080,88,641,674,1018
477,1148,88,637,670,1022
466,1139,81,637,634,1055
466,951,263,643,634,1231
462,848,365,642,640,1254
534,837,356,661,642,1232
547,837,354,657,648,1251
571,835,381,630,657,1251
600,485,750,567,720,1256
622,485,750,557,729,1327
648,485,750,541,737,1358
654,485,750,541,737,1299
650,489,750,541,737,1306
650,489,750,541,573,1233
631,508,750,541,570,1068
629,510,750,541,550,1040
629,510,736,520,527,989
507,632,736,444,553,945
439,672,764,436,508,977
384,720,771,383,561,1094
388,713,778,290,654,1112
340,765,775,169,778,1112
326,780,775,99,848,1158
258,837,786,98,842,1108
257,838,786,98,841,917
250,743,888,85,854,852
247,592,1042,84,743,888
247,571,1063,84,694,930
247,551,1083,84,644,927
290,548,1086,84,636,811
492,548,1077,88,641,801
578,545,1080,88,641,803
578,477,1148,88,637,857
578,466,1139,81,637,825
578,466,951,263,643,696
578,462,848,365,642,673
505,534,837,356,661,685
492,547,837,354,657,674
448,571,835,381,630,674
471,600,485,750,567,669
451,622,485,750,557,598
479,648,485,750,541,716
473,654,485,750,541,724
473,650,489,750,541,730
473,650,489,750,541,747
473,631,508,750,541,747
473,629,510,750,541,747
473,629,510,736,520,747
475,507,632,736,444,747
475,439,672,764,436,715
475,384,720,771,383,598
476,388,713,778,290,579
540,340,765,775,169,579
683,326,780,775,99,532
721,258,837,786,98,532
776,257,838,786,98,521
776,250,743,888,85,515
935,247,592,1042,84,453
983,247,571,1063,84,360
983,247,551,1083,84,392
945,290,548,1086,84,418
743,492,548,1077,88,423
662,578,545,1080,88,437
662,578,477,1148,88,379
703,578,466,1139,81,378
703,578,466,951,263,331
703,578,462,848,365,331
703,505,534,837,356,326
703,492,547,837,354,321
709,448,571,835,381,330
639,471,600,485,750,367
648,451,622,485,750,386
594,479,648,485,750,291
594,473,654,485,750,354
594,473,650,489,750,341
594,473,650,489,750,318
594,473,631,508,750,330
594,473,629,510,750,345
594,473,629,510,736,345
592,475,507,632,736,567
650,475,439,672,764,653
685,475,384,720,771,658
684,476,388,713,778,658
661,540,340,765,775,658
711,683,326,780,775,658
757,721,258,837,786,658
702,776,257,838,786,746
702,776,250,743,888,746
543,935,247,592,1042,824
879,983,247,571,1063,841
879,983,247,551,1083,836
874,945,290,548,1086,810
874,743,492,548,1077,805
869,662,578,545,1080,846
882,662,578,477,1148,848
889,703,578,466,1139,848
889,703,578,466,951,876
889,703,578,462,848,876
889,703,505,534,837,869
905,703,492,547,837,1109
893,709,448,571,835,1100
892,639,471,600,485,1063
881,648,451,622,485,1044
888,594,479,648,485,977
888,594,473,654,485,906
888,594,473,650,489,906
888,594,473,650,489,1077
888,594,473,631,508,1153
888,594,473,629,510,1138
888,594,473,629,510,1138
898,592,475,507,632,916
892,650,475,439,672,870
896,685,475,384,720,895
933,684,476,388,713,895
888,661,540,340,765,900
694,711,683,326,780,967
655,757,721,258,837,971
750,702,776,257,838,883
750,702,776,250,743,883
750,543,935,247,592,805
366,879,983,247,571,808
471,879,983,247,551,765
490,874,945,290,548,766
508,874,743,492,548,832
511,869,662,578,545,820
498,882,662,578,477,821
508,889,703,578,466,821
705,889,703,578,466,793
727,889,703,578,462,793
727,889,703,505,534,793
711,905,703,492,547,622
749,893,709,448,571,801
749,892,639,471,600,854
754,881,648,451,622,854
747,888,594,479,648,854
747,888,594,473,654,854
747,888,594,473,650,869
786,888,594,473,650,704
786,888,594,473,631,690
786,888,594,473,629,904
786,888,594,473,629,904
776,898,592,475,507,904
743,892,650,475,439,864
704,896,685,475,384,879
663,933,684,476,388,879
832,888,661,540,340,874
855,694,711,683,326,828
810,655,757,721,258,877
935,750,702,776,257,880
935,750,702,776,250,880
935,750,543,935,247,888
935,366,879,983,247,869
830,471,879,983,247,865
811,490,874,945,290,864
793,508,874,743,492,839
790,511,869,662,578,812
793,498,882,662,578,809
735,508,889,703,578,922
538,705,889,703,578,922
516,727,889,703,578,941
533,727,889,703,505,943
533,711,905,703,492,871
495,749,893,709,448,692
495,749,892,639,471,639
490,754,881,648,451,639
490,747,888,594,479,639
490,747,888,594,473,639
591,747,888,594,473,627
552,786,888,594,473,685
626,786,888,594,473,687
816,786,888,594,473,473
819,786,888,594,473,683
819,776,898,592,475,741
800,743,892,650,475,758
800,704,896,685,475,713
800,663,933,684,476,713
631,832,888,661,540,713
608,855,694,711,683,707
608,810,655,757,721,1057
389,935,750,702,776,1283
482,935,750,702,776,1283
482,935,750,543,935,1275
482,935,366,879,983,1274
482,830,471,879,983,1268
482,811,490,874,945,1268
482,793,508,874,743,1227
576,790,511,869,662,1209
573,793,498,882,662,1209
573,735,508,889,703,1096
573,538,705,889,703,1100
573,516,727,889,703,1081
556,533,727,889,703,1079
556,533,711,905,703,1079
556,495,749,893,709,1079
556,495,749,892,639,1079
556,490,754,881,648,1079
556,490,747,888,594,1155
556,490,747,888,594,1253
455,591,747,888,594,1302
455,552,786,888,594,1264
381,626,786,888,594,1190
396,816,786,888,594,1257
432,819,786,888,594,1091
458,819,776,898,592,1033
476,800,743,892,650,1065
476,800,704,896,685,1065
568,800,663,933,684,1065
694,631,832,888,661,1065
740,608,855,694,711,1052
740,608,810,655,757,649
739,389,935,750,702,420
646,482,935,750,702,428
648,482,935,750,543,491
650,482,935,366,879,491
650,482,830,471,879,491
650,482,811,490,874,491
650,482,793,508,874,491
556,576,790,511,869,510
556,573,793,498,882,510
558,573,735,508,889,511
600,573,538,705,889,515
605,573,516,727,889,515
605,556,533,727,889,515
605,556,533,711,905,679
605,556,495,749,893,682
605,556,495,749,892,702
605,556,490,754,881,760
605,556,490,747,888,734
639,556,490,747,888,689
684,455,591,747,888,637
761,455,552,786,888,611
942,381,626,786,888,609
771,396,816,786,888,542
740,432,819,786,888,505
806,458,819,776,898,506
788,476,800,743,892,457
845,476,800,704,896,569
797,568,800,663,933,618
671,694,631,832,888,668
628,740,608,855,694,674
629,740,608,810,655,674
639,739,389,935,750,674
642,646,482,935,750,670
802,648,482,935,750,634
955,650,482,935,366,634
955,650,482,830,471,640
955,650,482,811,490,642
955,650,482,793,508,648
955,556,576,790,511,657
959,556,573,793,498,720
1143,558,573,735,508,729
1155,600,573,538,705,737
1187,605,573,516,727,737
1189,605,556,533,727,737
1349,605,556,533,711,573
1453,605,556,495,749,570
1547,605,556,495,749,550
1547,605,556,490,754,527
1558,605,556,490,747,553
1538,639,556,490,747,508
1549,684,455,591,747,561
1473,761,455,552,786,654
1367,942,381,626,786,778
1388,771,396,816,786,848
1416,740,432,819,786,842
1408,806,458,819,776,841
1425,788,476,800,743,854
1467,845,476,800,704,743
1437,797,568,800,663,694
1438,671,694,631,832,644
1438,628,740,608,855,636
1437,629,740,608,810,641
1427,639,739,389,935,641
1424,642,646,482,935,637
1262,802,648,482,935,637
1107,955,650,482,935,643
1112,955,650,482,830,642
1119,955,650,482,811,661
1143,955,650,482,793,657
1316,955,556,576,790,630
1323,959,556,573,793,567
1214,1143,558,573,735,557
1217,1155,600,573,538,541
1180,1187,605,573,516,541
1209,1189,605,556,533,541
1049,1349,605,556,533,541
1079,1453,605,556,495,541
1040,1547,605,556,495,541
1127,1547,605,556,490,520
1119,1558,605,556,490,444
1106,1538,639,556,490,436
1050,1549,684,455,591,383
1049,1473,761,455,552,290
974,1367,942,381,626,169
919,1388,771,396,816,99
886,1416,740,432,819,98
802,1408,806,458,819,98
798,1425,788,476,800,85
706,1467,845,476,800,84
692,1437,797,568,800,84
691,1438,671,694,631,84
709,1438,628,740,608,84
709,1437,629,740,608,88
709,1427,639,739,389,88
774,1424,642,646,482,88
845,1262,802,648,482,81
845,1107,955,650,482,263
840,1112,955,650,482,365
833,1119,955,650,482,356
815,1143,955,650,482,354
645,1316,955,556,576,381
634,1323,959,556,573,750
602,1214,1143,558,573,750
549,1217,1155,600,573,750
549,1180,1187,605,573,750
519,1209,1189,605,556,750
535,1049,1349,605,556,750
468,1079,1453,605,556,750
417,1040,1547,605,556,750
351,1127,1547,605,556,736
357,1119,1558,605,556,736
441,1106,1538,639,556,764
604,1050,1549,684,455,771
607,1049,1473,761,455,778
644,974,1367,942,381,775
644,919,1388,771,396,775
641,886,1416,740,432,786
641,802,1408,806,458,786
628,798,1425,788,476,888
621,706,1467,845,476,1042
622,692,1437,797,568,1063
622,691,1438,671,694,1083
601,709,1438,628,740,1086
620,709,1437,629,740,1077
627,709,1427,639,739,1080
562,774,1424,642,646,1148
517,845,1262,802,648,1139
556,845,1107,955,650,951
556,840,1112,955,650,848
556,833,1119,955,650,837
570,815,1143,955,650,837
574,645,1316,955,556,835
708,634,1323,959,556,485
708,602,1214,1143,558,485
749,549,1217,1155,600,485
778,549,1180,1187,605,485
804,519,1209,1189,605,489
982,535,1049,1349,605,489
935,468,1079,1453,605,508
931,417,1040,1547,605,510
910,351,1127,1547,605,510
901,357,1119,1558,605,632
816,441,1106,1538,639,672
692,604,1050,1549,684,720
689,607,1049,1473,761,713
652,644,974,1367,942,765
652,644,919,1388,771,780
652,641,886,1416,740,837
652,641,802,1408,806,838
652,628,798,1425,788,743
652,621,706,1467,845,592
651,622,692,1437,797,571
651,622,691,1438,671,551
651,601,709,1438,628,548
632,620,709,1437,629,548
625,627,709,1427,639,545
628,562,774,1424,642,477
782,517,845,1262,802,466
820,556,845,1107,955,466
824,556,840,1112,955,462
824,556,833,1119,955,534
804,570,815,1143,955,547
797,574,645,1316,955,571
790,708,634,1323,959,600
807,708,602,1214,1143,622
784,749,549,1217,1155,648
816,778,549,1180,1187,654
821,804,519,1209,1189,650
645,982,535,1049,1349,650
628,935,468,1079,1453,631
688,931,417,1040,1547,629
697,910,351,1127,1547,629
736,901,357,1119,1558,507
739,816,441,1106,1538,439
700,692,604,1050,1549,384
700,689,607,1049,1473,388
725,652,644,974,1367,340
725,652,644,919,1388,326
725,652,641,886,1416,258
725,652,641,802,1408,257
731,652,628,798,1425,250
735,652,621,706,1467,247
735,651,622,692,1437,247
735,651,622,691,1438,247
735,651,601,709,1438,290
735,632,620,709,1437,492
735,625,627,709,1427,578
732,628,562,774,1424,578
552,782,517,845,1262,578
475,820,556,845,1107,578
471,824,556,840,1112,578
471,824,556,833,1119,505
471,804,570,815,1143,492
500,797,574,645,1316,448
373,790,708,634,1323,471
311,807,708,602,1214,451
289,784,749,549,1217,479
228,816,778,549,1180,473
198,821,804,519,1209,473
190,645,982,535,1049,473
275,628,935,468,1079,473
276,688,931,417,1040,473
267,697,910,351,1127,473
228,736,901,357,1119,475
486,739,816,441,1106,475
507,700,692,604,1050,475
507,700,689,607,1049,476
533,725,652,644,974,540
533,725,652,644,919,683
632,725,652,641,886,721
632,725,652,641,802,776
626,731,652,628,798,776
627,735,652,621,706,935
627,735,651,622,692,983
627,735,651,622,691,983
693,735,651,601,709,945
693,735,632,620,709,743
693,735,625,627,709,662
693,732,628,562,774,662
693,552,782,517,845,703
693,475,820,556,845,703
693,471,824,556,840,703
693,471,824,556,833,703
765,471,804,570,815,703
866,500,797,574,645,709
871,373,790,708,634,639
893,311,807,708,602,648
972,289,784,749,549,594
1100,228,816,778,549,594
1106,198,821,804,519,594
1096,190,645,982,535,594
1008,275,628,935,468,594
947,276,688,931,417,594
947,267,697,910,351,594
947,228,736,901,357,592
940,486,739,816,441,650
919,507,700,692,604,685
1062,507,700,689,607,684
1073,533,725,652,644,661
1164,533,725,652,644,711
1100,632,725,652,641,757
1129,632,725,652,641,702
1129,626,731,652,628,702
1151,627,735,652,621,543
1151,627,735,651,622,879
1151,627,735,651,622,879
1151,693,735,651,601,874
1151,693,735,632,620,874
1158,693,735,625,627,869
1160,693,732,628,562,882
1160,693,552,782,517,889
1160,693,475,820,556,889
1160,693,471,824,556,889
1160,693,471,824,556,889
1088,765,471,804,570,905
958,866,500,797,574,893
953,871,373,790,708,892
931,893,311,807,708,881
852,972,289,784,749,888
724,1100,228,816,778,888
716,1106,198,821,804,888
716,1096,190,645,982,888
716,1008,275,628,935,888
716,947,276,688,931,888
716,947,267,697,910,888
716,947,228,736,901,898
462,940,486,739,816,892
462,919,507,700,692,896
319,1062,507,700,689,933
340,1073,533,725,652,888
378,1164,533,725,652,694
344,1100,632,725,652,655
315,1129,632,725,652,750
319,1129,626,731,652,750
299,1151,627,735,652,750
304,1151,627,735,651,366
304,1151,627,735,651,471
238,1151,693,735,651,490
238,1151,693,735,632,508
231,1158,693,735,625,511
267,1160,693,732,628,498
272,1160,693,552,782,508
276,1160,693,475,820,705
276,1160,693,471,824,727
276,1160,693,471,824,727
317,1088,765,471,804,711
317,958,866,500,797,749
447,953,871,373,790,749
468,931,893,311,807,754
468,852,972,289,784,747
471,724,1100,228,816,747
471,716,1106,198,821,747
494,716,1096,190,645,786
494,716,1008,275,628,786
536,716,947,276,688,786
597,716,947,267,697,786
597,716,947,228,736,776
597,462,940,486,739,743
605,462,919,507,700,704
605,319,1062,507,700,663
522,340,1073,533,725,832
433,378,1164,533,725,855
777,344,1100,632,725,810
777,315,1129,632,725,935
885,319,1129,626,731,935
1024,299,1151,627,735,935
1110,304,1151,627,735,935
1225,304,1151,627,735,830
1237,238,1151,693,735,811
1237,238,1151,693,735,793
1237,231,1158,693,735,790
1199,267,1160,693,732,793
1196,272,1160,693,552,735
1302,276,1160,693,475,538
1326,276,1160,693,471,516
1326,276,1160,693,471,533
1474,317,1088,765,471,533
1829,317,958,866,500,495
1722,447,953,871,373,495
1777,468,931,893,311,490
1787,468,852,972,289,490
1784,471,724,1100,228,490
1784,471,716,1106,198,591
1761,494,716,1096,190,552
1761,494,716,1008,275,626
1719,536,716,947,276,816
1658,597,716,947,267,819
1696,597,716,947,228,819
1877,597,462,940,486,800
1921,605,462,919,507,800
1922,605,319,1062,507,800
1922,522,340,1073,533,631
1882,433,378,1164,533,608
1565,777,344,1100,632,608
1565,777,315,1129,632,389
1453,885,319,1129,626,482
1379,1024,299,1151,627,482
1376,1110,304,1151,627,482
1261,1225,304,1151,627,482
1249,1237,238,1151,693,482
1249,1237,238,1151,693,482
1249,1237,231,1158,693,576
1249,1199,267,1160,693,573
1247,1196,272,1160,693,573
1206,1302,276,1160,693,573
1386,1326,276,1160,693,573
1387,1326,276,1160,693,556
1212,1474,317,1088,765,556
858,1829,317,958,866,556
839,1722,447,953,871,556
763,1777,468,931,893,556
812,1787,468,852,972,556
825,1784,471,724,1100,556
959,1784,471,716,1106,455
959,1761,494,716,1096,455
959,1761,494,716,1008,381
988,1719,536,716,947,396
989,1658,597,716,947,432
951,1696,597,716,947,458
770,1877,597,462,940,476
718,1921,605,462,919,476
717,1922,605,319,1062,568
717,1922,522,340,1073,694
717,1882,433,378,1164,740
689,1565,777,344,1100,740
689,1565,777,315,1129,739
720,1453,885,319,1129,646
722,1379,1024,299,1151,648
634,1376,1110,304,1151,650
634,1261,1225,304,1151,650
727,1249,1237,238,1151,650
762,1249,1237,238,1151,650
762,1249,1237,231,1158,556
762,1249,1199,267,1160,556
799,1247,1196,272,1160,558
730,1206,1302,276,1160,600
526,1386,1326,276,1160,605
525,1387,1326,276,1160,605
512,1212,1474,317,1088,605
511,858,1829,317,958,605
507,839,1722,447,953,605
523,763,1777,468,931,605
531,812,1787,468,852,605
518,825,1784,471,724,639
385,959,1784,471,716,684
406,959,1761,494,716,761
423,959,1761,494,716,942
394,988,1719,536,716,771
519,989,1658,597,716,740
627,951,1696,597,716,806
708,770,1877,597,462,788
804,718,1921,605,462,845
858,717,1922,605,319,797
1013,717,1922,522,340,671
1046,717,1882,433,378,628
1134,689,1565,777,344,629
1138,689,1565,777,315,639
1108,720,1453,885,319,642
1034,722,1379,1024,299,802
1034,634,1376,1110,304,955
1035,634,1261,1225,304,955
944,727,1249,1237,238,955
909,762,1249,1237,238,955
909,762,1249,1237,231,955
924,762,1249,1199,267,959
888,799,1247,1196,272,1143
888,730,1206,1302,276,1155
890,526,1386,1326,276,1187
891,525,1387,1326,276,1189
893,512,1212,1474,317,1349
893,511,858,1829,317,1453
930,507,839,1722,447,1547
915,523,763,1777,468,1547
848,531,812,1787,468,1558
850,518,825,1784,471,1538
849,385,959,1784,471,1549
832,406,959,1761,494,1473
820,423,959,1761,494,1367
821,394,988,1719,536,1388
722,519,989,1658,597,1416
754,627,951,1696,597,1408
702,708,770,1877,597,1425
612,804,718,1921,605,1467
559,858,717,1922,605,1437
410,1013,717,1922,522,1438
388,1046,717,1882,433,1438
306,1134,689,1565,777,1437
302,1138,689,1565,777,1427
332,1108,720,1453,885,1424
347,1034,722,1379,1024,1262
377,1034,634,1376,1110,1107
480,1035,634,1261,1225,1112
495,944,727,1249,1237,1119
577,909,762,1249,1237,1143
717,909,762,1249,1237,1316
809,924,762,1249,1199,1323
883,888,799,1247,1196,1214
884,888,730,1206,1302,1217
882,890,526,1386,1326,1180
883,891,525,1387,1326,1209
887,893,512,1212,1474,1049
889,893,511,858,1829,1079
852,930,507,839,1722,1040
851,915,523,763,1777,1127
901,848,531,812,1787,1119
1010,850,518,825,1784,1106
1092,849,385,959,1784,1050
1091,832,406,959,1761,1049
1086,820,423,959,1761,974
1314,821,394,988,1719,919
1335,722,519,989,1658,886
1203,754,627,951,1696,802
1293,702,708,770,1877,798
1287,612,804,718,1921,706
1306,559,858,717,1922,692
1325,410,1013,717,1922,691
1365,388,1046,717,1882,709
1364,306,1134,689,1565,709
1415,302,1138,689,1565,709
1384,332,1108,720,1453,774
1369,347,1034,722,1379,845
1359,377,1034,634,1376,845
1255,480,1035,634,1261,840
1248,495,944,727,1249,833
1166,577,909,762,1249,815
1026,717,909,762,1249,645
919,809,924,762,1249,634
844,883,888,799,1247,602
868,884,888,730,1206,549
898,882,890,526,1386,549
896,883,891,525,1387,519
900,887,893,512,1212,535
928,889,893,511,858,468
928,852,930,507,839,417
928,851,915,523,763,351
878,901,848,531,812,357
770,1010,850,518,825,441
708,1092,849,385,959,604
705,1091,832,406,959,607
705,1086,820,423,959,644
476,1314,821,394,988,644
428,1335,722,519,989,641
428,1203,754,627,951,641
309,1293,702,708,770,628
311,1287,612,804,718,621
309,1306,559,858,717,622
347,1325,410,1013,717,622
316,1365,388,1046,717,601
321,1364,306,1134,689,620
351,1415,302,1138,689,627
359,1384,332,1108,720,562
359,1369,347,1034,722,517
339,1359,377,1034,634,556
339,1255,480,1035,634,556
337,1248,495,944,727,556
337,1166,577,909,762,570
337,1026,717,909,762,574
337,919,809,924,762,708
367,844,883,888,799,708
342,868,884,888,730,749
391,898,882,890,526,778
399,896,883,891,525,804
388,900,887,893,512,982
358,928,889,893,511,935
358,928,852,930,507,931
358,928,851,915,523,910
358,878,901,848,531,901
355,770,1010,850,518,816
378,708,1092,849,385,692
378,705,1091,832,406,689
378,705,1086,820,423,652
378,476,1314,821,394,652
378,428,1335,722,519,652
370,428,1203,754,627,652
370,309,1293,702,708,652
388,311,1287,612,804,652
375,309,1306,559,858,651
312,347,1325,410,1013,651
297,316,1365,388,1046,651
296,321,1364,306,1134,632
215,351,1415,302,1138,625
219,359,1384,332,1108,628
219,359,1369,347,1034,782
219,339,1359,377,1034,820
219,339,1255,480,1035,824
211,337,1248,495,944,824
211,337,1166,577,909,804
211,337,1026,717,909,797
211,337,919,809,924,790
181,367,844,883,888,807
181,342,868,884,888,784
102,391,898,882,890,816
94,399,896,883,891,821
124,388,900,887,893,645
154,358,928,889,893,628
197,358,928,852,930,688
259,358,928,851,915,697
330,358,878,901,848,736
330,355,770,1010,850,739
297,378,708,1092,849,700
297,378,705,1091,832,700
297,378,705,1086,820,725
297,378,476,1314,821,725
297,378,428,1335,722,725
297,370,428,1203,754,725
317,370,309,1293,702,731
297,388,311,1287,612,735
292,375,309,1306,559,735
292,312,347,1325,410,735
287,297,316,1365,388,735
295,296,321,1364,306,735
295,215,351,1415,302,735
283,219,359,1384,332,732
283,219,359,1369,347,552
283,219,339,1359,377,475
283,219,339,1255,480,471
288,211,337,1248,495,471
314,211,337,1166,577,471
314,211,337,1026,717,500
314,211,337,919,809,373
314,181,367,844,883,311
352,181,342,868,884,289
360,102,391,898,882,228
390,94,399,896,883,198
360,124,388,900,887,190
330,154,358,928,889,275
287,197,358,928,852,276
225,259,358,928,851,267
154,330,358,878,901,228
154,330,355,770,1010,486
144,297,378,708,1092,507
144,297,378,705,1091,507
