Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
989,826,803,721,441,521,1048,582
657,1158,832,595,428,522,1354,569
610,1221,757,502,433,522,1398,558
580,1252,714,386,433,522,1532,514
667,1270,707,336,485,538,1532,472
588,1373,777,314,485,576,1532,472
546,1403,709,314,486,577,1532,472
497,1452,704,278,517,660,1532,472
389,1500,706,278,517,683,1532,472
367,1412,735,278,532,703,1532,472
411,1394,731,319,538,901,1532,472
430,1362,698,319,578,1050,1527,472
430,1362,704,319,578,1017,1528,472
434,1306,712,319,578,985,1521,472
448,1296,712,307,578,1026,1493,507
534,1296,668,247,522,1079,1489,517
654,1296,746,374,515,1118,1489,517
683,1296,904,374,513,1127,1489,517
690,1296,959,354,506,1179,1517,563
694,1150,1014,380,650,1086,1506,586
748,1144,1015,387,650,1073,1500,573
803,1106,1015,387,635,1073,1372,572
803,1106,1015,387,608,1050,1371,650
815,1088,1015,387,562,1072,1332,701
815,1088,1015,391,545,1080,1318,650
793,1090,1015,384,545,1102,1241,767
792,1047,1036,357,545,1026,1213,777
790,1040,1036,346,530,1016,1279,642
722,1108,1039,345,528,1017,1151,487
746,1111,914,311,530,1017,1058,487
780,1108,836,247,525,1049,1020,490
991,989,738,230,500,1091,782,491
994,657,709,230,516,1091,550,491
978,610,697,230,513,1091,564,491
1049,580,628,230,513,1091,437,495
1086,667,622,224,461,1075,438,541
1304,588,591,224,461,1042,438,546
1243,546,601,225,460,1082,443,592
1240,497,707,246,429,1059,445,607
1200,389,706,258,429,1036,445,870
1199,367,704,270,479,1021,445,925
1145,411,801,229,518,817,445,980
1126,430,914,239,593,650,445,1012
1126,430,930,239,726,549,443,1212
1122,434,1066,240,745,482,443,1216
1108,448,1066,431,746,440,434,1181
1022,534,1066,444,746,387,434,1171
902,654,988,339,666,348,434,1171
873,683,830,427,605,339,434,1211
866,690,775,433,609,279,406,1275
884,694,720,417,526,273,361,1382
830,748,732,446,558,273,342,1380
775,803,732,446,558,293,314,1419
775,803,777,446,555,293,312,1435
763,815,880,446,555,273,312,1402
776,815,999,442,555,292,312,1469
835,793,1016,441,568,271,286,1491
835,792,1042,464,568,271,267,1457
914,790,1206,486,567,314,198,1448
1079,722,1294,515,567,313,324,1448
1071,746,1328,522,565,313,366,1448
1087,780,1412,674,548,281,367,1445
920,991,1412,674,553,230,364,1444
917,994,1429,675,543,235,262,1444
917,978,1499,687,544,241,329,1469
846,1049,1523,691,550,266,322,1479
704,1086,1519,762,554,266,321,1433
463,1304,1509,822,560,263,321,1428
513,1243,1499,832,560,228,316,1382
715,1240,1315,817,573,168,317,1367
786,1200,1308,805,594,255,317,1105
812,1199,1281,793,529,251,317,1050
863,1145,1146,793,484,251,317,1091
892,1126,1031,783,369,251,317,1059
1008,1126,1008,783,236,251,317,859
1018,1122,870,782,217,251,317,855
1018,1108,920,591,216,251,317,1089
1022,1022,955,573,216,290,317,1246
1055,902,992,591,216,362,317,1349
1231,873,992,516,187,396,317,1368
1254,866,1207,510,190,443,317,1260
1232,884,1211,500,129,447,317,1130
1251,830,1219,634,106,447,317,1130
1251,775,1224,717,106,427,402,1080
1256,775,1179,721,162,427,438,986
1327,763,1076,768,184,425,438,960
1358,776,976,805,189,394,440,857
1299,835,972,875,227,393,440,718
1306,835,954,958,252,385,471,694
1233,914,831,950,252,329,469,693
1068,1079,740,1056,252,329,422,693
1040,1071,706,1104,252,415,409,693
989,1087,621,977,252,417,409,693
945,920,621,977,263,453,409,693
977,917,604,976,265,517,410,693
1094,917,534,964,318,526,282,668
1112,846,510,960,340,512,282,654
1112,704,510,889,342,529,282,654
1158,463,475,829,336,527,282,654
1108,513,475,818,336,523,285,654
917,715,475,815,323,523,282,654
852,786,475,823,302,436,282,653
888,812,475,846,302,435,282,653
930,863,475,856,302,435,282,585
927,892,475,915,342,435,282,646
811,1008,475,922,383,435,282,706
801,1018,469,922,383,443,282,708
803,1018,419,922,406,472,282,530
857,1022,384,922,470,515,282,433
825,1055,347,877,476,446,282,330
696,1231,347,906,476,412,283,271
673,1254,132,906,460,514,284,267
685,1232,128,906,463,510,284,267
674,1251,107,736,455,510,284,267
674,1251,102,653,564,510,202,267
669,1256,102,682,568,510,287,295
598,1327,102,635,545,542,299,328
716,1358,83,598,551,563,326,393
724,1299,136,528,500,569,370,405
