Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1
390,443,1614,889,1196,317,226,303,1719,784,633
410,438,1609,857,1238,316,227,303,1715,788,633
454,437,1480,963,1262,316,227,292,1654,860,676
454,437,1480,960,1265,316,224,290,1464,1055,734
454,437,1479,954,1260,312,221,309,1311,1208,753
446,445,1462,970,1238,252,272,341,1217,1302,753
315,551,1281,1165,1182,318,271,343,911,1608,723
335,551,1247,1083,1258,358,270,344,860,1659,723
323,604,1246,1084,1214,402,253,357,852,1671,723
322,605,1246,1084,1193,423,208,357,897,1669,698
349,608,1178,1152,1099,517,208,283,948,1690,663
418,608,1178,1152,1004,612,208,187,1015,1719,599
667,426,1360,1152,926,690,208,178,1006,1737,458
728,394,1392,1152,770,846,205,181,985,1758,458
763,395,1390,1154,701,915,200,186,967,1776,458
763,357,1375,1206,700,917,194,192,964,1779,458
699,421,1374,1207,700,917,194,183,973,1779,458
706,397,1398,1162,701,961,194,183,973,1778,458
767,396,1399,1159,704,961,194,183,968,1783,458
962,396,1399,1159,472,1193,194,183,925,1826,458
951,407,1402,877,754,1193,192,154,941,1841,443
986,296,1392,980,772,1186,198,155,904,1872,501
1014,290,1339,1038,695,1264,161,174,903,1883,505
1034,287,1340,961,708,1330,133,202,708,2057,478
1040,287,1197,1062,750,1330,133,202,653,2057,500
1040,281,1194,1071,748,1327,119,221,597,1690,490
1066,281,1191,1074,717,1358,119,221,380,1871,490
1184,281,1106,1159,717,1303,174,221,341,1902,237
1170,342,906,1215,819,1297,218,224,323,1787,239
1373,383,610,1508,822,1275,238,226,308,1792,229
1402,383,459,1592,889,1196,317,226,303,1719,229
1397,390,443,1614,889,1196,317,226,303,1719,229
1380,410,438,1609,857,1238,316,227,303,1715,229
1336,454,437,1480,963,1262,316,227,292,1654,245
1336,454,437,1480,960,1265,316,224,290,1464,270
1336,454,437,1479,954,1260,312,221,309,1311,251
1336,446,445,1462,970,1238,252,272,341,1217,251
1336,315,551,1281,1165,1182,318,271,343,911,251
1316,335,551,1247,1083,1258,358,270,344,860,251
1275,323,604,1246,1084,1214,402,253,357,852,255
1275,322,605,1246,1084,1193,423,208,357,897,279
1248,349,608,1178,1152,1099,517,208,283,948,279
